method,metric,subtype,mode,score,edits,probes,on,off,activation,on_success,success_given_on,base_correct_given_off,total_success,probe_micro,edit_macro,base_reference_correct,base_correct_damage,base_wrong_correction,off_base_preserved,on_output_preserved,on_output_damaged,target_copy_total,target_copy_on,cap_hits,score_definition
BE,I_Generality,ALL,BASE,exact,164,164,0,164,0.0,0,,0.0,0,0,0,0,0,0,,,,,,0,TARGET_ADHERENCE
BE,I_Generality,ALL,BASE,semantic,164,164,0,164,0.0,0,,0.012195121951219513,2,0.012195121951219513,0.012195121951219513,2,0,0,,,,,,0,TARGET_ADHERENCE
BE,I_Generality,ALL,FORCED_ON,exact,164,164,164,0,1.0,163,0.9939024390243902,,163,0.9939024390243902,0.9939024390243902,0,0,163,,,,,,0,TARGET_ADHERENCE
BE,I_Generality,ALL,FORCED_ON,semantic,164,164,164,0,1.0,161,0.9817073170731707,,161,0.9817073170731707,0.9817073170731707,2,0,159,,,,,,0,TARGET_ADHERENCE
BE,I_Generality,ALL,BE_ROUTE_R0,exact,164,164,160,4,0.975609756097561,159,0.99375,0.0,159,0.9695121951219512,0.9695121951219512,0,0,159,,,,,,0,TARGET_ADHERENCE
BE,I_Generality,ALL,BE_ROUTE_R0,semantic,164,164,160,4,0.975609756097561,157,0.98125,0.0,157,0.9573170731707317,0.9573170731707317,2,0,155,,,,,,0,TARGET_ADHERENCE
BE,I_Generality,ALL,RC_FIXED_OLD16,exact,164,164,2,162,0.012195121951219513,2,1.0,0.0,2,0.012195121951219513,0.012195121951219513,0,0,2,,,,,,0,TARGET_ADHERENCE
BE,I_Generality,ALL,RC_FIXED_OLD16,semantic,164,164,2,162,0.012195121951219513,2,1.0,0.012345679012345678,4,0.024390243902439025,0.024390243902439025,2,0,2,,,,,,0,TARGET_ADHERENCE
BE,I_Locality,ALL,BASE,exact,67,67,0,67,0.0,0,,0.0,67,1,1,0,0,0,67,0,0,0,0,0,OUTPUT_PRESERVATION
BE,I_Locality,ALL,BASE,semantic,67,67,0,67,0.0,0,,0.22388059701492538,15,0.22388059701492538,0.22388059701492538,15,0,0,67,0,0,0,0,0,SOURCE_ACCURACY
BE,I_Locality,ALL,FORCED_ON,exact,67,67,67,0,1.0,0,0.0,,0,0,0,0,0,0,0,0,67,60,60,2,OUTPUT_PRESERVATION
BE,I_Locality,ALL,FORCED_ON,semantic,67,67,67,0,1.0,0,0.0,,0,0,0,15,15,0,0,0,67,60,60,2,SOURCE_ACCURACY
BE,I_Locality,ALL,BE_ROUTE_R0,exact,67,67,18,49,0.26865671641791045,0,0.0,0.0,49,0.7313432835820896,0.7313432835820896,0,0,0,49,0,18,17,17,0,OUTPUT_PRESERVATION
BE,I_Locality,ALL,BE_ROUTE_R0,semantic,67,67,18,49,0.26865671641791045,0,0.0,0.22448979591836735,11,0.16417910447761194,0.16417910447761194,15,4,0,49,0,18,17,17,0,SOURCE_ACCURACY
BE,I_Locality,ALL,RC_FIXED_OLD16,exact,67,67,0,67,0.0,0,,0.0,67,1,1,0,0,0,67,0,0,0,0,0,OUTPUT_PRESERVATION
BE,I_Locality,ALL,RC_FIXED_OLD16,semantic,67,67,0,67,0.0,0,,0.22388059701492538,15,0.22388059701492538,0.22388059701492538,15,0,0,67,0,0,0,0,0,SOURCE_ACCURACY
BE,Portability,1-hop,BASE,exact,73,73,0,73,0.0,0,,0.0,0,0,0,0,0,0,,,,,,0,TARGET_ADHERENCE
BE,Portability,1-hop,BASE,semantic,73,73,0,73,0.0,0,,0.2876712328767123,21,0.2876712328767123,0.2876712328767123,21,0,0,,,,,,0,TARGET_ADHERENCE
BE,Portability,1-hop,FORCED_ON,exact,73,73,73,0,1.0,1,0.0136986301369863,,1,0.0136986301369863,0.0136986301369863,0,0,1,,,,,,1,TARGET_ADHERENCE
BE,Portability,1-hop,FORCED_ON,semantic,73,73,73,0,1.0,8,0.1095890410958904,,8,0.1095890410958904,0.1095890410958904,21,18,5,,,,,,1,TARGET_ADHERENCE
BE,Portability,1-hop,BE_ROUTE_R0,exact,73,73,73,0,1.0,1,0.0136986301369863,,1,0.0136986301369863,0.0136986301369863,0,0,1,,,,,,1,TARGET_ADHERENCE
BE,Portability,1-hop,BE_ROUTE_R0,semantic,73,73,73,0,1.0,8,0.1095890410958904,,8,0.1095890410958904,0.1095890410958904,21,18,5,,,,,,1,TARGET_ADHERENCE
BE,Portability,1-hop,RC_FIXED_OLD16,exact,73,73,73,0,1.0,1,0.0136986301369863,,1,0.0136986301369863,0.0136986301369863,0,0,1,,,,,,1,TARGET_ADHERENCE
BE,Portability,1-hop,RC_FIXED_OLD16,semantic,73,73,73,0,1.0,8,0.1095890410958904,,8,0.1095890410958904,0.1095890410958904,21,18,5,,,,,,1,TARGET_ADHERENCE
BE,Portability,2-hop,BASE,exact,24,24,0,24,0.0,0,,0.0,0,0,0,0,0,0,,,,,,0,TARGET_ADHERENCE
BE,Portability,2-hop,BASE,semantic,24,24,0,24,0.0,0,,0.3333333333333333,8,0.3333333333333333,0.3333333333333333,8,0,0,,,,,,0,TARGET_ADHERENCE
BE,Portability,2-hop,FORCED_ON,exact,24,24,24,0,1.0,0,0.0,,0,0,0,0,0,0,,,,,,1,TARGET_ADHERENCE
BE,Portability,2-hop,FORCED_ON,semantic,24,24,24,0,1.0,0,0.0,,0,0,0,8,8,0,,,,,,1,TARGET_ADHERENCE
BE,Portability,2-hop,BE_ROUTE_R0,exact,24,24,24,0,1.0,0,0.0,,0,0,0,0,0,0,,,,,,1,TARGET_ADHERENCE
BE,Portability,2-hop,BE_ROUTE_R0,semantic,24,24,24,0,1.0,0,0.0,,0,0,0,8,8,0,,,,,,1,TARGET_ADHERENCE
BE,Portability,2-hop,RC_FIXED_OLD16,exact,24,24,24,0,1.0,0,0.0,,0,0,0,0,0,0,,,,,,1,TARGET_ADHERENCE
BE,Portability,2-hop,RC_FIXED_OLD16,semantic,24,24,24,0,1.0,0,0.0,,0,0,0,8,8,0,,,,,,1,TARGET_ADHERENCE
BE,Portability,3-hop,BASE,exact,2,2,0,2,0.0,0,,0.0,0,0,0,0,0,0,,,,,,0,TARGET_ADHERENCE
BE,Portability,3-hop,BASE,semantic,2,2,0,2,0.0,0,,0.0,0,0,0,0,0,0,,,,,,0,TARGET_ADHERENCE
BE,Portability,3-hop,FORCED_ON,exact,2,2,2,0,1.0,0,0.0,,0,0,0,0,0,0,,,,,,0,TARGET_ADHERENCE
BE,Portability,3-hop,FORCED_ON,semantic,2,2,2,0,1.0,0,0.0,,0,0,0,0,0,0,,,,,,0,TARGET_ADHERENCE
BE,Portability,3-hop,BE_ROUTE_R0,exact,2,2,2,0,1.0,0,0.0,,0,0,0,0,0,0,,,,,,0,TARGET_ADHERENCE
BE,Portability,3-hop,BE_ROUTE_R0,semantic,2,2,2,0,1.0,0,0.0,,0,0,0,0,0,0,,,,,,0,TARGET_ADHERENCE
BE,Portability,3-hop,RC_FIXED_OLD16,exact,2,2,2,0,1.0,0,0.0,,0,0,0,0,0,0,,,,,,0,TARGET_ADHERENCE
BE,Portability,3-hop,RC_FIXED_OLD16,semantic,2,2,2,0,1.0,0,0.0,,0,0,0,0,0,0,,,,,,0,TARGET_ADHERENCE
BE,Reliability,ALL,BASE,exact,200,200,0,200,0.0,0,,0.0,0,0,0,0,0,0,,,,,,0,TARGET_ADHERENCE
BE,Reliability,ALL,BASE,semantic,200,200,0,200,0.0,0,,0.015,3,0.015,0.015,3,0,0,,,,,,0,TARGET_ADHERENCE
BE,Reliability,ALL,FORCED_ON,exact,200,200,200,0,1.0,200,1.0,,200,1,1,0,0,200,,,,,,0,TARGET_ADHERENCE
BE,Reliability,ALL,FORCED_ON,semantic,200,200,200,0,1.0,198,0.99,,198,0.99,0.99,3,0,195,,,,,,0,TARGET_ADHERENCE
BE,Reliability,ALL,BE_ROUTE_R0,exact,200,200,200,0,1.0,200,1.0,,200,1,1,0,0,200,,,,,,0,TARGET_ADHERENCE
BE,Reliability,ALL,BE_ROUTE_R0,semantic,200,200,200,0,1.0,198,0.99,,198,0.99,0.99,3,0,195,,,,,,0,TARGET_ADHERENCE
BE,Reliability,ALL,RC_FIXED_OLD16,exact,200,200,200,0,1.0,200,1.0,,200,1,1,0,0,200,,,,,,0,TARGET_ADHERENCE
BE,Reliability,ALL,RC_FIXED_OLD16,semantic,200,200,200,0,1.0,198,0.99,,198,0.99,0.99,3,0,195,,,,,,0,TARGET_ADHERENCE
BE,Robustness,伪权威干扰,BASE,exact,23,23,0,23,0.0,0,,0.0,0,0,0,0,0,0,,,,,,0,TARGET_ADHERENCE
BE,Robustness,伪权威干扰,BASE,semantic,23,23,0,23,0.0,0,,0.17391304347826086,4,0.17391304347826086,0.17391304347826086,4,0,0,,,,,,0,TARGET_ADHERENCE
BE,Robustness,伪权威干扰,FORCED_ON,exact,23,23,23,0,1.0,22,0.9565217391304348,,22,0.9565217391304348,0.9565217391304348,0,0,22,,,,,,0,TARGET_ADHERENCE
BE,Robustness,伪权威干扰,FORCED_ON,semantic,23,23,23,0,1.0,23,1.0,,23,1,1,4,0,19,,,,,,0,TARGET_ADHERENCE
BE,Robustness,伪权威干扰,BE_ROUTE_R0,exact,23,23,23,0,1.0,22,0.9565217391304348,,22,0.9565217391304348,0.9565217391304348,0,0,22,,,,,,0,TARGET_ADHERENCE
BE,Robustness,伪权威干扰,BE_ROUTE_R0,semantic,23,23,23,0,1.0,23,1.0,,23,1,1,4,0,19,,,,,,0,TARGET_ADHERENCE
BE,Robustness,伪权威干扰,RC_FIXED_OLD16,exact,23,23,22,1,0.9565217391304348,21,0.9545454545454546,0.0,21,0.9130434782608695,0.9130434782608695,0,0,21,,,,,,0,TARGET_ADHERENCE
BE,Robustness,伪权威干扰,RC_FIXED_OLD16,semantic,23,23,22,1,0.9565217391304348,22,1.0,0.0,22,0.9565217391304348,0.9565217391304348,4,0,18,,,,,,0,TARGET_ADHERENCE
BE,Robustness,无关临床细节,BASE,exact,28,28,0,28,0.0,0,,0.0,0,0,0,0,0,0,,,,,,0,TARGET_ADHERENCE
BE,Robustness,无关临床细节,BASE,semantic,28,28,0,28,0.0,0,,0.03571428571428571,1,0.03571428571428571,0.03571428571428571,1,0,0,,,,,,0,TARGET_ADHERENCE
BE,Robustness,无关临床细节,FORCED_ON,exact,28,28,28,0,1.0,28,1.0,,28,1,1,0,0,28,,,,,,0,TARGET_ADHERENCE
BE,Robustness,无关临床细节,FORCED_ON,semantic,28,28,28,0,1.0,28,1.0,,28,1,1,1,0,27,,,,,,0,TARGET_ADHERENCE
BE,Robustness,无关临床细节,BE_ROUTE_R0,exact,28,28,28,0,1.0,28,1.0,,28,1,1,0,0,28,,,,,,0,TARGET_ADHERENCE
BE,Robustness,无关临床细节,BE_ROUTE_R0,semantic,28,28,28,0,1.0,28,1.0,,28,1,1,1,0,27,,,,,,0,TARGET_ADHERENCE
BE,Robustness,无关临床细节,RC_FIXED_OLD16,exact,28,28,28,0,1.0,28,1.0,,28,1,1,0,0,28,,,,,,0,TARGET_ADHERENCE
