positive_family,negative_family,positive_n,negative_n,positive_role,negative_role,AUROC,status
Reliability,T_Locality,200,200,OFFICIAL_IN_SCOPE_PROXY,OFFICIAL_LOCALITY_PROXY_NOT_REVIEWED_H,1.0,POST_HOC_DIAGNOSTIC_ONLY
Reliability,I_Locality,200,67,OFFICIAL_IN_SCOPE_PROXY,OFFICIAL_LOCALITY_PROXY_NOT_REVIEWED_H,1.0,POST_HOC_DIAGNOSTIC_ONLY
T_Generality,T_Locality,200,200,OFFICIAL_IN_SCOPE_PROXY,OFFICIAL_LOCALITY_PROXY_NOT_REVIEWED_H,1.0,POST_HOC_DIAGNOSTIC_ONLY
T_Generality,I_Locality,200,67,OFFICIAL_IN_SCOPE_PROXY,OFFICIAL_LOCALITY_PROXY_NOT_REVIEWED_H,1.0,POST_HOC_DIAGNOSTIC_ONLY
I_Generality,T_Locality,164,200,OFFICIAL_IN_SCOPE_PROXY,OFFICIAL_LOCALITY_PROXY_NOT_REVIEWED_H,1.0,POST_HOC_DIAGNOSTIC_ONLY
I_Generality,I_Locality,164,67,OFFICIAL_IN_SCOPE_PROXY,OFFICIAL_LOCALITY_PROXY_NOT_REVIEWED_H,0.9816163087004004,POST_HOC_DIAGNOSTIC_ONLY
