method,metric,subtype,mode,score,edits,probes,on,off,activation,on_success,success_given_on,base_correct_given_off,total_success,probe_micro,edit_macro,base_reference_correct,base_correct_damage,base_wrong_correction,off_base_preserved,on_output_preserved,on_output_damaged,target_copy_total,target_copy_on,cap_hits,score_definition,base_success,net_success_delta,paired_delta
BE,Portability,1-hop,BASE,exact,73,73,0,73,0.0,0,,0.0,0,0,0,0,0,0,,,,,,0,TARGET_ADHERENCE,0,0,0.0
BE,Portability,1-hop,BASE,semantic,73,73,0,73,0.0,0,,0.2876712328767123,21,0.2876712328767123,0.2876712328767123,21,0,0,,,,,,0,TARGET_ADHERENCE,21,0,0.0
BE,Portability,1-hop,FORCED_ON,exact,73,73,73,0,1.0,1,0.0136986301369863,,1,0.0136986301369863,0.0136986301369863,0,0,1,,,,,,1,TARGET_ADHERENCE,0,1,0.0136986301369863
BE,Portability,1-hop,FORCED_ON,semantic,73,73,73,0,1.0,8,0.1095890410958904,,8,0.1095890410958904,0.1095890410958904,21,18,5,,,,,,1,TARGET_ADHERENCE,21,-13,-0.1780821917808219
BE,Portability,1-hop,BE_ROUTE_R0,exact,73,73,73,0,1.0,1,0.0136986301369863,,1,0.0136986301369863,0.0136986301369863,0,0,1,,,,,,1,TARGET_ADHERENCE,0,1,0.0136986301369863
BE,Portability,1-hop,BE_ROUTE_R0,semantic,73,73,73,0,1.0,8,0.1095890410958904,,8,0.1095890410958904,0.1095890410958904,21,18,5,,,,,,1,TARGET_ADHERENCE,21,-13,-0.1780821917808219
BE,Portability,1-hop,RC_FIXED_OLD16,exact,73,73,73,0,1.0,1,0.0136986301369863,,1,0.0136986301369863,0.0136986301369863,0,0,1,,,,,,1,TARGET_ADHERENCE,0,1,0.0136986301369863
BE,Portability,1-hop,RC_FIXED_OLD16,semantic,73,73,73,0,1.0,8,0.1095890410958904,,8,0.1095890410958904,0.1095890410958904,21,18,5,,,,,,1,TARGET_ADHERENCE,21,-13,-0.1780821917808219
BE,Portability,2-hop,BASE,exact,24,24,0,24,0.0,0,,0.0,0,0,0,0,0,0,,,,,,0,TARGET_ADHERENCE,0,0,0.0
BE,Portability,2-hop,BASE,semantic,24,24,0,24,0.0,0,,0.3333333333333333,8,0.3333333333333333,0.3333333333333333,8,0,0,,,,,,0,TARGET_ADHERENCE,8,0,0.0
