metric,subtype,variable,r0_on,rc_old_on,n,minimum,p05,p25,median,p75,p95,maximum,mean
I_Generality,ALL,d,160,2,164,4.8490400314331055,13.276160478591919,21.444143295288086,27.676424026489258,33.926353454589844,45.80345554351806,72.09123992919922,28.174933738824798
I_Generality,ALL,radius,160,2,164,20.588275909423828,27.005649948120116,47.829434394836426,58.29205894470215,64.66728782653809,74.95748329162598,88.79822540283203,55.70877400840201
I_Generality,ALL,ratio,160,2,164,0.1871601516920591,0.26682536513893873,0.3653942421757501,0.5110664746941536,0.6087636682433251,0.8853841599994716,1.0960205065040038,0.5202900807506493
I_Generality,ALL,margin,160,2,164,-0.09602050650400377,0.1146158400005283,0.39123633175667494,0.4889335253058464,0.6346057578242499,0.7331746348610612,0.8128398483079409,0.4797099192493507
I_Locality,ALL,d,18,0,67,41.2728271484375,49.59081878662109,55.90705490112305,63.639930725097656,67.06212615966797,71.91941452026367,74.99679565429688,61.659435044473675
I_Locality,ALL,radius,18,0,67,23.079133987426758,36.2898063659668,48.25073051452637,57.19723892211914,63.51173210144043,72.36183090209961,78.7657241821289,55.3000905620518
I_Locality,ALL,ratio,18,0,67,0.7645144650728306,0.8125474676119954,0.9908225666136805,1.0810620072004558,1.2224752302108441,1.7152317340647254,3.1886049328630235,1.178739554009943
I_Locality,ALL,margin,18,0,67,-2.1886049328630235,-0.7152317340647265,-0.2224752302108442,-0.0810620072004558,0.009177433386319399,0.1874525323880045,0.23548553492716942,-0.1787395540099431
Portability,1-hop,d,73,73,73,1.8887205123901367,1.9813620090484618,2.263526678085327,2.574115514755249,2.9816055297851562,4.1848732948303216,4.478519439697266,2.7678029145279974
Portability,1-hop,radius,73,73,73,22.781787872314453,27.81718521118164,45.8956298828125,55.62181854248047,63.82982635498047,72.71083984375,85.64730072021484,53.68258426614003
Portability,1-hop,ratio,73,73,73,0.022052306336659045,0.031466125506332945,0.03907403287635535,0.049037587949171284,0.0641609484813278,0.11628926546526598,0.1940505844862771,0.05699467070214959
Portability,1-hop,margin,73,73,73,0.8059494155137229,0.8837107345347338,0.9358390515186722,0.9509624120508288,0.9609259671236446,0.968533874493667,0.977947693663341,0.9430053292978504
Portability,2-hop,d,24,24,24,1.9511687755584717,1.9811304032802581,2.3138577342033386,2.8170849084854126,3.3053284883499146,3.711689698696136,3.8125030994415283,2.80739855269591
Portability,2-hop,radius,24,24,24,23.079133987426758,27.04444818496704,43.799678802490234,51.3773136138916,61.19176959991455,72.82340850830079,73.24756622314453,51.805768171946205
Portability,2-hop,ratio,24,24,24,0.030664294314844586,0.032116706019507744,0.04421800220199084,0.05457444820848346,0.060506416137668745,0.12052581010773203,0.16241351423742903,0.059741769598658054
Portability,2-hop,margin,24,24,24,0.837586485762571,0.8794741898922679,0.9394935838623313,0.9454255517915165,0.9557819977980091,0.9678832939804922,0.9693357056851554,0.9402582304013419
Portability,3-hop,d,2,2,2,2.9895033836364746,2.9930123329162597,3.0070481300354004,3.024592876434326,3.042137622833252,3.0561734199523927,3.0596823692321777,3.024592876434326
Portability,3-hop,radius,2,2,2,57.19723892211914,57.318291664123535,57.80250263214111,58.407766342163086,59.01303005218506,59.49724102020264,59.61829376220703,58.407766342163086
Portability,3-hop,ratio,2,2,2,0.05132119985580262,0.05136846826834604,0.05155754191851972,0.05179388398123682,0.05203022604395392,0.0522192996941276,0.05226656810667102,0.05179388398123682
Portability,3-hop,margin,2,2,2,0.9477334318933289,0.9477807003058724,0.947969773956046,0.9482061160187631,0.9484424580814803,0.9486315317316539,0.9486788001441974,0.9482061160187631
Reliability,ALL,d,200,200,200,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Reliability,ALL,radius,200,200,200,20.588275909423828,26.816805553436282,47.612749099731445,59.08402442932129,65.2209587097168,74.86394691467285,88.79822540283203,55.80466604232788
Reliability,ALL,ratio,200,200,200,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Reliability,ALL,margin,200,200,200,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Robustness,伪权威干扰,d,23,22,23,1.5962823629379272,3.0582552194595336,3.9765604734420776,4.630828857421875,5.0437047481536865,5.819900941848754,6.1607537269592285,4.409108602482339
Robustness,伪权威干扰,radius,23,22,23,21.69011688232422,22.046441268920898,42.22808074951172,49.67329406738281,64.74170684814453,78.03929138183592,85.03795623779297,52.024563001549765
Robustness,伪权威干扰,ratio,23,22,23,0.02448100317941455,0.04984868419247878,0.06458073987740678,0.08505412230589209,0.1088675306387662,0.2195137978753673,0.2441291537691463,0.10136366926015747
Robustness,伪权威干扰,margin,23,22,23,0.7558708462308537,0.7804862021246327,0.8911324693612338,0.914945877694108,0.9354192601225932,0.9501513158075212,0.9755189968205854,0.8986363307398425
Robustness,无关临床细节,d,28,28,28,1.5062880516052246,1.6037151873111726,2.3918229937553406,2.96147358417511,3.556845188140869,5.899063134193419,8.652290344238281,3.2294880875519345
Robustness,无关临床细节,radius,28,28,28,21.77548599243164,27.17081413269043,49.07302188873291,61.44662666320801,64.42011070251465,74.25331001281738,77.60295104980469,56.68456213814871
Robustness,无关临床细节,ratio,28,28,28,0.021663887936042143,0.0281464455132614,0.03966502935049597,0.05091242659869351,0.06991665516295659,0.11738265551079496,0.13160861841805113,0.06096006243096539
Robustness,无关临床细节,margin,28,28,28,0.8683913815819488,0.882617344489205,0.9300833448370434,0.9490875734013065,0.960334970649504,0.9718535544867386,0.9783361120639579,0.9390399375690346
