edit,condition,step,panel,medical_scope,roi_subset,pairs,both_correct,native_only,H_only,both_wrong,pair_correct,unique_inputs,unique_images,patients
101,J0_CP_R4,160,FIT_PairCorrect,BODY_REGION,False,3,3,0,0,0,1.0,4,4,UNKNOWN
101,J0_CP_R4,160,EVAL_PairCorrect,BODY_REGION,False,2,2,0,0,0,1.0,3,3,UNKNOWN
101,J0_CP_R4,320,FIT_PairCorrect,BODY_REGION,False,3,3,0,0,0,1.0,4,4,UNKNOWN
101,J0_CP_R4,320,EVAL_PairCorrect,BODY_REGION,False,2,2,0,0,0,1.0,3,3,UNKNOWN
101,J1_FREE_R4,160,FIT_PairCorrect,BODY_REGION,False,3,3,0,0,0,1.0,4,4,UNKNOWN
101,J1_FREE_R4,160,EVAL_PairCorrect,BODY_REGION,False,2,2,0,0,0,1.0,3,3,UNKNOWN
101,J1_FREE_R4,320,FIT_PairCorrect,BODY_REGION,False,3,3,0,0,0,1.0,4,4,UNKNOWN
101,J1_FREE_R4,320,EVAL_PairCorrect,BODY_REGION,False,2,2,0,0,0,1.0,3,3,UNKNOWN
101,J2_FREE_R16,160,FIT_PairCorrect,BODY_REGION,False,3,3,0,0,0,1.0,4,4,UNKNOWN
101,J2_FREE_R16,160,EVAL_PairCorrect,BODY_REGION,False,2,2,0,0,0,1.0,3,3,UNKNOWN
101,J2_FREE_R16,320,FIT_PairCorrect,BODY_REGION,False,3,3,0,0,0,1.0,4,4,UNKNOWN
101,J2_FREE_R16,320,EVAL_PairCorrect,BODY_REGION,False,2,2,0,0,0,1.0,3,3,UNKNOWN
102,J0_CP_R4,160,FIT_PairCorrect,ORGAN_VISIBILITY,True,1,0,0,0,1,0.0,2,2,UNKNOWN
102,J0_CP_R4,160,EVAL_PairCorrect,ORGAN_VISIBILITY,True,1,0,0,0,1,0.0,2,2,UNKNOWN
102,J0_CP_R4,320,FIT_PairCorrect,ORGAN_VISIBILITY,True,1,0,0,1,0,0.0,2,2,UNKNOWN
102,J0_CP_R4,320,EVAL_PairCorrect,ORGAN_VISIBILITY,True,1,0,0,1,0,0.0,2,2,UNKNOWN
102,J1_FREE_R4,160,FIT_PairCorrect,ORGAN_VISIBILITY,True,1,1,0,0,0,1.0,2,2,UNKNOWN
102,J1_FREE_R4,160,EVAL_PairCorrect,ORGAN_VISIBILITY,True,1,0,1,0,0,0.0,2,2,UNKNOWN
102,J1_FREE_R4,320,FIT_PairCorrect,ORGAN_VISIBILITY,True,1,1,0,0,0,1.0,2,2,UNKNOWN
102,J1_FREE_R4,320,EVAL_PairCorrect,ORGAN_VISIBILITY,True,1,0,1,0,0,0.0,2,2,UNKNOWN
