position,step,reg_gradient,preclip_total,reg_to_total,added_increment,changed_elements,native_gradient,fit_gradient,H_gradient,U_gradient,x_component_gradient,y_component_gradient,scale_relative,input_centered_to_ridge,patch_centered_to_ridge,final_centered_to_ridge,input_offdiag_mean,patch_offdiag_mean,final_offdiag_mean
1,1,4.011677618351264e-06,5.781115531921387,6.93927944563661e-07,4.013240059148883e-06,62998,0.0006677402416244149,0.0005711565027013421,5.589324951171875,0.5901697874069214,3.792909516453312e-06,3.157543356628104e-06,0.0007530615823305531,0.35840046178303286,0.01512394333436791,0.5497715904731424,0.999995831739496,0.9999997195422186,0.9999910536224779
1,80,1.722322289051345e-05,0.045671723783016205,0.0003771091052385063,1.7223244736906296e-05,73706,0.06584274768829346,0.05023185908794403,0.04676062986254692,0.008179320953786373,3.6650574449136666e-06,3.150701613552604e-06,0.00018354088208910558,0.35840046178303286,0.017699921664035483,0.5509727646200183,0.999995831739496,0.9999996487232178,0.9999909834497989
1,160,1.684386776806334e-05,0.019190240651369095,0.0008777309296984582,1.6843838123980833e-05,73722,0.01784997060894966,0.016040179878473282,0.023703113198280334,0.003187992610037327,4.335595550655257e-06,3.502118182673142e-06,0.00019741417066259,0.35840046178303286,0.017545358852446027,0.5509417817071778,0.999995831739496,0.9999996516437929,0.9999909875250677
1,320,1.6526883497798173e-05,0.008921440690755844,0.001852490429592037,1.6526890057392684e-05,73724,0.006838113069534302,0.00816527009010315,0.009274776093661785,0.0007486311951652169,5.4548747384878305e-06,4.025528981210976e-06,0.00021507056160306815,0.35840046178303286,0.01735405944742467,0.5509627719998081,0.999995831739496,0.9999996548392771,0.9999909910668676
2,1,2.3805330356841312e-05,3.097935676574707,7.684255853614799e-06,2.380688082857516e-05,70158,0.0009894402464851737,0.0016681764973327518,2.827465534210205,0.6541656851768494,0.0,1.3499789325623477e-06,0.00016585259502963618,0.18941042875837286,0.016195783939475412,0.4295452778960611,0.9999977971030763,0.9999996969539201,0.9999924857230937
2,80,1.4311466489659381e-05,0.011655326001346111,0.0012278907074762648,1.4311457364751655e-05,73707,0.006090800277888775,0.00769245158880949,0.009668604470789433,0.004203009884804487,0.0,1.4163384080258846e-06,0.00023782118364709776,0.18941042875837286,0.015875930379880006,0.42824548572501353,0.9999977971030763,0.9999997028226311,0.9999925021137795
2,160,1.3667329496547595e-05,0.0031366569455713034,0.004357291770732122,1.3667330093480237e-05,73715,0.004469430074095726,0.0022997460328042507,0.006922188214957714,0.0011462371330708265,0.0,1.482094013016665e-06,0.00025879984991195303,0.18941042875837286,0.015847085062870574,0.42772139108251217,0.9999977971030763,0.9999997041128488,0.9999925137467491
2,320,1.5253261982420766e-05,0.0017187509220093489,0.00887462039269108,1.525326183168199e-05,73723,0.0019631225150078535,0.0009493414545431733,0.003462336491793394,0.0005028998130001128,0.0,1.5991489382503083e-06,0.00022990310774455178,0.18941042875837286,0.016081923569708605,0.4276554986387129,0.9999977971030763,0.9999996992553504,0.9999925166513421
3,1,6.586238359089537e-06,2.37827205657959,2.769337654566655e-06,6.586040332179378e-06,68011,0.002558483276516199,0.002048941096290946,2.229274034500122,0.44302091002464294,0.0,1.6059344898374258e-07,0.00035932483856509947,0.1282717351253929,0.014842133817953157,0.3697369458036241,0.9999985081547431,0.9999997270863079,0.9999932753181527
3,80,1.173992793807363e-05,0.012413005344569683,0.000945776434649607,1.1739927610375048e-05,73706,0.006319068372249603,0.007566432468593121,0.007007550913840532,0.004735499154776335,0.0,1.8427938134768573e-07,0.00028502977127655983,0.1282717351253929,0.014827466416999445,0.37016148003777577,0.9999985081547431,0.9999997204305032,0.9999932640552953
3,160,1.1513872163940486e-05,0.003064115298911929,0.0037576497751338127,1.1513871750417964e-05,73720,0.0028152726590633392,0.002843290800228715,0.0039843968115746975,0.0018442653818055987,0.0,2.0897939833248293e-07,0.0003477674163951261,0.1282717351253929,0.014802335561205185,0.36982609299322095,0.9999985081547431,0.9999997212621701,0.9999932725809416
3,320,1.1583334150608329e-05,0.0016335132531821728,0.007091056119712138,1.1583334932395382e-05,73726,0.001273449044674635,0.0012614538427442312,0.0019472339190542698,0.0005079052061773837,0.0,2.496957192030652e-07,0.0002946358325782467,0.1282717351253929,0.014802278718084618,0.36937412317940366,0.9999985081547431,0.999999721343154,0.9999932829635217
4,1,1.9279443692706605e-05,2.3515589237213135,8.198579885975012e-06,1.9279828999161773e-05,69125,0.001692807418294251,0.0025456168223172426,2.1308319568634033,0.525141716003418,0.0,1.9856737166860055e-06,0.00023996163446220677,0.16660588320568898,0.015245196322363147,0.4050021065077885,0.999998062324973,0.9999997110601998,0.9999927656250375
4,80,4.064562495124889e-05,0.016235072165727615,0.002503569096357463,4.064564918677695e-05,73721,0.006371396593749523,0.004636160098016262,0.019525103271007538,0.005882212892174721,0.0,2.101155948679794e-06,9.510450602632128e-05,0.16660588320568898,0.017967253147931732,0.40777826215833723,0.999998062324973,0.9999996663829516,0.9999927146433372
4,160,4.205547610021711e-05,0.002914022421464324,0.014432104499416938,4.205547342148647e-05,73727,0.0040507325902581215,0.0024806982837617397,0.0057287197560071945,0.0011965553276240826,0.0,2.159615728390803e-06,8.877484237573575e-05,0.16660588320568898,0.01818091357164696,0.407717930762337,0.999998062324973,0.999999662832729,0.9999927129375696
