task_id,step,group,kl,epsilon,scale,residual,dual,saturation
SW_e01_P4_W1_KL_0.1,0,H,0.43317430913448335,0.21658715456724167,0.43317430913448335,0.21658715456724167,0.5,0
SW_e01_P4_W1_KL_0.1,0,U,0.02232136545353569,0.011160682726767845,0.02232136545353569,0.011160682726767845,0.5,0
SW_e01_P4_W1_KL_0.1,80,H,0.15500550158321857,0.21658715456724167,0.43317430913448335,-0.0615816529840231,0.5,0
SW_e01_P4_W1_KL_0.1,80,U,0.004024925729027018,0.011160682726767845,0.02232136545353569,-0.0071357569977408275,0.5,0
SW_e01_P4_W1_KL_0.1,160,H,0.11801234893500805,0.21658715456724167,0.43317430913448335,-0.09857480563223363,0.5,0
SW_e01_P4_W1_KL_0.1,160,U,0.002394316019490361,0.011160682726767845,0.02232136545353569,-0.008766366707277484,0.5,0
SW_e01_P4_W1_KL_0.1,320,H,0.0680382588878274,0.21658715456724167,0.43317430913448335,-0.14854889567941426,0.5,0
SW_e01_P4_W1_KL_0.1,320,U,0.0013064975701126968,0.011160682726767845,0.02232136545353569,-0.009854185156655149,0.5,0
SW_e01_L16_W1_KL_0.1,0,H,0.4331589758396149,0.21658715456724167,0.43317430913448335,0.2165718212723732,0.5,0
SW_e01_L16_W1_KL_0.1,0,U,0.022302650526398793,0.011160682726767845,0.02232136545353569,0.011141967799630947,0.5,0
SW_e01_L16_W1_KL_0.1,80,H,0.04270960542780813,0.21658715456724167,0.43317430913448335,-0.17387754913943354,0.5,0
SW_e01_L16_W1_KL_0.1,80,U,0.0030053477767069126,0.011160682726767845,0.02232136545353569,-0.008155334950060933,0.5,0
SW_e01_L16_W1_KL_0.1,160,H,0.03430391122237779,0.21658715456724167,0.43317430913448335,-0.1822832433448639,0.5,0
SW_e01_L16_W1_KL_0.1,160,U,0.0011949590248150344,0.011160682726767845,0.02232136545353569,-0.009965723701952811,0.5,0
SW_e01_L16_W1_KL_0.1,320,H,0.006775864871451631,0.21658715456724167,0.43317430913448335,-0.20981128969579005,0.5,0
SW_e01_L16_W1_KL_0.1,320,U,0.0021244495560495125,0.011160682726767845,0.02232136545353569,-0.009036233170718333,0.5,0
SW_e02_P4_W1_KL_0.1,0,H,0.20952726900577545,0.10476363450288773,0.20952726900577545,0.10476363450288773,0.5,0
SW_e02_P4_W1_KL_0.1,0,U,0.03768953122198582,0.01884476561099291,0.03768953122198582,0.01884476561099291,0.5,0
SW_e02_P4_W1_KL_0.1,80,H,0.04967408003285527,0.10476363450288773,0.20952726900577545,-0.055089554470032456,0.5,0
SW_e02_P4_W1_KL_0.1,80,U,0.013917014206526801,0.01884476561099291,0.03768953122198582,-0.0049277514044661075,0.5,0
SW_e02_P4_W1_KL_0.1,160,H,0.030349323712289333,0.10476363450288773,0.20952726900577545,-0.07441431079059839,0.5,0
SW_e02_P4_W1_KL_0.1,160,U,0.009731158206705004,0.01884476561099291,0.03768953122198582,-0.009113607404287905,0.5,0
SW_e02_P4_W1_KL_0.1,320,H,0.016454485245049,0.10476363450288773,0.20952726900577545,-0.08830914925783873,0.5,0
SW_e02_P4_W1_KL_0.1,320,U,0.00611043322714977,0.01884476561099291,0.03768953122198582,-0.012734332383843139,0.5,0
SW_e02_L16_W1_KL_0.1,0,H,0.20952906906604768,0.10476363450288773,0.20952726900577545,0.10476543456315995,0.5,0
SW_e02_L16_W1_KL_0.1,0,U,0.03769073460716754,0.01884476561099291,0.03768953122198582,0.018845968996174634,0.5,0
SW_e02_L16_W1_KL_0.1,80,H,0.0014008678001118824,0.10476363450288773,0.20952726900577545,-0.10336276670277585,0.5,0
SW_e02_L16_W1_KL_0.1,80,U,0.00543819488666486,0.01884476561099291,0.03768953122198582,-0.013406570724328049,0.5,0
SW_e02_L16_W1_KL_0.1,160,H,0.0007214874553028494,0.10476363450288773,0.20952726900577545,-0.10404214704758488,0.5,0
SW_e02_L16_W1_KL_0.1,160,U,0.002742758355452679,0.01884476561099291,0.03768953122198582,-0.01610200725554023,0.5,0
SW_e02_L16_W1_KL_0.1,320,H,0.0004825888725463301,0.10476363450288773,0.20952726900577545,-0.10428104563034139,0.5,0
SW_e02_L16_W1_KL_0.1,320,U,0.000747608106394182,0.01884476561099291,0.03768953122198582,-0.018097157504598727,0.5,0
SW_e03_P4_W1_KL_0.1,0,H,0.3343181379139423,0.16715906895697116,0.3343181379139423,0.16715906895697116,0.5,0
SW_e03_P4_W1_KL_0.1,0,U,0.018943144590593874,0.009471572295296937,0.018943144590593874,0.009471572295296937,0.5,0
SW_e03_P4_W1_KL_0.1,80,H,0.11165289562195539,0.16715906895697116,0.3343181379139423,-0.05550617333501577,0.5,0
SW_e03_P4_W1_KL_0.1,80,U,0.005666442462825216,0.009471572295296937,0.018943144590593874,-0.003805129832471721,0.5,0
SW_e03_P4_W1_KL_0.1,160,H,0.07750285184010863,0.16715906895697116,0.3343181379139423,-0.08965621711686253,0.5,0
