parameterization,condition,mode,role,stratum,edits,n,semantic_macro,exact_macro,token_parity_macro,kl_macro,base_correct_macro,base_correct_preserved_macro,base_correct_damage_macro,base_wrong_became_correct_macro,base_wrong_changed_macro,target_consistency_macro,fixed_on_macro,source_unknown_macro
L16,W0_TASK_ONLY,FIXED_ROUTER,evaluation,positive,7,28,0.9642857142857143,0.9642857142857143,0.03571428571428571,,0.0,,,0.9642857142857143,0.9642857142857143,0.9642857142857143,0.9642857142857143,0.0
L16,W0_TASK_ONLY,FIXED_ROUTER,fit,H,7,120,0.1357142857142857,0.0,0.7,0.42712235152721406,0.12142857142857143,1.0,0.0,0.07142857142857142,0.3142857142857143,0.2714285714285714,0.3,0.0
L16,W0_TASK_ONLY,FIXED_ROUTER,fit,U,7,116,0.36408730158730157,0.0,1.0,0.0,0.36408730158730157,1.0,0.0,0.0,0.0,0.13988095238095238,0.0,0.0
L16,W0_TASK_ONLY,FIXED_ROUTER,fit,positive,7,35,0.9428571428571428,1.0,0.0,,0.0,,,0.9428571428571428,1.0,0.9428571428571428,1.0,0.0
L16,W0_TASK_ONLY,FIXED_ROUTER,fit,scope_fit_positive_not_used_for_positive_CE,1,4,1.0,1.0,0.0,,0.0,,,1.0,1.0,1.0,1.0,0.0
L16,W0_TASK_ONLY,FIXED_ROUTER,formal_development,T1G,7,26,0.25,0.25,0.75,,0.0,,,0.25,0.25,0.25,0.25,0.0
L16,W0_TASK_ONLY,FIXED_ROUTER,formal_development,T1L,3,15,0.4,0.0,0.6,,0.6,0.6666666666666666,0.3333333333333333,0.0,0.5,0.4,0.4,0.0
L16,W0_TASK_ONLY,FIXED_ROUTER,formal_development,T2G,7,26,0.5,0.5357142857142857,0.4642857142857143,,0.0,,,0.5,0.5357142857142857,0.5,0.5357142857142857,0.0
L16,W0_TASK_ONLY,FIXED_ROUTER,native,positive,7,7,1.0,1.0,0.0,,0.0,,,1.0,1.0,1.0,1.0,0.0
L16,W0_TASK_ONLY,FORCED_ON,calibration,H,7,96,0.10714285714285714,0.0,0.0,1.8666977834488665,0.10714285714285714,0.3333333333333333,0.6666666666666666,0.08035714285714286,1.0,0.7053571428571429,0.0,0.0
L16,W0_TASK_ONLY,FORCED_ON,calibration,U,7,116,0.07837301587301587,0.0,0.026785714285714284,0.42792506568597644,0.37896825396825395,0.08180708180708181,0.9181929181929182,0.05860805860805861,0.978021978021978,0.044642857142857144,0.0,0.0
L16,W0_TASK_ONLY,FORCED_ON,calibration,positive,7,28,1.0,1.0,0.0,,0.07142857142857142,1.0,0.0,1.0,1.0,1.0,1.0,0.0
L16,W0_TASK_ONLY,FORCED_ON,challenge,same_image_other_fact_challenge,3,26,0.08333333333333333,0.0,0.0,0.4896113327186969,0.25,0.16666666666666666,0.8333333333333333,0.07407407407407407,1.0,0.16666666666666666,0.05555555555555555,0.0
L16,W0_TASK_ONLY,FORCED_ON,evaluation,H,7,112,0.10714285714285715,0.0,0.0,1.9837642880422728,0.028571428571428574,1.0,0.0,0.10476190476190476,1.0,0.8857142857142857,0.13571428571428573,0.0
L16,W0_TASK_ONLY,FORCED_ON,evaluation,U,7,112,0.09523809523809523,0.0,0.03809523809523809,0.42842642918934015,0.3983291562238931,0.2227891156462585,0.7772108843537415,0.0,0.9393939393939393,0.08412698412698412,0.0,0.0
L16,W0_TASK_ONLY,FORCED_ON,evaluation,positive,7,28,1.0,1.0,0.0,,0.0,,,1.0,1.0,1.0,0.9642857142857143,0.0
L16,W0_TASK_ONLY,FORCED_ON,fit,H,7,120,0.14285714285714285,0.0,0.0,1.9033087134361266,0.12142857142857143,0.375,0.625,0.14444444444444446,1.0,0.7928571428571428,0.3,0.0
L16,W0_TASK_ONLY,FORCED_ON,fit,U,7,116,0.0882936507936508,0.0,0.03571428571428571,0.3765124323489588,0.36408730158730157,0.21173469387755103,0.7882653061224489,0.02040816326530612,0.9795918367346939,0.044642857142857144,0.0,0.0
L16,W0_TASK_ONLY,FORCED_ON,fit,positive,7,35,0.9428571428571428,1.0,0.0,,0.0,,,0.9428571428571428,1.0,0.9428571428571428,1.0,0.0
L16,W0_TASK_ONLY,FORCED_ON,fit,scope_fit_positive_not_used_for_positive_CE,1,4,1.0,1.0,0.0,,0.0,,,1.0,1.0,1.0,1.0,0.0
L16,W0_TASK_ONLY,FORCED_ON,formal_development,T1G,7,26,1.0,1.0,0.0,,0.0,,,1.0,1.0,1.0,0.25,0.0
L16,W0_TASK_ONLY,FORCED_ON,formal_development,T1L,3,15,0.13333333333333333,0.13333333333333333,0.0,,0.6,0.0,1.0,0.3333333333333333,1.0,1.0,0.4,0.0
L16,W0_TASK_ONLY,FORCED_ON,formal_development,T2G,7,26,0.8452380952380952,0.9523809523809523,0.0,,0.0,,,0.8452380952380952,1.0,0.8452380952380952,0.5357142857142857,0.0
L16,W0_TASK_ONLY,FORCED_ON,native,positive,7,7,1.0,1.0,0.0,,0.0,,,1.0,1.0,1.0,1.0,0.0
L16,W1_KL_0.1,DISABLED,calibration,H,7,96,0.10714285714285714,0.0,1.0,0.0,0.10714285714285714,1.0,0.0,0.0,0.0,0.0,0.0,0.0
L16,W1_KL_0.1,DISABLED,calibration,U,7,116,0.37896825396825395,0.0,1.0,0.0,0.37896825396825395,1.0,0.0,0.0,0.0,0.13988095238095238,0.0,0.0
L16,W1_KL_0.1,DISABLED,calibration,positive,7,28,0.07142857142857142,0.0,1.0,,0.07142857142857142,1.0,0.0,0.0,0.0,0.07142857142857142,1.0,0.0
L16,W1_KL_0.1,DISABLED,challenge,same_image_other_fact_challenge,3,26,0.25,0.0,1.0,0.0,0.25,1.0,0.0,0.0,0.0,0.08333333333333333,0.05555555555555555,0.0
L16,W1_KL_0.1,DISABLED,evaluation,H,7,112,0.028571428571428574,0.0,1.0,0.0,0.028571428571428574,1.0,0.0,0.0,0.0,0.02857142857142857,0.13571428571428573,0.0
L16,W1_KL_0.1,DISABLED,evaluation,U,7,112,0.3983291562238931,0.0,1.0,0.0,0.3983291562238931,1.0,0.0,0.0,0.0,0.13132832080200502,0.0,0.0
L16,W1_KL_0.1,DISABLED,evaluation,positive,7,28,0.0,0.0,1.0,,0.0,,,0.0,0.0,0.0,0.9642857142857143,0.0
L16,W1_KL_0.1,DISABLED,fit,H,7,120,0.12142857142857143,0.0,1.0,0.0,0.12142857142857143,1.0,0.0,0.0,0.0,0.0071428571428571435,0.3,0.0
L16,W1_KL_0.1,DISABLED,fit,U,7,116,0.36408730158730157,0.0,1.0,0.0,0.36408730158730157,1.0,0.0,0.0,0.0,0.13988095238095238,0.0,0.0
L16,W1_KL_0.1,DISABLED,fit,positive,7,35,0.0,0.0,1.0,,0.0,,,0.0,0.0,0.0,1.0,0.0
L16,W1_KL_0.1,DISABLED,fit,scope_fit_positive_not_used_for_positive_CE,1,4,0.0,0.0,1.0,,0.0,,,0.0,0.0,0.0,1.0,0.0
L16,W1_KL_0.1,DISABLED,formal_development,T1G,7,26,0.0,0.0,1.0,,0.0,,,0.0,0.0,0.0,0.25,0.0
L16,W1_KL_0.1,DISABLED,formal_development,T1L,3,15,0.6,0.0,1.0,,0.6,1.0,0.0,0.0,0.0,0.0,0.4,0.0
L16,W1_KL_0.1,DISABLED,formal_development,T2G,7,26,0.0,0.0,1.0,,0.0,,,0.0,0.0,0.0,0.5357142857142857,0.0
L16,W1_KL_0.1,DISABLED,native,positive,7,7,0.0,0.0,1.0,,0.0,,,0.0,0.0,0.0,1.0,0.0
L16,W1_KL_0.1,FIXED_ROUTER,calibration,H,7,96,0.10714285714285714,0.0,1.0,0.0,0.10714285714285714,1.0,0.0,0.0,0.0,0.0,0.0,0.0
L16,W1_KL_0.1,FIXED_ROUTER,calibration,U,7,116,0.37896825396825395,0.0,1.0,0.0,0.37896825396825395,1.0,0.0,0.0,0.0,0.13988095238095238,0.0,0.0
L16,W1_KL_0.1,FIXED_ROUTER,calibration,positive,7,28,0.7142857142857143,0.6428571428571429,0.35714285714285715,,0.07142857142857142,1.0,0.0,0.6428571428571429,0.6428571428571429,0.7142857142857143,1.0,0.0
L16,W1_KL_0.1,FIXED_ROUTER,challenge,same_image_other_fact_challenge,3,26,0.25,0.0,0.9444444444444444,0.0018191743745572036,0.25,1.0,0.0,0.0,0.07407407407407407,0.1111111111111111,0.05555555555555555,0.0
L16,W1_KL_0.1,FIXED_ROUTER,evaluation,H,7,112,0.028571428571428574,0.0,0.95,0.00573517423139752,0.028571428571428574,1.0,0.0,0.0,0.04285714285714286,0.03571428571428571,0.13571428571428573,0.0
L16,W1_KL_0.1,FIXED_ROUTER,evaluation,U,7,112,0.3983291562238931,0.0,1.0,0.0,0.3983291562238931,1.0,0.0,0.0,0.0,0.13132832080200502,0.0,0.0
L16,W1_KL_0.1,FIXED_ROUTER,evaluation,positive,7,28,0.75,0.75,0.25,,0.0,,,0.75,0.75,0.75,0.9642857142857143,0.0
L16,W1_KL_0.1,FIXED_ROUTER,fit,H,7,120,0.1357142857142857,0.0,0.8928571428571429,0.007056938048585185,0.12142857142857143,1.0,0.0,0.07142857142857142,0.12142857142857143,0.0642857142857143,0.3,0.0
L16,W1_KL_0.1,FIXED_ROUTER,fit,U,7,116,0.36408730158730157,0.0,1.0,0.0,0.36408730158730157,1.0,0.0,0.0,0.0,0.13988095238095238,0.0,0.0
L16,W1_KL_0.1,FIXED_ROUTER,fit,positive,7,35,0.9428571428571428,1.0,0.0,,0.0,,,0.9428571428571428,1.0,0.9428571428571428,1.0,0.0
L16,W1_KL_0.1,FIXED_ROUTER,fit,scope_fit_positive_not_used_for_positive_CE,1,4,0.0,0.0,0.75,,0.0,,,0.0,0.25,0.0,1.0,0.0
L16,W1_KL_0.1,FIXED_ROUTER,formal_development,T1G,7,26,0.25,0.25,0.75,,0.0,,,0.25,0.25,0.25,0.25,0.0
L16,W1_KL_0.1,FIXED_ROUTER,formal_development,T1L,3,15,0.5333333333333333,0.0,0.8666666666666667,,0.6,0.8888888888888888,0.1111111111111111,0.0,0.16666666666666666,0.13333333333333333,0.4,0.0
L16,W1_KL_0.1,FIXED_ROUTER,formal_development,T2G,7,26,0.2261904761904762,0.14285714285714285,0.5833333333333334,,0.0,,,0.2261904761904762,0.4166666666666667,0.2261904761904762,0.5357142857142857,0.0
L16,W1_KL_0.1,FIXED_ROUTER,native,positive,7,7,1.0,1.0,0.0,,0.0,,,1.0,1.0,1.0,1.0,0.0
L16,W1_KL_0.1,FORCED_ON,calibration,H,7,96,0.17857142857142858,0.0,0.6785714285714286,0.04423684463758296,0.10714285714285714,0.8333333333333334,0.16666666666666666,0.13095238095238096,0.36607142857142855,0.11607142857142858,0.0,0.0
L16,W1_KL_0.1,FORCED_ON,calibration,U,7,116,0.41369047619047616,0.0,0.46924603174603174,0.0041350783754635825,0.37896825396825395,0.9158730158730158,0.08412698412698412,0.0927960927960928,0.5934287934287934,0.13095238095238096,0.0,0.0
L16,W1_KL_0.1,FORCED_ON,calibration,positive,7,28,0.7142857142857143,0.6428571428571429,0.35714285714285715,,0.07142857142857142,1.0,0.0,0.6428571428571429,0.6428571428571429,0.7142857142857143,1.0,0.0
L16,W1_KL_0.1,FORCED_ON,challenge,same_image_other_fact_challenge,3,26,0.3888888888888889,0.0,0.6111111111111112,0.006561477624927647,0.25,0.8333333333333333,0.16666666666666666,0.16666666666666666,0.37037037037037035,0.1111111111111111,0.05555555555555555,0.0
L16,W1_KL_0.1,FORCED_ON,evaluation,H,7,112,0.10714285714285715,0.0,0.5714285714285714,0.0878365010372363,0.028571428571428574,1.0,0.0,0.10476190476190476,0.4285714285714286,0.3142857142857143,0.13571428571428573,0.0
L16,W1_KL_0.1,FORCED_ON,evaluation,U,7,112,0.38086883876357563,0.0,0.48120300751879697,0.004129120598755483,0.3983291562238931,0.9175170068027211,0.0824829931972789,0.02886002886002886,0.6196608946608947,0.12180451127819548,0.0,0.0
L16,W1_KL_0.1,FORCED_ON,evaluation,positive,7,28,0.7857142857142857,0.7857142857142857,0.21428571428571427,,0.0,,,0.7857142857142857,0.7857142857142857,0.7857142857142857,0.9642857142857143,0.0
L16,W1_KL_0.1,FORCED_ON,fit,H,7,120,0.13571428571428573,0.0,0.7571428571428571,0.010677069914943006,0.12142857142857143,0.75,0.25,0.0873015873015873,0.26031746031746034,0.09285714285714286,0.3,0.0
L16,W1_KL_0.1,FORCED_ON,fit,U,7,116,0.3382936507936508,0.0,0.5873015873015873,0.006066159221590501,0.36408730158730157,0.8639455782312925,0.13605442176870747,0.015873015873015872,0.4682840968555254,0.12202380952380952,0.0,0.0
L16,W1_KL_0.1,FORCED_ON,fit,positive,7,35,0.9428571428571428,1.0,0.0,,0.0,,,0.9428571428571428,1.0,0.9428571428571428,1.0,0.0
L16,W1_KL_0.1,FORCED_ON,fit,scope_fit_positive_not_used_for_positive_CE,1,4,0.0,0.0,0.75,,0.0,,,0.0,0.25,0.0,1.0,0.0
L16,W1_KL_0.1,FORCED_ON,formal_development,T1G,7,26,1.0,1.0,0.0,,0.0,,,1.0,1.0,1.0,0.25,0.0
L16,W1_KL_0.1,FORCED_ON,formal_development,T1L,3,15,0.4,0.13333333333333333,0.4,,0.6,0.4444444444444444,0.5555555555555556,0.3333333333333333,0.6666666666666666,0.5333333333333333,0.4,0.0
L16,W1_KL_0.1,FORCED_ON,formal_development,T2G,7,26,0.38095238095238093,0.2976190476190476,0.19047619047619047,,0.0,,,0.38095238095238093,0.8095238095238095,0.38095238095238093,0.5357142857142857,0.0
L16,W1_KL_0.1,FORCED_ON,native,positive,7,7,1.0,1.0,0.0,,0.0,,,1.0,1.0,1.0,1.0,0.0
L16,W1_KL_1,DISABLED,calibration,H,7,96,0.10714285714285714,0.0,1.0,0.0,0.10714285714285714,1.0,0.0,0.0,0.0,0.0,0.0,0.0
L16,W1_KL_1,DISABLED,calibration,U,7,116,0.37896825396825395,0.0,1.0,0.0,0.37896825396825395,1.0,0.0,0.0,0.0,0.13988095238095238,0.0,0.0
L16,W1_KL_1,DISABLED,calibration,positive,7,28,0.07142857142857142,0.0,1.0,,0.07142857142857142,1.0,0.0,0.0,0.0,0.07142857142857142,1.0,0.0
L16,W1_KL_1,DISABLED,challenge,same_image_other_fact_challenge,3,26,0.25,0.0,1.0,0.0,0.25,1.0,0.0,0.0,0.0,0.08333333333333333,0.05555555555555555,0.0
L16,W1_KL_1,DISABLED,evaluation,H,7,112,0.028571428571428574,0.0,1.0,0.0,0.028571428571428574,1.0,0.0,0.0,0.0,0.02857142857142857,0.13571428571428573,0.0
L16,W1_KL_1,DISABLED,evaluation,U,7,112,0.3983291562238931,0.0,1.0,0.0,0.3983291562238931,1.0,0.0,0.0,0.0,0.13132832080200502,0.0,0.0
L16,W1_KL_1,DISABLED,evaluation,positive,7,28,0.0,0.0,1.0,,0.0,,,0.0,0.0,0.0,0.9642857142857143,0.0
L16,W1_KL_1,DISABLED,fit,H,7,120,0.12142857142857143,0.0,1.0,0.0,0.12142857142857143,1.0,0.0,0.0,0.0,0.0071428571428571435,0.3,0.0
L16,W1_KL_1,DISABLED,fit,U,7,116,0.36408730158730157,0.0,1.0,0.0,0.36408730158730157,1.0,0.0,0.0,0.0,0.13988095238095238,0.0,0.0
L16,W1_KL_1,DISABLED,fit,positive,7,35,0.0,0.0,1.0,,0.0,,,0.0,0.0,0.0,1.0,0.0
L16,W1_KL_1,DISABLED,fit,scope_fit_positive_not_used_for_positive_CE,1,4,0.0,0.0,1.0,,0.0,,,0.0,0.0,0.0,1.0,0.0
L16,W1_KL_1,DISABLED,formal_development,T1G,7,26,0.0,0.0,1.0,,0.0,,,0.0,0.0,0.0,0.25,0.0
L16,W1_KL_1,DISABLED,formal_development,T1L,3,15,0.6,0.0,1.0,,0.6,1.0,0.0,0.0,0.0,0.0,0.4,0.0
L16,W1_KL_1,DISABLED,formal_development,T2G,7,26,0.0,0.0,1.0,,0.0,,,0.0,0.0,0.0,0.5357142857142857,0.0
L16,W1_KL_1,DISABLED,native,positive,7,7,0.0,0.0,1.0,,0.0,,,0.0,0.0,0.0,1.0,0.0
L16,W1_KL_1,FIXED_ROUTER,calibration,H,7,96,0.10714285714285714,0.0,1.0,0.0,0.10714285714285714,1.0,0.0,0.0,0.0,0.0,0.0,0.0
L16,W1_KL_1,FIXED_ROUTER,calibration,U,7,116,0.37896825396825395,0.0,1.0,0.0,0.37896825396825395,1.0,0.0,0.0,0.0,0.13988095238095238,0.0,0.0
L16,W1_KL_1,FIXED_ROUTER,calibration,positive,7,28,0.5357142857142857,0.4642857142857143,0.5,,0.07142857142857142,1.0,0.0,0.4642857142857143,0.4642857142857143,0.5357142857142857,1.0,0.0
L16,W1_KL_1,FIXED_ROUTER,challenge,same_image_other_fact_challenge,3,26,0.25,0.0,0.9722222222222222,0.0002847255026507709,0.25,1.0,0.0,0.0,0.037037037037037035,0.08333333333333333,0.05555555555555555,0.0
L16,W1_KL_1,FIXED_ROUTER,evaluation,H,7,112,0.028571428571428574,0.0,0.95,0.004721410973745931,0.028571428571428574,1.0,0.0,0.0,0.04285714285714286,0.03571428571428571,0.13571428571428573,0.0
L16,W1_KL_1,FIXED_ROUTER,evaluation,U,7,112,0.3983291562238931,0.0,1.0,0.0,0.3983291562238931,1.0,0.0,0.0,0.0,0.13132832080200502,0.0,0.0
L16,W1_KL_1,FIXED_ROUTER,evaluation,positive,7,28,0.5357142857142857,0.5357142857142857,0.42857142857142855,,0.0,,,0.5357142857142857,0.5714285714285714,0.5357142857142857,0.9642857142857143,0.0
L16,W1_KL_1,FIXED_ROUTER,fit,H,7,120,0.12142857142857143,0.0,0.9142857142857143,0.0001941178667558623,0.12142857142857143,1.0,0.0,0.0,0.1285714285714286,0.0071428571428571435,0.3,0.0
L16,W1_KL_1,FIXED_ROUTER,fit,U,7,116,0.36408730158730157,0.0,1.0,0.0,0.36408730158730157,1.0,0.0,0.0,0.0,0.13988095238095238,0.0,0.0
L16,W1_KL_1,FIXED_ROUTER,fit,positive,7,35,0.8857142857142857,0.9428571428571428,0.05714285714285715,,0.0,,,0.8857142857142857,0.9428571428571428,0.8857142857142857,1.0,0.0
L16,W1_KL_1,FIXED_ROUTER,fit,scope_fit_positive_not_used_for_positive_CE,1,4,0.0,0.0,0.75,,0.0,,,0.0,0.25,0.0,1.0,0.0
L16,W1_KL_1,FIXED_ROUTER,formal_development,T1G,7,26,0.25,0.25,0.75,,0.0,,,0.25,0.25,0.25,0.25,0.0
L16,W1_KL_1,FIXED_ROUTER,formal_development,T1L,3,15,0.5333333333333333,0.0,0.8666666666666667,,0.6,0.8888888888888888,0.1111111111111111,0.0,0.16666666666666666,0.13333333333333333,0.4,0.0
L16,W1_KL_1,FIXED_ROUTER,formal_development,T2G,7,26,0.14285714285714285,0.14285714285714285,0.5476190476190476,,0.0,,,0.14285714285714285,0.4523809523809524,0.14285714285714285,0.5357142857142857,0.0
L16,W1_KL_1,FIXED_ROUTER,native,positive,7,7,1.0,1.0,0.0,,0.0,,,1.0,1.0,1.0,1.0,0.0
L16,W1_KL_1,FORCED_ON,calibration,H,7,96,0.1875,0.0,0.6696428571428571,0.027608768328069085,0.10714285714285714,1.0,0.0,0.1130952380952381,0.38392857142857145,0.10714285714285714,0.0,0.0
L16,W1_KL_1,FORCED_ON,calibration,U,7,116,0.40476190476190477,0.0,0.5783730158730159,0.0036088565684622154,0.37896825396825395,0.9365079365079365,0.06349206349206349,0.05982905982905983,0.48663558663558665,0.1388888888888889,0.0,0.0
L16,W1_KL_1,FORCED_ON,calibration,positive,7,28,0.5357142857142857,0.4642857142857143,0.5,,0.07142857142857142,1.0,0.0,0.4642857142857143,0.4642857142857143,0.5357142857142857,1.0,0.0
L16,W1_KL_1,FORCED_ON,challenge,same_image_other_fact_challenge,3,26,0.3888888888888889,0.0,0.6388888888888888,0.004396225397714362,0.25,0.8333333333333333,0.16666666666666666,0.16666666666666666,0.3333333333333333,0.08333333333333333,0.05555555555555555,0.0
L16,W1_KL_1,FORCED_ON,evaluation,H,7,112,0.10714285714285715,0.0,0.6214285714285714,0.07990718629319288,0.028571428571428574,1.0,0.0,0.10476190476190476,0.37857142857142856,0.29285714285714287,0.13571428571428573,0.0
L16,W1_KL_1,FORCED_ON,evaluation,U,7,112,0.38086883876357563,0.0,0.4558061821219716,0.004571380120132752,0.3983291562238931,0.8971088435374149,0.10289115646258502,0.04184704184704185,0.6531024531024531,0.13132832080200502,0.0,0.0
L16,W1_KL_1,FORCED_ON,evaluation,positive,7,28,0.5714285714285714,0.5714285714285714,0.39285714285714285,,0.0,,,0.5714285714285714,0.6071428571428571,0.5714285714285714,0.9642857142857143,0.0
L16,W1_KL_1,FORCED_ON,fit,H,7,120,0.12142857142857144,0.0,0.7714285714285715,0.004186301055805026,0.12142857142857143,0.5,0.5,0.023015873015873014,0.2746031746031746,0.03571428571428572,0.3,0.0
L16,W1_KL_1,FORCED_ON,fit,U,7,116,0.3740079365079365,0.0,0.5089285714285714,0.0046802999210653765,0.36408730158730157,0.9617346938775511,0.03826530612244898,0.03696303696303697,0.5414426842998272,0.13988095238095238,0.0,0.0
L16,W1_KL_1,FORCED_ON,fit,positive,7,35,0.8857142857142857,0.9428571428571428,0.05714285714285715,,0.0,,,0.8857142857142857,0.9428571428571428,0.8857142857142857,1.0,0.0
L16,W1_KL_1,FORCED_ON,fit,scope_fit_positive_not_used_for_positive_CE,1,4,0.0,0.0,0.75,,0.0,,,0.0,0.25,0.0,1.0,0.0
L16,W1_KL_1,FORCED_ON,formal_development,T1G,7,26,0.9642857142857143,0.9642857142857143,0.03571428571428571,,0.0,,,0.9642857142857143,0.9642857142857143,0.9642857142857143,0.25,0.0
L16,W1_KL_1,FORCED_ON,formal_development,T1L,3,15,0.39999999999999997,0.13333333333333333,0.4,,0.6,0.4444444444444444,0.5555555555555556,0.3333333333333333,0.6666666666666666,0.6,0.4,0.0
L16,W1_KL_1,FORCED_ON,formal_development,T2G,7,26,0.17857142857142858,0.17857142857142858,0.25,,0.0,,,0.17857142857142858,0.75,0.17857142857142858,0.5357142857142857,0.0
L16,W1_KL_1,FORCED_ON,native,positive,7,7,1.0,1.0,0.0,,0.0,,,1.0,1.0,1.0,1.0,0.0
L16,W1_KL_10,DISABLED,calibration,H,7,96,0.10714285714285714,0.0,1.0,0.0,0.10714285714285714,1.0,0.0,0.0,0.0,0.0,0.0,0.0
L16,W1_KL_10,DISABLED,calibration,U,7,116,0.37896825396825395,0.0,1.0,0.0,0.37896825396825395,1.0,0.0,0.0,0.0,0.13988095238095238,0.0,0.0
L16,W1_KL_10,DISABLED,calibration,positive,7,28,0.07142857142857142,0.0,1.0,,0.07142857142857142,1.0,0.0,0.0,0.0,0.07142857142857142,1.0,0.0
L16,W1_KL_10,DISABLED,challenge,same_image_other_fact_challenge,3,26,0.25,0.0,1.0,0.0,0.25,1.0,0.0,0.0,0.0,0.08333333333333333,0.05555555555555555,0.0
L16,W1_KL_10,DISABLED,evaluation,H,7,112,0.028571428571428574,0.0,1.0,0.0,0.028571428571428574,1.0,0.0,0.0,0.0,0.02857142857142857,0.13571428571428573,0.0
L16,W1_KL_10,DISABLED,evaluation,U,7,112,0.3983291562238931,0.0,1.0,0.0,0.3983291562238931,1.0,0.0,0.0,0.0,0.13132832080200502,0.0,0.0
L16,W1_KL_10,DISABLED,evaluation,positive,7,28,0.0,0.0,1.0,,0.0,,,0.0,0.0,0.0,0.9642857142857143,0.0
L16,W1_KL_10,DISABLED,fit,H,7,120,0.12142857142857143,0.0,1.0,0.0,0.12142857142857143,1.0,0.0,0.0,0.0,0.0071428571428571435,0.3,0.0
