parameterization,condition,mode,role,stratum,edits,n,semantic_macro,exact_macro,token_parity_macro,kl_macro,base_correct_macro,base_correct_preserved_macro,base_correct_damage_macro,base_wrong_became_correct_macro,base_wrong_changed_macro,target_consistency_macro,fixed_on_macro,source_unknown_macro
L16,W0_TASK_ONLY,DISABLED,calibration,H,7,96,0.10714285714285714,0.0,1.0,0.0,0.10714285714285714,1.0,0.0,0.0,0.0,0.0,0.0,0.0
L16,W0_TASK_ONLY,DISABLED,calibration,U,7,116,0.37896825396825395,0.0,1.0,0.0,0.37896825396825395,1.0,0.0,0.0,0.0,0.13988095238095238,0.0,0.0
L16,W0_TASK_ONLY,DISABLED,calibration,positive,7,28,0.07142857142857142,0.0,1.0,,0.07142857142857142,1.0,0.0,0.0,0.0,0.07142857142857142,1.0,0.0
L16,W0_TASK_ONLY,DISABLED,challenge,same_image_other_fact_challenge,3,26,0.25,0.0,1.0,0.0,0.25,1.0,0.0,0.0,0.0,0.08333333333333333,0.05555555555555555,0.0
L16,W0_TASK_ONLY,DISABLED,evaluation,H,7,112,0.028571428571428574,0.0,1.0,0.0,0.028571428571428574,1.0,0.0,0.0,0.0,0.02857142857142857,0.13571428571428573,0.0
L16,W0_TASK_ONLY,DISABLED,evaluation,U,7,112,0.3983291562238931,0.0,1.0,0.0,0.3983291562238931,1.0,0.0,0.0,0.0,0.13132832080200502,0.0,0.0
L16,W0_TASK_ONLY,DISABLED,evaluation,positive,7,28,0.0,0.0,1.0,,0.0,,,0.0,0.0,0.0,0.9642857142857143,0.0
L16,W0_TASK_ONLY,DISABLED,fit,H,7,120,0.12142857142857143,0.0,1.0,0.0,0.12142857142857143,1.0,0.0,0.0,0.0,0.0071428571428571435,0.3,0.0
L16,W0_TASK_ONLY,DISABLED,fit,U,7,116,0.36408730158730157,0.0,1.0,0.0,0.36408730158730157,1.0,0.0,0.0,0.0,0.13988095238095238,0.0,0.0
L16,W0_TASK_ONLY,DISABLED,fit,positive,7,35,0.0,0.0,1.0,,0.0,,,0.0,0.0,0.0,1.0,0.0
L16,W0_TASK_ONLY,DISABLED,fit,scope_fit_positive_not_used_for_positive_CE,1,4,0.0,0.0,1.0,,0.0,,,0.0,0.0,0.0,1.0,0.0
L16,W0_TASK_ONLY,DISABLED,formal_development,T1G,7,26,0.0,0.0,1.0,,0.0,,,0.0,0.0,0.0,0.25,0.0
L16,W0_TASK_ONLY,DISABLED,formal_development,T1L,3,15,0.6,0.0,1.0,,0.6,1.0,0.0,0.0,0.0,0.0,0.4,0.0
L16,W0_TASK_ONLY,DISABLED,formal_development,T2G,7,26,0.0,0.0,1.0,,0.0,,,0.0,0.0,0.0,0.5357142857142857,0.0
L16,W0_TASK_ONLY,DISABLED,native,positive,7,7,0.0,0.0,1.0,,0.0,,,0.0,0.0,0.0,1.0,0.0
L16,W0_TASK_ONLY,FIXED_ROUTER,calibration,H,7,96,0.10714285714285714,0.0,1.0,0.0,0.10714285714285714,1.0,0.0,0.0,0.0,0.0,0.0,0.0
L16,W0_TASK_ONLY,FIXED_ROUTER,calibration,U,7,116,0.37896825396825395,0.0,1.0,0.0,0.37896825396825395,1.0,0.0,0.0,0.0,0.13988095238095238,0.0,0.0
L16,W0_TASK_ONLY,FIXED_ROUTER,calibration,positive,7,28,1.0,1.0,0.0,,0.07142857142857142,1.0,0.0,1.0,1.0,1.0,1.0,0.0
L16,W0_TASK_ONLY,FIXED_ROUTER,challenge,same_image_other_fact_challenge,3,26,0.25,0.0,0.9444444444444444,0.052904405527644686,0.25,1.0,0.0,0.0,0.07407407407407407,0.1111111111111111,0.05555555555555555,0.0
L16,W0_TASK_ONLY,FIXED_ROUTER,evaluation,H,7,112,0.028571428571428574,0.0,0.8642857142857143,0.2876195877790451,0.028571428571428574,1.0,0.0,0.0,0.1285714285714286,0.15714285714285714,0.13571428571428573,0.0
L16,W0_TASK_ONLY,FIXED_ROUTER,evaluation,U,7,112,0.3983291562238931,0.0,1.0,0.0,0.3983291562238931,1.0,0.0,0.0,0.0,0.13132832080200502,0.0,0.0
