cohort,track,prefix,method,panel,inputs,unique_eqkeys,edits,source_images,avoided_damage,lost_correction,rejected_correct_positive,net_correct_change,edit_macro_change,ci_low,ci_high,image_cluster_ci_low,image_cluster_ci_high,patients
STAGE5_NEW32_FOLLOWUP_TRANSFER_NOT_BLIND,A,0,BE,native_source_edit,32,32,32,32,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,UNKNOWN
STAGE5_NEW32_FOLLOWUP_TRANSFER_NOT_BLIND,A,0,BE,derived_source_style,64,64,32,32,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,UNKNOWN
STAGE5_NEW32_FOLLOWUP_TRANSFER_NOT_BLIND,A,0,BE,derived_imperative_style,64,64,32,32,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,UNKNOWN
STAGE5_NEW32_FOLLOWUP_TRANSFER_NOT_BLIND,A,0,BE,U,220,7,32,7,7,20,0,-13.0,-0.05803571428571428,-0.10937499999999999,-0.007440476190476191,-0.17050691244239632,0.057171658986175114,UNKNOWN
STAGE5_NEW32_FOLLOWUP_TRANSFER_NOT_BLIND,A,0,W0,native_source_edit,32,32,32,32,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,UNKNOWN
STAGE5_NEW32_FOLLOWUP_TRANSFER_NOT_BLIND,A,0,W0,derived_source_style,64,64,32,32,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,UNKNOWN
STAGE5_NEW32_FOLLOWUP_TRANSFER_NOT_BLIND,A,0,W0,derived_imperative_style,64,64,32,32,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,UNKNOWN
STAGE5_NEW32_FOLLOWUP_TRANSFER_NOT_BLIND,A,0,W0,U,220,7,32,7,1,24,0,-23.0,-0.10491071428571427,-0.14732142857142855,-0.06398809523809523,-0.18476382488479265,-0.026785714285714284,UNKNOWN
STAGE5_NEW32_FOLLOWUP_TRANSFER_NOT_BLIND,A,0,W1,native_source_edit,1,1,1,1,0,0,0,0.0,0.0,,,,,UNKNOWN
STAGE5_NEW32_FOLLOWUP_TRANSFER_NOT_BLIND,A,0,W1,derived_source_style,2,2,1,1,0,0,0,0.0,0.0,,,,,UNKNOWN
STAGE5_NEW32_FOLLOWUP_TRANSFER_NOT_BLIND,A,0,W1,derived_imperative_style,2,2,1,1,0,0,0,0.0,0.0,,,,,UNKNOWN
STAGE5_NEW32_FOLLOWUP_TRANSFER_NOT_BLIND,A,0,W1,U,7,7,1,7,0,2,0,-2.0,-0.2857142857142857,,,-0.5714285714285714,0.0,UNKNOWN
STAGE5_NEW32_FOLLOWUP_TRANSFER_NOT_BLIND,B,32,BE,native_source_edit,32,32,32,32,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,UNKNOWN
STAGE5_NEW32_FOLLOWUP_TRANSFER_NOT_BLIND,B,32,BE,derived_source_style,64,64,32,32,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,UNKNOWN
STAGE5_NEW32_FOLLOWUP_TRANSFER_NOT_BLIND,B,32,BE,derived_imperative_style,64,64,32,32,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,UNKNOWN
STAGE5_NEW32_FOLLOWUP_TRANSFER_NOT_BLIND,B,32,BE,U,220,7,32,7,0,63,0,-63.0,-0.2864583333333333,-0.2946428571428571,-0.2767671130952383,-0.5714285714285714,0.0,UNKNOWN
STAGE5_NEW32_FOLLOWUP_TRANSFER_NOT_BLIND,B,32,W0,native_source_edit,32,32,32,32,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,UNKNOWN
STAGE5_NEW32_FOLLOWUP_TRANSFER_NOT_BLIND,B,32,W0,derived_source_style,64,64,32,32,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,UNKNOWN
STAGE5_NEW32_FOLLOWUP_TRANSFER_NOT_BLIND,B,32,W0,derived_imperative_style,64,64,32,32,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,UNKNOWN
STAGE5_NEW32_FOLLOWUP_TRANSFER_NOT_BLIND,B,32,W0,U,220,7,32,7,0,95,0,-95.0,-0.43229166666666663,-0.4419642857142857,-0.42261904761904756,-0.8571428571428571,-0.14285714285714285,UNKNOWN
STAGE6_FROZEN_SOURCE_EVALUATION_SIDECAR,B,32,W0,existing_source_alternative,8,8,8,8,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,UNKNOWN
STAGE6_FROZEN_SOURCE_EVALUATION_SIDECAR,B,32,W0,H,3,2,3,2,2,0,0,2.0,0.6666666666666666,0.0,1.0,0.0,1.0,UNKNOWN
STAGE6_FROZEN_SOURCE_EVALUATION_SIDECAR,B,32,W0,U,116,23,29,23,10,15,0,-5.0,-0.04310344827586207,-0.1206896551724138,0.034482758620689655,-0.21739130434782608,0.13043478260869565,UNKNOWN
STAGE6_FROZEN_SOURCE_EVALUATION_SIDECAR,B,32,BE,existing_source_alternative,8,8,8,8,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,UNKNOWN
STAGE6_FROZEN_SOURCE_EVALUATION_SIDECAR,B,32,BE,H,3,2,3,2,2,0,0,2.0,0.6666666666666666,0.0,1.0,0.0,1.0,UNKNOWN
STAGE6_FROZEN_SOURCE_EVALUATION_SIDECAR,B,32,BE,U,116,23,29,23,40,10,0,30.0,0.25862068965517243,0.16379310344827586,0.35344827586206895,0.0,0.5217391304347826,UNKNOWN
