arm,stage,step,field,n,mean,min,max
B0,A2,40,fit_ce,48,0.10250734390380482,0.020549040287733078,0.23956358432769775
B0,A2,40,grad_norm,48,0.1305956398913016,0.053694915026426315,0.3597118556499481
B0,A2,40,native_ce,48,0.10326312909213205,0.022024087607860565,0.2457142174243927
B0,A2,80,fit_ce,48,0.0537139250858066,0.007762260735034943,0.14879927039146423
B0,A2,80,grad_norm,48,0.06404632205764453,0.02005792036652565,0.1554391235113144
B0,A2,80,native_ce,48,0.054054179888529084,0.008239733055233955,0.14921167492866516
B0,CP_W0,1,CE_gradient_norm,46,0.06427227345335743,0.01918954961001873,0.1542578935623169
B0,CP_W0,1,clipped_grad_norm,48,0.06341558543499559,0.01918954961001873,0.1542578935623169
B0,CP_W0,1,fit_ce,48,0.053412923210999,0.007172646466642618,0.14847105741500854
B0,CP_W0,1,fit_index,48,1,1,1
B0,CP_W0,1,grad_norm,48,0.06341558574543645,0.01918955147266388,0.1542578935623169
B0,CP_W0,1,native_ce,48,0.0534118635696359,0.008107096888124943,0.14808440208435059
B0,CP_W0,1,update_norm,48,0.9759680139056096,0.029260575771331787,42.111846923828125
B0,CP_W0,1,weighted_U_gradient_norm,48,0.0,0.0,0.0
B0,CP_W0,1,weighted_fit_gradient_norm,48,0.032800715940538794,0.008926590904593468,0.08062751591205597
B0,CP_W0,1,weighted_native_gradient_norm,48,0.032049596581297614,0.010310834273695946,0.07947085052728653
B0,CP_W0,2,CE_gradient_norm,46,0.0631832626202832,0.019638676196336746,0.15451928973197937
B0,CP_W0,2,clipped_grad_norm,48,0.06234773558874925,0.019638676196336746,0.15451928973197937
B0,CP_W0,2,fit_ce,48,0.05314952113743251,0.00782999861985445,0.14957907795906067
B0,CP_W0,2,fit_index,48,2,2,2
B0,CP_W0,2,grad_norm,48,0.06234773593799522,0.019638676196336746,0.15451928973197937
B0,CP_W0,2,native_ce,48,0.05246122107685854,0.007759959436953068,0.14646005630493164
B0,CP_W0,2,update_norm,48,2.1928683692434183,0.02707318402826786,52.666934967041016
B0,CP_W0,2,weighted_U_gradient_norm,48,0.0,0.0,0.0
B0,CP_W0,2,weighted_fit_gradient_norm,48,0.032495687114230044,0.00991924200206995,0.07719364017248154
B0,CP_W0,2,weighted_native_gradient_norm,48,0.03119021518311153,0.00975877232849598,0.07803471386432648
B0,CP_W0,3,CE_gradient_norm,46,0.0656983089916732,0.020895984023809433,0.15265929698944092
B0,CP_W0,3,clipped_grad_norm,48,0.06483271586087842,0.020895984023809433,0.15265929698944092
B0,CP_W0,3,fit_ce,48,0.05428123214126875,0.009181825444102287,0.14715486764907837
B0,CP_W0,3,fit_index,48,3,3,3
B0,CP_W0,3,grad_norm,48,0.0648327157444631,0.020895984023809433,0.15265929698944092
