cohort,edit,endpoint_selector,fit_positive_ce,method,native_ce,step,update_norm_from_a2,H_raw_kl,H_normalized_kl,U_raw_kl,U_normalized_kl
OLD_STAGE3_COMMON7,27,False,0.02101519051939249,W0,0.020771630108356476,0,0.0,0.458554208278656,1.0,0.016500760645916063,1.0
OLD_STAGE3_COMMON7,27,False,0.0008229873783420771,W0,0.0007182034314610064,80,1.1649623163690488,0.5741837620735168,1.2521611441075133,0.019218451731527846,1.1647009579697414
OLD_STAGE3_COMMON7,27,False,0.00039607375947525725,W0,0.0003318906237836927,160,1.5001978166348477,0.6181665658950806,1.3480774022674125,0.02300380263477564,1.3941055887304854
OLD_STAGE3_COMMON7,27,False,0.00023704168415861204,W0,0.0002138460986316204,320,1.7572246811095509,0.6617618203163147,1.443148505387116,0.02532126537213723,1.5345514013261103
OLD_STAGE3_COMMON7,27,False,0.02101519051939249,W01,0.020771630108356476,0,0.0,0.458554208278656,1.0,0.016500760645916063,1.0
OLD_STAGE3_COMMON7,27,False,0.0022761210857424885,W01,0.0013056517345830798,80,1.8776867079988508,0.367006778717041,0.8003563637431867,0.004353249775401006,0.26382115763120506
OLD_STAGE3_COMMON7,27,False,0.0014523529389407486,W01,0.0009544295608066022,160,7.032412081227292,0.30506035685539246,0.6652656356607073,0.002188371669035405,0.13262247213900571
OLD_STAGE3_COMMON7,27,False,0.0006249065554584377,W01,0.0012698547216132283,320,11.289095220551376,0.18014052510261536,0.39284455763438736,0.0010883821911799412,0.06595951632383175
OLD_STAGE3_COMMON7,27,False,0.02101519051939249,W1,0.020771630108356476,0,0.0,0.458554208278656,1.0,0.016500760645916063,1.0
OLD_STAGE3_COMMON7,27,False,0.0140987744089216,W1,0.00890659261494875,80,2.1182368830100318,0.20783574879169464,0.4532413944512231,0.002874018061750879,0.17417488341437146
OLD_STAGE3_COMMON7,27,False,0.007917057955637574,W1,0.008019652217626572,160,6.899437055394222,0.14560003578662872,0.317519789717315,0.0013722592266276479,0.08316339204443171
OLD_STAGE3_COMMON7,27,False,0.0020435832848306745,W1,0.004507063888013363,320,10.874026847602437,0.03036355972290039,0.06621585665276229,0.0006545794652386879,0.03966965398050885
OLD_STAGE3_COMMON7,35,False,0.0038302845787256956,W0,0.002858606865629554,0,0.0,0.25905566414197284,1.0,0.03683708452930053,1.0
