cohort,edit,method,new_training,parameters,training_seconds,elapsed_seconds,load_seconds,generation_seconds,route_seconds,peak_vram_bytes,resident_vram_bytes,storage_bytes,disk_bytes,forward_count,backward_count,teacher_forward_count,fit_samples,peak_resident_vram_bytes,feature_seconds,request_seconds,replay_seconds,generated,derived,optimizer_steps
SLAKE_STAGE2_BANK16,105,W01,True,1476,192.25470600195695,317.28584112995304,,,,,,,,1344,1280,0,,,,,,,,
SLAKE_STAGE2_BANK16,105,W1,False,1476,189.21691973798443,331.1640467880061,,,,,,,,1344,1280,0,,,,,,,,
SLAKE_STAGE2_BANK16,105,BE,False,58720256,5.03365918493364,97.27976218098775,1.44522992905695,,,16506867200,,234899254,,,,,,,,,,,,
SLAKE_STAGE2_BANK16,106,W0,False,1476,82.03048900095746,305.3380836410215,,,,,,,,704,640,0,,,,,,,,
SLAKE_STAGE2_BANK16,106,W01,True,1476,195.7309717880562,323.00988053309266,,,,,,,,1344,1280,0,,,,,,,,
SLAKE_STAGE2_BANK16,106,W1,False,1476,189.03113339003175,328.72892257990316,,,,,,,,1344,1280,0,,,,,,,,
SLAKE_STAGE2_BANK16,106,BE,False,58720256,5.431321636075154,95.63163295795675,1.3731772570172325,,,16506867200,,234899254,,,,,,,,,,,,
SLAKE_STAGE2_BANK16,107,W0,False,1476,79.99817400204483,285.2998085600557,,,,,,,,700,640,0,,,,,,,,
SLAKE_STAGE2_BANK16,107,W01,True,1476,192.62169186898973,300.7838574220659,,,,,,,,1340,1280,0,,,,,,,,
SLAKE_STAGE2_BANK16,107,W1,False,1476,185.97088328702375,316.262728363974,,,,,,,,1340,1280,0,,,,,,,,
SLAKE_STAGE2_BANK16,107,BE,False,58720256,5.355252997949719,104.50394149404019,1.1476416219957173,,,16506826240,,234899254,,,,,,,,,,,,
SLAKE_STAGE2_BANK16,108,W0,False,1476,81.42501180199906,316.6799886460649,,,,,,,,704,640,0,,,,,,,,
SLAKE_STAGE2_BANK16,108,W01,True,1476,186.1044085470494,316.15502121602185,,,,,,,,1344,1280,0,,,,,,,,
