event_index,seed,operating_point,source_group,logical_id,question_score,image_score,question_threshold,image_threshold,question_margin,image_margin
15,20260906,PRIMARY_SAFETY_FIRST,96feeb549cddf17c,matched-evaluation-q1-hard4,2.9975204467773438,-1.7886779308319092,2.52239990234375,-1.8909809589385986,0.47512054443359375,0.10230302810668945
15,20260906,PRIMARY_SAFETY_FIRST,96feeb549cddf17c,matched-evaluation-q3-hard4,2.6957240104675293,-1.7786469459533691,2.52239990234375,-1.8909809589385986,0.1733241081237793,0.11233401298522949
15,20260906,SECONDARY_COVERAGE90,96feeb549cddf17c,matched-evaluation-q1-hard4,2.9975204467773438,-1.7886779308319092,2.52239990234375,-1.8909809589385986,0.47512054443359375,0.10230302810668945
15,20260906,SECONDARY_COVERAGE90,96feeb549cddf17c,matched-evaluation-q3-hard4,2.6957240104675293,-1.7786469459533691,2.52239990234375,-1.8909809589385986,0.1733241081237793,0.11233401298522949
16,20260906,PRIMARY_SAFETY_FIRST,bc343cc21877bccf,matched-evaluation-q1-hard4,3.0948164463043213,-0.7686848640441895,2.777430295944214,-1.3559731245040894,0.3173861503601074,0.5872882604598999
16,20260906,PRIMARY_SAFETY_FIRST,e53d14d9442ae148,matched-evaluation-q1-hard5,3.125115156173706,-1.1104247570037842,2.777430295944214,-1.3559731245040894,0.3476848602294922,0.24554836750030518
16,20260906,PRIMARY_SAFETY_FIRST,bc343cc21877bccf,matched-evaluation-q3-hard4,2.833470106124878,-0.7910441160202026,2.777430295944214,-1.3559731245040894,0.05603981018066406,0.5649290084838867
16,20260906,PRIMARY_SAFETY_FIRST,e53d14d9442ae148,matched-evaluation-q3-hard5,2.8724582195281982,-1.2720191478729248,2.777430295944214,-1.3559731245040894,0.09502792358398438,0.08395397663116455
16,20260906,PRIMARY_SAFETY_FIRST,bc343cc21877bccf,matched-evaluation-q4-hard4,2.8128020763397217,-0.7910528182983398,2.777430295944214,-1.3559731245040894,0.03537178039550781,0.5649203062057495
16,20260906,PRIMARY_SAFETY_FIRST,e53d14d9442ae148,matched-evaluation-q4-hard5,2.798832654953003,-1.2012007236480713,2.777430295944214,-1.3559731245040894,0.021402359008789062,0.15477240085601807
16,20260906,SECONDARY_COVERAGE90,bc343cc21877bccf,matched-evaluation-q1-hard4,3.0948164463043213,-0.7686848640441895,2.777430295944214,-1.3559731245040894,0.3173861503601074,0.5872882604598999
16,20260906,SECONDARY_COVERAGE90,e53d14d9442ae148,matched-evaluation-q1-hard5,3.125115156173706,-1.1104247570037842,2.777430295944214,-1.3559731245040894,0.3476848602294922,0.24554836750030518
16,20260906,SECONDARY_COVERAGE90,bc343cc21877bccf,matched-evaluation-q3-hard4,2.833470106124878,-0.7910441160202026,2.777430295944214,-1.3559731245040894,0.05603981018066406,0.5649290084838867
