arm,N,panel,metric,numerator,denominator,scored,value,coverage,unit,Wilson95,source_macro,source_count,leave_one_source_out
NO_H_HSIC,11,native,accuracy,11,11,11,1.0,1.0,QA,"[0.7411670330319684, 1]",1,11,"[1, 1]"
NO_H_HSIC,11,native,Fix,11,11,11,1.0,1.0,QA,"[0.7411670330319684, 1]",1,11,"[1, 1]"
NO_H_HSIC,11,insertion,accuracy,11,11,11,1.0,1.0,QA,"[0.7411670330319684, 1]",1,11,"[1, 1]"
NO_H_HSIC,11,old_H_eval,accuracy,5,6,6,0.8333333333333334,1.0,QA,"[0.43649717781352987, 0.9699466302516935]",0.8333333333333333,2,"[0.6666666666666666, 1]"
NO_H_HSIC,11,old_H_eval,Retention,4,4,4,1.0,1.0,QA,"[0.5101091635454027, 1]",1,2,"[1, 1]"
NO_H_HSIC,11,old_H_eval,Fix,1,2,2,0.5,1.0,QA,"[0.09453120573423074, 0.9054687942657693]",0.5,2,"[0, 1]"
NO_H_HSIC,11,old_U_eval,accuracy,3,9,9,0.3333333333333333,1.0,QA,"[0.1205838183869109, 0.6457978644196036]",0.4375,4,"[0.25, 0.5833333333333334]"
NO_H_HSIC,11,old_U_eval,fixed_panel_Retention,3,8,8,0.375,1.0,QA,"[0.13684428582359742, 0.6942576053973727]",0.4583333333333333,4,"[0.2777777777777778, 0.6111111111111112]"
NO_H_HSIC,11,old_U_eval,Retention,3,8,8,0.375,1.0,QA,"[0.13684428582359742, 0.6942576053973727]",0.4583333333333333,4,"[0.2777777777777778, 0.6111111111111112]"
NO_H_HSIC,11,old_U_eval,Fix,0,1,1,0.0,1.0,QA,"[0, 0.7934506856227626]",0,1,
NO_H_HSIC,11,old_native_text_extension,accuracy,11,11,11,1.0,1.0,QA,"[0.7411670330319684, 1]",1,11,"[1, 1]"
NO_H_HSIC,11,new_H_eval,accuracy,0,0,0,,,QA,,,0,
NO_H_HSIC,11,new_H_eval,Retention,0,0,0,,,QA,,,0,
NO_H_HSIC,11,new_H_eval,Fix,0,0,0,,,QA,,,0,
NO_H_HSIC,11,new_U_eval,accuracy,0,0,0,,,QA,,,0,
NO_H_HSIC,11,new_U_eval,fixed_panel_Retention,0,0,0,,,QA,,,0,
NO_H_HSIC,11,new_U_eval,Retention,0,0,0,,,QA,,,0,
NO_H_HSIC,11,new_U_eval,Fix,0,0,0,,,QA,,,0,
NO_H_HSIC,11,positive_positive_image,accuracy,0,0,0,,,QA,,,0,
NO_H_HSIC,11,old_anchors,PairCorrect,8,11,11,0.7272727272727273,1.0,edit_macro_not_independent_H,,0.7272727272727273,11,"[0.7, 0.8]"
NO_H_HSIC,11,activation_diagnostic,accuracy,30,37,37,0.8108108108108109,1.0,QA,"[0.6579530307016159, 0.9052002126968799]",0.8547619047619047,15,"[0.8443877551020408, 0.9158163265306123]"
NO_H_HSIC,19,native,accuracy,19,19,19,1.0,1.0,QA,"[0.8318207759473837, 1]",1,16,"[1, 1]"
NO_H_HSIC,19,native,Fix,19,19,19,1.0,1.0,QA,"[0.8318207759473837, 1]",1,16,"[1, 1]"
NO_H_HSIC,19,insertion,accuracy,19,19,19,1.0,1.0,QA,"[0.8318207759473837, 1]",1,16,"[1, 1]"
NO_H_HSIC,19,old_H_eval,accuracy,2,6,6,0.3333333333333333,1.0,QA,"[0.09677141110578041, 0.700006684861608]",0.3333333333333333,2,"[0.3333333333333333, 0.3333333333333333]"
NO_H_HSIC,19,old_H_eval,Retention,1,4,4,0.25,1.0,QA,"[0.04558726080970055, 0.6993581574175981]",0.25,2,"[0, 0.5]"
NO_H_HSIC,19,old_H_eval,Fix,1,2,2,0.5,1.0,QA,"[0.09453120573423074, 0.9054687942657693]",0.5,2,"[0, 1]"
NO_H_HSIC,19,old_U_eval,accuracy,6,9,9,0.6666666666666666,1.0,QA,"[0.3542021355803963, 0.879416181613089]",0.625,4,"[0.5, 0.8333333333333334]"
NO_H_HSIC,19,old_U_eval,fixed_panel_Retention,5,8,8,0.625,1.0,QA,"[0.30574239460262737, 0.8631557141764026]",0.625,4,"[0.5, 0.8333333333333334]"
NO_H_HSIC,19,old_U_eval,Retention,5,8,8,0.625,1.0,QA,"[0.30574239460262737, 0.8631557141764026]",0.625,4,"[0.5, 0.8333333333333334]"
NO_H_HSIC,19,old_U_eval,Fix,0,0,0,,,QA,,,0,
NO_H_HSIC,19,old_native_text_extension,accuracy,11,11,11,1.0,1.0,QA,"[0.7411670330319684, 1]",1,11,"[1, 1]"
NO_H_HSIC,19,new_H_eval,accuracy,0,0,0,,,QA,,,0,
NO_H_HSIC,19,new_H_eval,Retention,0,0,0,,,QA,,,0,
NO_H_HSIC,19,new_H_eval,Fix,0,0,0,,,QA,,,0,
NO_H_HSIC,19,new_U_eval,accuracy,0,0,0,,,QA,,,0,
NO_H_HSIC,19,new_U_eval,fixed_panel_Retention,0,0,0,,,QA,,,0,
NO_H_HSIC,19,new_U_eval,Retention,0,0,0,,,QA,,,0,
NO_H_HSIC,19,new_U_eval,Fix,0,0,0,,,QA,,,0,
NO_H_HSIC,19,positive_positive_image,accuracy,0,0,0,,,QA,,,0,
NO_H_HSIC,19,old_anchors,PairCorrect,5.5,11,11,0.5,1.0,edit_macro_not_independent_H,,0.5,11,"[0.45, 0.55]"
NO_H_HSIC,19,activation_diagnostic,accuracy,38,45,45,0.8444444444444444,1.0,QA,"[0.7121609112760374, 0.9225457651524174]",0.8857142857142857,20,"[0.8796992481203008, 0.9323308270676691]"
NO_H_HSIC,32,native,accuracy,32,32,32,1.0,1.0,QA,"[0.8928208017449293, 1]",1,24,"[1, 1]"
NO_H_HSIC,32,native,Fix,32,32,32,1.0,1.0,QA,"[0.8928208017449293, 1]",1,24,"[1, 1]"
NO_H_HSIC,32,insertion,accuracy,32,32,32,1.0,1.0,QA,"[0.8928208017449293, 1]",1,24,"[1, 1]"
NO_H_HSIC,32,old_H_eval,accuracy,2,6,6,0.3333333333333333,1.0,QA,"[0.09677141110578041, 0.700006684861608]",0.3333333333333333,2,"[0.3333333333333333, 0.3333333333333333]"
NO_H_HSIC,32,old_H_eval,Retention,1,4,4,0.25,1.0,QA,"[0.04558726080970055, 0.6993581574175981]",0.25,2,"[0, 0.5]"
NO_H_HSIC,32,old_H_eval,Fix,1,2,2,0.5,1.0,QA,"[0.09453120573423074, 0.9054687942657693]",0.5,2,"[0, 1]"
NO_H_HSIC,32,old_U_eval,accuracy,8,9,9,0.8888888888888888,1.0,QA,"[0.5650002944233439, 0.9801091123614551]",0.875,4,"[0.8333333333333334, 1]"
NO_H_HSIC,32,old_U_eval,fixed_panel_Retention,7,8,8,0.875,1.0,QA,"[0.5291118177871464, 0.9775825085499433]",0.875,4,"[0.8333333333333334, 1]"
NO_H_HSIC,32,old_U_eval,Retention,6,7,7,0.8571428571428571,1.0,QA,"[0.4868721707256811, 0.9743203756552565]",0.875,4,"[0.8333333333333334, 1]"
NO_H_HSIC,32,old_U_eval,Fix,0,0,0,,,QA,,,0,
NO_H_HSIC,32,old_native_text_extension,accuracy,11,11,11,1.0,1.0,QA,"[0.7411670330319684, 1]",1,11,"[1, 1]"
NO_H_HSIC,32,new_H_eval,accuracy,0,0,0,,,QA,,,0,
NO_H_HSIC,32,new_H_eval,Retention,0,0,0,,,QA,,,0,
NO_H_HSIC,32,new_H_eval,Fix,0,0,0,,,QA,,,0,
NO_H_HSIC,32,new_U_eval,accuracy,0,0,0,,,QA,,,0,
