cohort,track,prefix,role,stratum,strict_role,candidate,mode,control,control_mode,metric,delta,ci_low,ci_high,paired_inputs,paired_edits,source_images,patients,image_cluster_ci_low,image_cluster_ci_high,leave_one_image_out_min,leave_one_image_out_max,bootstrap_seed,bootstrap_draws
OLD_STAGE3_COMMON7,A,0,native,T0,EDIT_TARGET,W0,DEV_THRESHOLD_TRANSFER_DIAGNOSTIC,W0,R0,semantic,0.0,0.0,0.0,6,6,6,UNKNOWN,0.0,0.0,0.0,0.0,20260908,10000
OLD_STAGE3_COMMON7,A,0,native,T0,EDIT_TARGET,W0,DEV_THRESHOLD_TRANSFER_DIAGNOSTIC,W0,R0,v4_primary,0.0,0.0,0.0,6,6,6,UNKNOWN,0.0,0.0,0.0,0.0,20260908,10000
OLD_STAGE3_COMMON7,A,0,native,T0,EDIT_TARGET,W0,DEV_THRESHOLD_TRANSFER_DIAGNOSTIC,W0,R0,base_wrong_became_correct,0.0,0.0,0.0,6,6,6,UNKNOWN,0.0,0.0,0.0,0.0,20260908,10000
OLD_STAGE3_COMMON7,A,0,native,T0,EDIT_TARGET,W1,DEV_THRESHOLD_TRANSFER_DIAGNOSTIC,W1,R0,semantic,0.0,0.0,0.0,6,6,6,UNKNOWN,0.0,0.0,0.0,0.0,20260908,10000
OLD_STAGE3_COMMON7,A,0,native,T0,EDIT_TARGET,W1,DEV_THRESHOLD_TRANSFER_DIAGNOSTIC,W1,R0,v4_primary,0.0,0.0,0.0,6,6,6,UNKNOWN,0.0,0.0,0.0,0.0,20260908,10000
OLD_STAGE3_COMMON7,A,0,native,T0,EDIT_TARGET,W1,DEV_THRESHOLD_TRANSFER_DIAGNOSTIC,W1,R0,base_wrong_became_correct,0.0,0.0,0.0,6,6,6,UNKNOWN,0.0,0.0,0.0,0.0,20260908,10000
OLD_STAGE3_COMMON7,A,0,native,T0,EDIT_TARGET,BE,DEV_THRESHOLD_TRANSFER_DIAGNOSTIC,BE,R0,semantic,0.0,0.0,0.0,6,6,6,UNKNOWN,0.0,0.0,0.0,0.0,20260908,10000
OLD_STAGE3_COMMON7,A,0,native,T0,EDIT_TARGET,BE,DEV_THRESHOLD_TRANSFER_DIAGNOSTIC,BE,R0,v4_primary,0.0,0.0,0.0,6,6,6,UNKNOWN,0.0,0.0,0.0,0.0,20260908,10000
OLD_STAGE3_COMMON7,A,0,native,T0,EDIT_TARGET,BE,DEV_THRESHOLD_TRANSFER_DIAGNOSTIC,BE,R0,base_wrong_became_correct,0.0,0.0,0.0,6,6,6,UNKNOWN,0.0,0.0,0.0,0.0,20260908,10000
OLD_STAGE3_COMMON7,A,0,native,T0,EDIT_TARGET,W1,DEV_THRESHOLD_TRANSFER_DIAGNOSTIC,W0,DEV_THRESHOLD_TRANSFER_DIAGNOSTIC,semantic,0.0,0.0,0.0,6,6,6,UNKNOWN,0.0,0.0,0.0,0.0,20260908,10000
OLD_STAGE3_COMMON7,A,0,native,T0,EDIT_TARGET,W1,DEV_THRESHOLD_TRANSFER_DIAGNOSTIC,W0,DEV_THRESHOLD_TRANSFER_DIAGNOSTIC,v4_primary,0.0,0.0,0.0,6,6,6,UNKNOWN,0.0,0.0,0.0,0.0,20260908,10000
OLD_STAGE3_COMMON7,A,0,native,T0,EDIT_TARGET,W1,DEV_THRESHOLD_TRANSFER_DIAGNOSTIC,W0,DEV_THRESHOLD_TRANSFER_DIAGNOSTIC,base_wrong_became_correct,0.0,0.0,0.0,6,6,6,UNKNOWN,0.0,0.0,0.0,0.0,20260908,10000
OLD_STAGE3_COMMON7,A,0,native,T0,EDIT_TARGET,W1,DEV_THRESHOLD_TRANSFER_DIAGNOSTIC,W0,DEV_THRESHOLD_TRANSFER_DIAGNOSTIC,rejection,0.0,0.0,0.0,6,6,6,UNKNOWN,0.0,0.0,0.0,0.0,20260908,10000
OLD_STAGE3_COMMON7,A,0,native,T0,EDIT_TARGET,BE,DEV_THRESHOLD_TRANSFER_DIAGNOSTIC,W0,DEV_THRESHOLD_TRANSFER_DIAGNOSTIC,semantic,0.0,0.0,0.0,6,6,6,UNKNOWN,0.0,0.0,0.0,0.0,20260908,10000
OLD_STAGE3_COMMON7,A,0,native,T0,EDIT_TARGET,BE,DEV_THRESHOLD_TRANSFER_DIAGNOSTIC,W0,DEV_THRESHOLD_TRANSFER_DIAGNOSTIC,v4_primary,0.0,0.0,0.0,6,6,6,UNKNOWN,0.0,0.0,0.0,0.0,20260908,10000
OLD_STAGE3_COMMON7,A,0,native,T0,EDIT_TARGET,BE,DEV_THRESHOLD_TRANSFER_DIAGNOSTIC,W0,DEV_THRESHOLD_TRANSFER_DIAGNOSTIC,base_wrong_became_correct,0.0,0.0,0.0,6,6,6,UNKNOWN,0.0,0.0,0.0,0.0,20260908,10000
OLD_STAGE3_COMMON7,A,0,native,T0,EDIT_TARGET,BE,DEV_THRESHOLD_TRANSFER_DIAGNOSTIC,W0,DEV_THRESHOLD_TRANSFER_DIAGNOSTIC,rejection,0.0,0.0,0.0,6,6,6,UNKNOWN,0.0,0.0,0.0,0.0,20260908,10000
OLD_STAGE3_COMMON7,A,0,native,T0,EDIT_TARGET,BE,DEV_THRESHOLD_TRANSFER_DIAGNOSTIC,W1,DEV_THRESHOLD_TRANSFER_DIAGNOSTIC,semantic,0.0,0.0,0.0,6,6,6,UNKNOWN,0.0,0.0,0.0,0.0,20260908,10000
OLD_STAGE3_COMMON7,A,0,native,T0,EDIT_TARGET,BE,DEV_THRESHOLD_TRANSFER_DIAGNOSTIC,W1,DEV_THRESHOLD_TRANSFER_DIAGNOSTIC,v4_primary,0.0,0.0,0.0,6,6,6,UNKNOWN,0.0,0.0,0.0,0.0,20260908,10000
OLD_STAGE3_COMMON7,A,0,native,T0,EDIT_TARGET,BE,DEV_THRESHOLD_TRANSFER_DIAGNOSTIC,W1,DEV_THRESHOLD_TRANSFER_DIAGNOSTIC,base_wrong_became_correct,0.0,0.0,0.0,6,6,6,UNKNOWN,0.0,0.0,0.0,0.0,20260908,10000
OLD_STAGE3_COMMON7,A,0,native,T0,EDIT_TARGET,BE,DEV_THRESHOLD_TRANSFER_DIAGNOSTIC,W1,DEV_THRESHOLD_TRANSFER_DIAGNOSTIC,rejection,0.0,0.0,0.0,6,6,6,UNKNOWN,0.0,0.0,0.0,0.0,20260908,10000
OLD_STAGE3_COMMON7,A,0,formal_development,T1G,EDIT_TARGET,W0,DEV_THRESHOLD_TRANSFER_DIAGNOSTIC,W0,R0,semantic,-0.2916666666666667,-0.5416666666666666,-0.041666666666666664,22,6,22,UNKNOWN,-0.5,-0.13636363636363635,-0.3333333333333333,-0.25,20260908,10000
OLD_STAGE3_COMMON7,A,0,formal_development,T1G,EDIT_TARGET,W0,DEV_THRESHOLD_TRANSFER_DIAGNOSTIC,W0,R0,v4_primary,-0.2916666666666667,-0.5416666666666666,-0.041666666666666664,22,6,22,UNKNOWN,-0.5,-0.13636363636363635,-0.3333333333333333,-0.25,20260908,10000
OLD_STAGE3_COMMON7,A,0,formal_development,T1G,EDIT_TARGET,W0,DEV_THRESHOLD_TRANSFER_DIAGNOSTIC,W0,R0,base_wrong_became_correct,-0.2916666666666667,-0.5416666666666666,-0.041666666666666664,22,6,22,UNKNOWN,-0.5,-0.13636363636363635,-0.3333333333333333,-0.25,20260908,10000
OLD_STAGE3_COMMON7,A,0,formal_development,T1G,EDIT_TARGET,W1,DEV_THRESHOLD_TRANSFER_DIAGNOSTIC,W1,R0,semantic,-0.2916666666666667,-0.5416666666666666,-0.041666666666666664,22,6,22,UNKNOWN,-0.5,-0.13636363636363635,-0.3333333333333333,-0.25,20260908,10000
OLD_STAGE3_COMMON7,A,0,formal_development,T1G,EDIT_TARGET,W1,DEV_THRESHOLD_TRANSFER_DIAGNOSTIC,W1,R0,v4_primary,-0.2916666666666667,-0.5416666666666666,-0.041666666666666664,22,6,22,UNKNOWN,-0.5,-0.13636363636363635,-0.3333333333333333,-0.25,20260908,10000
OLD_STAGE3_COMMON7,A,0,formal_development,T1G,EDIT_TARGET,W1,DEV_THRESHOLD_TRANSFER_DIAGNOSTIC,W1,R0,base_wrong_became_correct,-0.2916666666666667,-0.5416666666666666,-0.041666666666666664,22,6,22,UNKNOWN,-0.5,-0.13636363636363635,-0.3333333333333333,-0.25,20260908,10000
OLD_STAGE3_COMMON7,A,0,formal_development,T1G,EDIT_TARGET,BE,DEV_THRESHOLD_TRANSFER_DIAGNOSTIC,BE,R0,semantic,-0.2916666666666667,-0.5416666666666666,-0.041666666666666664,22,6,22,UNKNOWN,-0.5,-0.13636363636363635,-0.3333333333333333,-0.25,20260908,10000
OLD_STAGE3_COMMON7,A,0,formal_development,T1G,EDIT_TARGET,BE,DEV_THRESHOLD_TRANSFER_DIAGNOSTIC,BE,R0,v4_primary,-0.2916666666666667,-0.5416666666666666,-0.041666666666666664,22,6,22,UNKNOWN,-0.5,-0.13636363636363635,-0.3333333333333333,-0.25,20260908,10000
