edit,role,panel,inputs,source_images,base_correct_inputs
201,calibration,H,0,0,0
201,calibration,U,7,7,5
201,calibration,positive,2,1,1
201,evaluation,H,0,0,0
201,evaluation,U,7,7,1
201,evaluation,positive,4,1,1
201,fit,H,0,0,0
201,fit,U,7,7,4
201,fit,positive,2,1,0
201,native,positive,1,1,0
202,calibration,H,0,0,0
202,calibration,U,7,7,5
202,calibration,positive,2,1,0
202,evaluation,H,0,0,0
202,evaluation,U,7,7,1
202,evaluation,positive,4,1,0
202,fit,H,0,0,0
202,fit,U,7,7,4
202,fit,positive,2,1,0
202,native,positive,1,1,0
203,calibration,H,0,0,0
203,calibration,U,5,5,4
203,calibration,positive,2,1,0
203,evaluation,H,0,0,0
203,evaluation,U,6,6,1
203,evaluation,positive,4,1,0
203,fit,H,0,0,0
203,fit,U,9,9,5
203,fit,positive,2,1,0
203,native,positive,1,1,0
204,calibration,H,0,0,0
204,calibration,U,7,7,5
204,calibration,positive,2,1,0
204,evaluation,H,0,0,0
204,evaluation,U,7,7,1
204,evaluation,positive,4,1,0
204,fit,H,0,0,0
204,fit,U,9,9,5
204,fit,positive,2,1,0
204,native,positive,1,1,0
205,calibration,H,0,0,0
205,calibration,U,7,7,5
205,calibration,positive,2,1,1
205,evaluation,H,0,0,0
205,evaluation,U,7,7,1
205,evaluation,positive,4,1,0
205,fit,H,1,1,1
205,fit,U,8,8,4
205,fit,positive,2,1,0
205,native,positive,1,1,0
206,calibration,H,0,0,0
206,calibration,U,7,7,5
206,calibration,positive,2,1,0
206,evaluation,H,0,0,0
206,evaluation,U,7,7,1
206,evaluation,positive,4,1,0
206,fit,H,0,0,0
206,fit,U,9,9,5
206,fit,positive,2,1,0
206,native,positive,1,1,0
207,calibration,H,0,0,0
207,calibration,U,7,7,5
207,calibration,positive,2,1,1
207,evaluation,H,0,0,0
207,evaluation,U,7,7,1
207,evaluation,positive,4,1,2
207,fit,H,0,0,0
207,fit,U,9,9,5
207,fit,positive,2,1,1
207,native,positive,1,1,0
208,calibration,H,0,0,0
208,calibration,U,7,7,5
208,calibration,positive,2,1,1
208,evaluation,H,0,0,0
208,evaluation,U,7,7,1
208,evaluation,positive,4,1,1
208,fit,H,0,0,0
208,fit,U,8,8,4
208,fit,positive,2,1,1
208,native,positive,1,1,0
209,calibration,H,0,0,0
209,calibration,U,7,7,5
209,calibration,positive,2,1,1
209,evaluation,H,0,0,0
209,evaluation,U,7,7,1
209,evaluation,positive,4,1,2
209,fit,H,0,0,0
209,fit,U,9,9,5
209,fit,positive,2,1,0
209,native,positive,1,1,0
210,calibration,H,0,0,0
210,calibration,U,7,7,5
210,calibration,positive,2,1,0
210,evaluation,H,0,0,0
210,evaluation,U,7,7,1
210,evaluation,positive,4,1,0
210,fit,H,0,0,0
210,fit,U,9,9,5
210,fit,positive,2,1,0
210,native,positive,1,1,0
211,calibration,H,0,0,0
211,calibration,U,7,7,5
211,calibration,positive,2,1,0
211,evaluation,H,0,0,0
211,evaluation,U,7,7,1
211,evaluation,positive,4,1,0
211,fit,H,0,0,0
211,fit,U,9,9,5
211,fit,positive,2,1,0
211,native,positive,1,1,0
212,calibration,H,0,0,0
212,calibration,U,7,7,5
212,calibration,positive,2,1,0
212,evaluation,H,0,0,0
212,evaluation,U,7,7,1
212,evaluation,positive,4,1,0
212,fit,H,0,0,0
212,fit,U,9,9,5
212,fit,positive,2,1,0
212,native,positive,1,1,0
213,calibration,H,0,0,0
213,calibration,U,5,5,4
213,calibration,positive,2,1,0
213,evaluation,H,0,0,0
213,evaluation,U,6,6,1
213,evaluation,positive,4,1,0
213,fit,H,0,0,0
213,fit,U,9,9,5
213,fit,positive,2,1,0
213,native,positive,1,1,0
214,calibration,H,0,0,0
214,calibration,U,5,5,4
214,calibration,positive,2,1,0
214,evaluation,H,0,0,0
214,evaluation,U,6,6,1
214,evaluation,positive,4,1,0
214,fit,H,0,0,0
214,fit,U,9,9,5
214,fit,positive,2,1,0
214,native,positive,1,1,0
215,calibration,H,0,0,0
215,calibration,U,7,7,5
