edit,method,status,completed,planned_native,planned_evaluation_positive,available_native,source_images,patients
201,BE,RAW_READY,True,1,4,1,1,UNKNOWN
201,W0,RAW_READY,True,1,4,1,1,UNKNOWN
201,W1,UNSUPPORTED_MISSING_FIT_H_OR_U,False,1,4,0,1,UNKNOWN
202,BE,RAW_READY,True,1,4,1,1,UNKNOWN
202,W0,RAW_READY,True,1,4,1,1,UNKNOWN
202,W1,UNSUPPORTED_MISSING_FIT_H_OR_U,False,1,4,0,1,UNKNOWN
203,BE,RAW_READY,True,1,4,1,1,UNKNOWN
203,W0,RAW_READY,True,1,4,1,1,UNKNOWN
203,W1,UNSUPPORTED_MISSING_FIT_H_OR_U,False,1,4,0,1,UNKNOWN
204,BE,RAW_READY,True,1,4,1,1,UNKNOWN
204,W0,RAW_READY,True,1,4,1,1,UNKNOWN
204,W1,UNSUPPORTED_MISSING_FIT_H_OR_U,False,1,4,0,1,UNKNOWN
205,BE,RAW_READY,True,1,4,1,1,UNKNOWN
205,W0,RAW_READY,True,1,4,1,1,UNKNOWN
205,W1,RAW_READY,True,1,4,1,1,UNKNOWN
206,BE,RAW_READY,True,1,4,1,1,UNKNOWN
206,W0,RAW_READY,True,1,4,1,1,UNKNOWN
206,W1,UNSUPPORTED_MISSING_FIT_H_OR_U,False,1,4,0,1,UNKNOWN
207,BE,RAW_READY,True,1,4,1,1,UNKNOWN
207,W0,RAW_READY,True,1,4,1,1,UNKNOWN
207,W1,UNSUPPORTED_MISSING_FIT_H_OR_U,False,1,4,0,1,UNKNOWN
208,BE,RAW_READY,True,1,4,1,1,UNKNOWN
208,W0,RAW_READY,True,1,4,1,1,UNKNOWN
208,W1,UNSUPPORTED_MISSING_FIT_H_OR_U,False,1,4,0,1,UNKNOWN
209,BE,RAW_READY,True,1,4,1,1,UNKNOWN
209,W0,RAW_READY,True,1,4,1,1,UNKNOWN
209,W1,UNSUPPORTED_MISSING_FIT_H_OR_U,False,1,4,0,1,UNKNOWN
210,BE,RAW_READY,True,1,4,1,1,UNKNOWN
210,W0,RAW_READY,True,1,4,1,1,UNKNOWN
210,W1,UNSUPPORTED_MISSING_FIT_H_OR_U,False,1,4,0,1,UNKNOWN
211,BE,RAW_READY,True,1,4,1,1,UNKNOWN
211,W0,RAW_READY,True,1,4,1,1,UNKNOWN
211,W1,UNSUPPORTED_MISSING_FIT_H_OR_U,False,1,4,0,1,UNKNOWN
212,BE,RAW_READY,True,1,4,1,1,UNKNOWN
212,W0,RAW_READY,True,1,4,1,1,UNKNOWN
212,W1,UNSUPPORTED_MISSING_FIT_H_OR_U,False,1,4,0,1,UNKNOWN
213,BE,RAW_READY,True,1,4,1,1,UNKNOWN
213,W0,RAW_READY,True,1,4,1,1,UNKNOWN
213,W1,UNSUPPORTED_MISSING_FIT_H_OR_U,False,1,4,0,1,UNKNOWN
214,BE,RAW_READY,True,1,4,1,1,UNKNOWN
214,W0,RAW_READY,True,1,4,1,1,UNKNOWN
214,W1,UNSUPPORTED_MISSING_FIT_H_OR_U,False,1,4,0,1,UNKNOWN
215,BE,RAW_READY,True,1,4,1,1,UNKNOWN
215,W0,RAW_READY,True,1,4,1,1,UNKNOWN
215,W1,UNSUPPORTED_MISSING_FIT_H_OR_U,False,1,4,0,1,UNKNOWN
216,BE,RAW_READY,True,1,4,1,1,UNKNOWN
216,W0,RAW_READY,True,1,4,1,1,UNKNOWN
216,W1,UNSUPPORTED_MISSING_FIT_H_OR_U,False,1,4,0,1,UNKNOWN
