method,mode,precision,prefix,task,route,primary_metric,numerator,probes,edits,micro,macro
C_NO_H,sequential,float16,1,T0,R0,Fix,1,1,1,1.0,1
C_NO_H,sequential,float16,1,T0,RC,Fix,1,1,1,1.0,1
C_NO_H,sequential,float16,1,T1G,R0,Fix,4,4,1,1.0,1
C_NO_H,sequential,float16,1,T1G,RC,Fix,4,4,1,1.0,1
C_NO_H,sequential,float16,1,T1L,R0,Retention,0,0,0,,
C_NO_H,sequential,float16,1,T1L,RC,Retention,0,0,0,,
C_NO_H,sequential,float16,1,T2G,R0,Fix,4,4,1,1.0,1
C_NO_H,sequential,float16,1,T2G,RC,Fix,4,4,1,1.0,1
C_NO_H,sequential,float16,1,T2L,R0,Retention,0,0,0,,
C_NO_H,sequential,float16,1,T2L,RC,Retention,0,0,0,,
C_NO_H,sequential,float16,50,T0,R0,Fix,50,50,50,1.0,1
C_NO_H,sequential,float16,50,T0,RC,Fix,50,50,50,1.0,1
C_NO_H,sequential,float16,50,T1G,R0,Fix,178,196,50,0.9081632653061225,0.91
C_NO_H,sequential,float16,50,T1G,RC,Fix,178,196,50,0.9081632653061225,0.91
C_NO_H,sequential,float16,50,T1L,R0,Retention,2,2,1,1.0,1
C_NO_H,sequential,float16,50,T1L,RC,Retention,2,2,1,1.0,1
C_NO_H,sequential,float16,50,T2G,R0,Fix,180,195,50,0.9230769230769231,0.9216666666666666
C_NO_H,sequential,float16,50,T2G,RC,Fix,180,195,50,0.9230769230769231,0.9216666666666666
C_NO_H,sequential,float16,50,T2L,R0,Retention,11,17,9,0.6470588235294118,0.6296296296296297
C_NO_H,sequential,float16,50,T2L,RC,Retention,11,17,9,0.6470588235294118,0.6296296296296297
C_NO_H,sequential,float16,50,T4G,R0,Fix,0,0,0,,
C_NO_H,sequential,float16,50,T4G,RC,Fix,0,0,0,,
C_NO_H,sequential,float16,100,T0,R0,Fix,100,100,100,1.0,1
C_NO_H,sequential,float16,100,T0,RC,Fix,100,100,100,1.0,1
C_NO_H,sequential,float16,100,T1G,R0,Fix,355,394,100,0.9010152284263959,0.9
C_NO_H,sequential,float16,100,T1G,RC,Fix,355,394,100,0.9010152284263959,0.9
C_NO_H,sequential,float16,100,T1L,R0,Retention,2,2,1,1.0,1
C_NO_H,sequential,float16,100,T1L,RC,Retention,2,2,1,1.0,1
C_NO_H,sequential,float16,100,T2G,R0,Fix,354,386,100,0.917098445595855,0.9175
C_NO_H,sequential,float16,100,T2G,RC,Fix,354,386,100,0.917098445595855,0.9175
C_NO_H,sequential,float16,100,T2L,R0,Retention,17,34,19,0.5,0.5
C_NO_H,sequential,float16,100,T2L,RC,Retention,17,34,19,0.5,0.5
C_NO_H,sequential,float16,100,T4G,R0,Fix,0,0,0,,
C_NO_H,sequential,float16,100,T4G,RC,Fix,0,0,0,,
C_NO_H,sequential,float16,146,T0,R0,Fix,146,146,146,1.0,1
C_NO_H,sequential,float16,146,T0,RC,Fix,146,146,146,1.0,1
C_NO_H,sequential,float16,146,T1G,R0,Fix,500,578,146,0.8650519031141869,0.8647260273972602
C_NO_H,sequential,float16,146,T1G,RC,Fix,500,578,146,0.8650519031141869,0.8647260273972602
C_NO_H,sequential,float16,146,T1L,R0,Retention,2,2,1,1.0,1
C_NO_H,sequential,float16,146,T1L,RC,Retention,2,2,1,1.0,1
C_NO_H,sequential,float16,146,T2G,R0,Fix,504,557,146,0.9048473967684022,0.9058219178082192
C_NO_H,sequential,float16,146,T2G,RC,Fix,504,557,146,0.9048473967684022,0.9058219178082192
C_NO_H,sequential,float16,146,T2L,R0,Retention,25,54,31,0.46296296296296297,0.4838709677419355
C_NO_H,sequential,float16,146,T2L,RC,Retention,25,54,31,0.46296296296296297,0.4838709677419355
C_NO_H,sequential,float16,146,T4G,R0,Fix,0,0,0,,
C_NO_H,sequential,float16,146,T4G,RC,Fix,0,0,0,,
C_NO_H,single,float16,1,T0,FORCED_ON,Fix,146,146,146,1.0,1
C_NO_H,single,float16,1,T0,R0,Fix,146,146,146,1.0,1
C_NO_H,single,float16,1,T0,RC,Fix,146,146,146,1.0,1
C_NO_H,single,float16,1,T1G,FORCED_ON,Fix,578,578,146,1.0,1
C_NO_H,single,float16,1,T1G,R0,Fix,578,578,146,1.0,1
C_NO_H,single,float16,1,T1G,RC,Fix,578,578,146,1.0,1
C_NO_H,single,float16,1,T1L,FORCED_ON,Retention,2,2,1,1.0,1
