arm,N,K,panel,metric,numerator,denominator,scored,value,unit,coverage
A,45,45,new_H_eval,accuracy,11,24,24,0.4583333333333333,QA,1.0
A,45,45,new_H_eval,Retention,8,18,18,0.4444444444444444,QA,1.0
A,45,45,new_H_eval,Fix,3,6,6,0.5,QA,1.0
A,45,45,new_H_eval,accuracy_source_macro,3.6666666666666665,8,8,0.4583333333333333,source,1.0
A,45,45,new_H_eval,Retention_source_macro,3.1666666666666665,8,8,0.3958333333333333,source,1.0
A,45,45,new_H_eval,Fix_source_macro,2.0,5,5,0.4,source,1.0
A,45,45,new_U_eval,accuracy,12,14,14,0.8571428571428571,QA,1.0
A,45,45,new_U_eval,fixed_panel_Retention,12,13,13,0.9230769230769231,QA,1.0
A,45,45,new_U_eval,Retention,7,8,8,0.875,QA,1.0
A,45,45,new_U_eval,Fix,0,0,0,,QA,
A,45,45,new_U_eval,accuracy_source_macro,7.0,8,8,0.875,source,1.0
A,45,45,new_U_eval,Retention_source_macro,7.0,8,8,0.875,source,1.0
A,45,45,new_U_eval,Fix_source_macro,0,0,0,,source,
B,45,45,new_H_eval,accuracy,8,24,24,0.3333333333333333,QA,1.0
B,45,45,new_H_eval,Retention,3,18,18,0.16666666666666666,QA,1.0
B,45,45,new_H_eval,Fix,5,6,6,0.8333333333333334,QA,1.0
B,45,45,new_H_eval,accuracy_source_macro,2.6666666666666665,8,8,0.3333333333333333,source,1.0
B,45,45,new_H_eval,Retention_source_macro,1.3333333333333333,8,8,0.16666666666666666,source,1.0
B,45,45,new_H_eval,Fix_source_macro,4.0,5,5,0.8,source,1.0
B,45,45,new_U_eval,accuracy,0,14,14,0.0,QA,1.0
B,45,45,new_U_eval,fixed_panel_Retention,0,13,13,0.0,QA,1.0
B,45,45,new_U_eval,Retention,0,8,8,0.0,QA,1.0
B,45,45,new_U_eval,Fix,0,0,0,,QA,
B,45,45,new_U_eval,accuracy_source_macro,0.0,8,8,0.0,source,1.0
B,45,45,new_U_eval,Retention_source_macro,0.0,8,8,0.0,source,1.0
B,45,45,new_U_eval,Fix_source_macro,0,0,0,,source,
