cohort,track,prefix,role,stratum,strict_role,candidate,mode,control,control_mode,metric,delta,ci_low,ci_high,paired_inputs,paired_edits,source_images,patients,image_cluster_ci_low,image_cluster_ci_high,leave_one_image_out_min,leave_one_image_out_max,bootstrap_seed,bootstrap_draws
APR_OLD_STAGE3_COMMON7,A,0,native,T0,EDIT_TARGET,B2,FORCED_ON,B1,FORCED_ON,semantic,0.0,0.0,0.0,6,6,6,UNKNOWN,0.0,0.0,0.0,0.0,20260908,10000
APR_OLD_STAGE3_COMMON7,A,0,native,T0,EDIT_TARGET,B2,FORCED_ON,B1,FORCED_ON,v4_primary,0.0,0.0,0.0,6,6,6,UNKNOWN,0.0,0.0,0.0,0.0,20260908,10000
APR_OLD_STAGE3_COMMON7,A,0,native,T0,EDIT_TARGET,B2,FORCED_ON,B1,FORCED_ON,base_wrong_became_correct,0.0,0.0,0.0,6,6,6,UNKNOWN,0.0,0.0,0.0,0.0,20260908,10000
APR_OLD_STAGE3_COMMON7,A,0,formal_development,T1G,EDIT_TARGET,B2,FORCED_ON,B1,FORCED_ON,semantic,0.0,0.0,0.0,22,6,22,UNKNOWN,0.0,0.0,0.0,0.0,20260908,10000
APR_OLD_STAGE3_COMMON7,A,0,formal_development,T1G,EDIT_TARGET,B2,FORCED_ON,B1,FORCED_ON,v4_primary,0.0,0.0,0.0,22,6,22,UNKNOWN,0.0,0.0,0.0,0.0,20260908,10000
APR_OLD_STAGE3_COMMON7,A,0,formal_development,T1G,EDIT_TARGET,B2,FORCED_ON,B1,FORCED_ON,base_wrong_became_correct,0.0,0.0,0.0,22,6,22,UNKNOWN,0.0,0.0,0.0,0.0,20260908,10000
APR_OLD_STAGE3_COMMON7,A,0,formal_development,T2G,EDIT_TARGET,B2,FORCED_ON,B1,FORCED_ON,semantic,0.20833333333333334,0.041666666666666664,0.375,23,6,6,UNKNOWN,0.041666666666666664,0.375,0.15,0.25,20260908,10000
APR_OLD_STAGE3_COMMON7,A,0,formal_development,T2G,EDIT_TARGET,B2,FORCED_ON,B1,FORCED_ON,v4_primary,0.20833333333333334,0.041666666666666664,0.375,23,6,6,UNKNOWN,0.041666666666666664,0.375,0.15,0.25,20260908,10000
APR_OLD_STAGE3_COMMON7,A,0,formal_development,T2G,EDIT_TARGET,B2,FORCED_ON,B1,FORCED_ON,base_wrong_became_correct,0.20833333333333334,0.041666666666666664,0.375,23,6,6,UNKNOWN,0.041666666666666664,0.375,0.15,0.25,20260908,10000
APR_OLD_STAGE3_COMMON7,A,0,fit,positive,EDIT_TARGET,B2,FORCED_ON,B1,FORCED_ON,semantic,0.0,0.0,0.0,24,7,6,UNKNOWN,0.0,0.0,0.0,0.0,20260908,10000
APR_OLD_STAGE3_COMMON7,A,0,fit,positive,EDIT_TARGET,B2,FORCED_ON,B1,FORCED_ON,base_wrong_became_correct,0.0,0.0,0.0,24,7,6,UNKNOWN,0.0,0.0,0.0,0.0,20260908,10000
APR_OLD_STAGE3_COMMON7,A,0,fit,H,STRICT_BASE,B2,FORCED_ON,B1,FORCED_ON,semantic,-0.09523809523809523,-0.23809523809523808,0.0,16,7,13,UNKNOWN,-0.23076923076923078,0.0,-0.14285714285714285,0.0,20260908,10000
APR_OLD_STAGE3_COMMON7,A,0,fit,H,STRICT_BASE,B2,FORCED_ON,B1,FORCED_ON,base_wrong_became_correct,-0.09523809523809523,-0.23809523809523808,0.0,16,7,13,UNKNOWN,-0.23076923076923078,0.0,-0.14285714285714285,0.0,20260908,10000
APR_OLD_STAGE3_COMMON7,A,0,fit,H,STRICT_BASE,B2,FORCED_ON,B1,FORCED_ON,fpr,0.0,0.0,0.0,16,7,13,UNKNOWN,0.0,0.0,0.0,0.0,20260908,10000
APR_OLD_STAGE3_COMMON7,A,0,fit,U,STRICT_BASE,B2,FORCED_ON,B1,FORCED_ON,semantic,-0.03571428571428571,-0.10714285714285714,0.0,39,7,31,UNKNOWN,-0.10752688172043011,0.03225806451612903,-0.09523809523809523,0.011904761904761902,20260908,10000
APR_OLD_STAGE3_COMMON7,A,0,fit,U,STRICT_BASE,B2,FORCED_ON,B1,FORCED_ON,base_correct_damage,0.08333333333333333,0.0,0.25,17,6,13,UNKNOWN,0.0,0.07692307692307693,0.0,0.16666666666666666,20260908,10000
APR_OLD_STAGE3_COMMON7,A,0,fit,U,STRICT_BASE,B2,FORCED_ON,B1,FORCED_ON,base_wrong_became_correct,0.0,0.0,0.0,22,7,18,UNKNOWN,-0.16666666666666666,0.08333333333333333,-0.047619047619047616,0.047619047619047616,20260908,10000
APR_OLD_STAGE3_COMMON7,A,0,fit,U,STRICT_BASE,B2,FORCED_ON,B1,FORCED_ON,fpr,0.0,0.0,0.0,39,7,31,UNKNOWN,0.0,0.0,0.0,0.0,20260908,10000
APR_OLD_STAGE3_COMMON7,A,0,formal_development,T1L,STRICT_BASE,B2,FORCED_ON,B1,FORCED_ON,semantic,0.0,0.0,0.0,10,2,5,UNKNOWN,0.0,0.0,0.0,0.0,20260908,10000
APR_OLD_STAGE3_COMMON7,A,0,formal_development,T1L,STRICT_BASE,B2,FORCED_ON,B1,FORCED_ON,v4_primary,0.0,0.0,0.0,6,2,3,UNKNOWN,0.0,0.0,0.0,0.0,20260908,10000
