cohort,edit,condition,alpha,anchor_error,anchor_rank,eta,fp32_anchor_error,input_matrix_bytes,mu,multiplier_iterations,negative_energy_ratio,objective,pair_fit_seconds,radius,relative_repair_norm,ridge
OLD_STAGE3_COMMON7,27,B2,0.19985510885877206,1.6943768131883492e-09,55,0.1,6.98055888784723e-09,229376,,0,0.6780221589111937,225.40354084087488,4.9393744468688965,0.41193612294750076,0.10000000008051042,7.16792110012748
OLD_STAGE3_COMMON7,27,B3,,4.629941773574874e-15,55,0.1,4.2750379297510495e-09,229376,221.31673384633464,64,0.4580835823420789,152.6811162985805,4.939380407333374,0.41193612294750076,0.10000000002029932,7.16792110012748
OLD_STAGE3_COMMON7,35,B2,0.3670888590718762,2.9501281578533155e-09,75,0.1,6.45800854709808e-09,229376,,0,0.41627000916278367,154.64389672022583,5.8304643630981445,0.5459780676407239,0.100000000053527,5.119946143831291
OLD_STAGE3_COMMON7,35,B3,,2.5795873311092653e-15,75,0.1,7.174098895609748e-09,229376,213.64805412306205,64,0.29550975497395493,110.22433781787215,5.830469131469727,0.5459780676407239,0.10000000002413811,5.119946143831291
OLD_STAGE3_COMMON7,66,B2,0.25113149805043855,2.6348886773835037e-09,35,0.1,7.721464246142845e-09,229376,,0,0.6229969265437292,131.95674305079146,5.1981682777404785,0.45524579268110515,0.0999999998537668,7.167918736573569
OLD_STAGE3_COMMON7,66,B3,,1.0717889962731183e-14,35,0.1,5.914905055080035e-09,229376,91.73013292868369,64,0.38810129565501583,82.76369918971209,5.1981706619262695,0.45524579268110515,0.1000000000907705,7.167918736573569
OLD_STAGE3_COMMON7,143,B2,0.17381106817673067,2.1853857945999333e-09,35,0.1,5.032110931638901e-09,229376,,0,0.7238717736656062,380.97065757661386,4.923691272735596,0.536915342551708,0.10000000035839676,5.973264582595922
OLD_STAGE3_COMMON7,143,B3,,7.336733486085675e-15,35,0.1,5.597895059675422e-09,229376,197.63773594678298,64,0.5249747681086407,276.76514473698217,4.92369532585144,0.536915342551708,0.09999999976039006,5.973264582595922
OLD_STAGE3_COMMON7,168,B2,0.18553089415958515,1.1494088895167184e-09,40,0.1,4.745907621177779e-09,229376,,0,0.7126046187155309,144.73682263013384,4.815578460693359,0.36842156248098956,0.09999999980431823,4.479947154950471
OLD_STAGE3_COMMON7,168,B3,,3.9366759469508505e-15,40,0.1,4.2384803222015174e-09,229376,169.64585596939304,64,0.5181010057918468,105.39725176636759,4.815583944320679,0.36842156248098956,0.10000000011318004,4.479947154950471
OLD_STAGE3_COMMON7,172,B2,0.1604906923638611,2.4695985567779897e-09,40,0.1,4.4770945405835245e-09,229376,,0,0.775913150205671,206.53365069258572,5.201298952102661,0.40968660703876103,0.09999999993499127,5.973262176444795
OLD_STAGE3_COMMON7,172,B3,,3.958132190018536e-15,40,0.1,6.065409324207344e-09,229376,98.61647803418602,64,0.5242341539154923,139.8665818237422,5.2012999057769775,0.40968660703876103,0.09999999980114148,5.973262176444795
OLD_STAGE3_COMMON7,270,B2,0.37025130366745707,2.85004017369352e-09,75,0.1,6.985486206058966e-09,229376,,0,0.412309560115437,149.46144390780213,5.734189987182617,0.5434246937830125,0.09999999978797096,5.119946143831291
OLD_STAGE3_COMMON7,270,B3,,2.5870807961573983e-15,75,0.1,6.433777195278724e-09,229376,210.3347937104664,64,0.2920830662680006,106.32044419302451,5.734192609786987,0.5434246937830125,0.10000000007514345,5.119946143831291
SLAKE_STAGE2_BANK16,101,B2,0.23606837189456525,1.3598145244982063e-09,20,0.1,4.94986553500964e-09,229376,,0,0.5963114928394716,276.220467668015,5.0021867752075195,0.39780704067201816,0.100000000357895,5.119944554252499
SLAKE_STAGE2_BANK16,101,B3,,9.076022180311868e-16,20,0.1,3.3246033545471654e-09,229376,448.60553084338994,64,0.40359216035269246,187.21182532373214,5.002188205718994,0.39780704067201816,0.10000000004346575,5.119944554252499
SLAKE_STAGE2_BANK16,102,B2,0.1958865751759069,2.1004278278857164e-09,15,0.1,4.276602431264939e-09,229376,,0,0.7081284683058647,207.71595724427226,4.288833141326904,0.4127973109692173,0.09999999988933798,7.167921202423359
SLAKE_STAGE2_BANK16,102,B3,,6.312918839931286e-15,15,0.1,3.894165855187619e-09,229376,159.35397303985104,64,0.41788502516755444,123.07921752879565,4.288834095001221,0.4127973109692173,0.09999999984361134,7.167921202423359
SLAKE_STAGE2_BANK16,103,B2,0.1928872158225393,1.883736224218767e-09,15,0.1,4.25722664099892e-09,229376,,0,0.7084376517775517,210.30131900121643,4.174100399017334,0.41645249836377984,0.09999999996647665,7.167922243914571
SLAKE_STAGE2_BANK16,103,B3,,3.531934905546668e-15,15,0.1,3.0732787618437407e-09,229376,143.8718613124949,64,0.4202338244613804,125.25309505459396,4.174104928970337,0.41645249836377984,0.10000000013374206,7.167922243914571
SLAKE_STAGE2_BANK16,104,B2,0.21581666548164255,2.770507606722869e-09,20,0.1,7.328431680034197e-09,229376,,0,0.6288357872268594,383.4606002644724,4.228784799575806,0.4530533055510124,0.10000000004293924,5.119944953858204
SLAKE_STAGE2_BANK16,104,B3,,3.681187810922834e-15,20,0.1,4.01724682797397e-09,229376,436.5414922965248,64,0.4531991619619004,276.65187768400665,4.228785753250122,0.4530533055510124,0.10000000001424532,5.119944953858204
SLAKE_STAGE2_BANK16,105,B2,0.24097852705664358,1.4792784904380953e-09,20,0.1,5.099240258173784e-09,229376,,0,0.5893429979534895,168.7701201862694,4.780592203140259,0.3229291759224869,0.0999999999323154,5.119945540771883
SLAKE_STAGE2_BANK16,105,B3,,3.71432541112207e-15,20,0.1,2.9700927940855425e-09,229376,417.5878388520767,64,0.3832967911774082,109.95135044480692,4.780592918395996,0.3229291759224869,0.09999999996787359,5.119945540771883
SLAKE_STAGE2_BANK16,106,B2,0.22938410644885282,2.0737569996344387e-09,20,0.1,4.787059418861671e-09,229376,,0,0.6066108630486752,195.5270606068027,4.864338636398315,0.3263589447105425,0.10000000025846525,5.119944310650116
SLAKE_STAGE2_BANK16,106,B3,,2.4414703545935025e-15,20,0.1,4.266295480043178e-09,229376,464.85856895012057,64,0.42898465083001974,138.43301742936455,4.864344120025635,0.3263589447105425,0.10000000022982115,5.119944310650116
SLAKE_STAGE2_BANK16,107,B2,0.19912950239053534,2.0871001838789344e-09,15,0.1,7.147284947130843e-09,229376,,0,0.6970607215995911,195.3146263758096,4.413573741912842,0.41981809139121595,0.10000000041878741,7.167922658926981
SLAKE_STAGE2_BANK16,107,B3,,1.1017084419143532e-14,15,0.1,5.672597485296279e-09,229376,134.73670552967639,64,0.4265786744873973,120.01646283023584,4.413578271865845,0.41981809139121595,0.09999999990858334,7.167922658926981
SLAKE_STAGE2_BANK16,108,B2,0.24100935261465373,2.0491252089476433e-09,20,0.1,5.691447555180711e-09,229376,,0,0.589791153767266,216.95693926943923,4.874452352523804,0.37120122524964855,0.10000000009484021,5.1199453988022166
SLAKE_STAGE2_BANK16,108,B3,,2.5854567263030836e-15,20,0.1,5.635534239208864e-09,229376,409.1491393663427,64,0.4078237006338154,150.2371749194504,4.874453783035278,0.37120122524964855,0.10000000031168449,5.1199453988022166
SLAKE_STAGE2_BANK16,109,B2,0.5140567101631073,4.55748833183645e-09,15,0.1,7.760421952188005e-09,229376,,0,0.24668568793371576,83.46534334969776,4.0402610301971436,0.4548852107868235,0.10000000033572418,5.97326982242866
SLAKE_STAGE2_BANK16,109,B3,,1.881397653671272e-15,15,0.1,7.831801273098933e-09,229376,259.7486958669604,64,0.11673512743873661,40.148074374269946,4.0402655601501465,0.4548852107868235,0.10000000003779036,5.97326982242866
SLAKE_STAGE2_BANK16,110,B2,0.2068995120005255,3.1426299623233094e-09,15,0.1,7.219037136025361e-09,229376,,0,0.673788408042802,199.35628993825264,4.084307670593262,0.38813922525684913,0.09999999988679599,7.167923406771295
SLAKE_STAGE2_BANK16,110,B3,,4.135684307183857e-15,15,0.1,4.1303197559965075e-09,229376,155.48498020566075,64,0.32303375657404954,96.13934852193522,4.084308862686157,0.38813922525684913,0.1000000001093593,7.167923406771295
SLAKE_STAGE2_BANK16,111,B2,0.17828706833706143,2.053633907095987e-09,15,0.1,7.229660841685384e-09,229376,,0,0.7722671799318909,211.72409946464532,4.904695749282837,0.37531133515606474,0.10000000005877628,7.167922949026627
SLAKE_STAGE2_BANK16,111,B3,,1.5194346165718156e-14,15,0.1,4.03742262626749e-09,229376,138.38294174817625,64,0.485817015929948,133.56567665269637,4.904696941375732,0.37531133515606474,0.09999999996869356,7.167922949026627
SLAKE_STAGE2_BANK16,112,B2,0.31293981750615296,2.596114986243064e-09,20,0.1,4.192463315121117e-09,229376,,0,0.48466826998369145,204.95389561121598,4.178522109985352,0.4350566886596523,0.10000000028948852,5.973265858813697
SLAKE_STAGE2_BANK16,112,B3,,2.8922605977586937e-16,20,0.1,4.048837693795156e-09,229376,347.79804649269244,64,0.3148446665033749,133.53595686995453,4.178523302078247,0.4350566886596523,0.1000000001854591,5.973265858813697
SLAKE_STAGE2_BANK16,113,B2,0.20529356433956095,1.8873841605739038e-09,15,0.1,4.442682621574206e-09,229376,,0,0.6740491172881269,232.01108008327375,3.9848432540893555,0.42650341711828405,0.1000000001243013,7.167923629455474
SLAKE_STAGE2_BANK16,113,B3,,6.409603986727363e-15,15,0.1,4.6190218959217525e-09,229376,181.73519777755183,64,0.37184945433332006,128.57701972766043,3.984844446182251,0.42650341711828405,0.10000000005798935,7.167923629455474
SLAKE_STAGE2_BANK16,114,B2,0.3042839351131243,1.2142647446741579e-09,15,0.1,3.6331380843431584e-09,229376,,0,0.49600286475207456,194.55770503096977,4.192288637161255,0.3652022270339548,0.09999999984225054,7.167917197789518
SLAKE_STAGE2_BANK16,114,B3,,1.220662393326763e-15,15,0.1,3.42995074454406e-09,229376,481.0036423375741,64,0.3431680335816126,134.90263926624013,4.192292213439941,0.3652022270339548,0.09999999992950295,7.167917197789518
SLAKE_STAGE2_BANK16,115,B2,0.2528342719677019,1.563234831424297e-09,25,0.1,5.282340809634521e-09,229376,,0,0.5749636387778545,226.90392709793568,5.044683456420898,0.3765714895568278,0.09999999976915551,7.167924558489234
