cohort,condition,mode,role,panel,inputs,lost_correction,gained_correction,avoided_damage,introduced_damage
APR_SLAKE_STAGE2_BANK16,B3,FORCED_ON,fit,cross_family_confirmation,64,0,0,0,0
APR_SLAKE_STAGE2_BANK16,B3,RC_FIXED_OLD16,fit,cross_family_confirmation,64,0,0,0,0
APR_SLAKE_STAGE2_BANK16,B1,FORCED_ON,fit,cross_family_confirmation,64,0,0,0,0
APR_SLAKE_STAGE2_BANK16,B1,RC_FIXED_OLD16,fit,cross_family_confirmation,64,0,0,0,0
APR_SLAKE_STAGE2_BANK16,B2,FORCED_ON,evaluation,source_style_confirmation,32,0,0,0,0
APR_SLAKE_STAGE2_BANK16,B2,RC_FIXED_OLD16,evaluation,source_style_confirmation,32,0,0,0,0
APR_SLAKE_STAGE2_BANK16,B3,FORCED_ON,evaluation,source_style_confirmation,32,0,0,0,0
APR_SLAKE_STAGE2_BANK16,B3,RC_FIXED_OLD16,evaluation,source_style_confirmation,32,0,0,0,0
APR_SLAKE_STAGE2_BANK16,B1,FORCED_ON,evaluation,source_style_confirmation,32,0,0,0,1
APR_SLAKE_STAGE2_BANK16,B1,RC_FIXED_OLD16,evaluation,source_style_confirmation,32,0,0,0,1
APR_SLAKE_STAGE2_BANK16,B2,FORCED_ON,evaluation,cross_family_confirmation,32,0,0,0,0
APR_SLAKE_STAGE2_BANK16,B2,RC_FIXED_OLD16,evaluation,cross_family_confirmation,32,0,0,0,0
APR_SLAKE_STAGE2_BANK16,B3,FORCED_ON,evaluation,cross_family_confirmation,32,0,0,0,0
APR_SLAKE_STAGE2_BANK16,B3,RC_FIXED_OLD16,evaluation,cross_family_confirmation,32,0,0,0,0
APR_SLAKE_STAGE2_BANK16,B1,FORCED_ON,evaluation,cross_family_confirmation,32,0,0,0,0
APR_SLAKE_STAGE2_BANK16,B1,RC_FIXED_OLD16,evaluation,cross_family_confirmation,32,0,0,0,0
APR_SLAKE_STAGE2_BANK16,B2,FORCED_ON,fit,H,28,0,0,0,0
APR_SLAKE_STAGE2_BANK16,B2,RC_FIXED_OLD16,fit,H,28,0,0,0,0
APR_SLAKE_STAGE2_BANK16,B3,FORCED_ON,fit,H,28,0,0,1,0
APR_SLAKE_STAGE2_BANK16,B3,RC_FIXED_OLD16,fit,H,28,0,0,0,0
