seed,event_index,opaque_edit,panel,condition,operating_point,category,n,on_num,on_rate,base_exact_num,forced_exact_num,gated_exact_num,base_semantic_num,forced_semantic_num,gated_semantic_num,joint_on_exact_rate,joint_on_semantic_rate,base_correct_damage_num,base_correct_den,off_parity_num,off_num
20260906,1,01223e258bbc7a1f,original,M1_C1_CP_CONJUNCTION_CONTROL,SECONDARY_COVERAGE90,formal_T1G,4,0,0.0,0,4,0,0,4,0,0.0,0.0,0,0,4,4
20260906,1,01223e258bbc7a1f,original,M1_C1_CP_CONJUNCTION_CONTROL,SECONDARY_COVERAGE90,formal_T2G,3,2,0.6666666666666666,0,1,1,0,1,1,0.3333333333333333,0.3333333333333333,0,0,1,1
20260906,1,01223e258bbc7a1f,original,M1_C1_CP_CONJUNCTION_CONTROL,SECONDARY_COVERAGE90,native,1,1,1.0,0,1,1,0,1,1,1.0,1.0,0,0,0,0
20260906,1,01223e258bbc7a1f,original,M1_C1_CP_CONJUNCTION_CONTROL,SECONDARY_COVERAGE90,reviewed_same_fact_text_augmentation,4,4,1.0,0,4,4,0,4,4,1.0,1.0,0,0,0,0
20260906,1,01223e258bbc7a1f,original,M1_C1_CP_CONJUNCTION_CONTROL,SECONDARY_COVERAGE90,same_image_other_source_fact,12,3,0.25,0,0,0,3,2,2,0.0,0.0,1,3,9,9
20260906,1,01223e258bbc7a1f,original,M1_C1_CP_CONJUNCTION_CONTROL,SECONDARY_COVERAGE90,same_question_different_image_conflicting_source_answer,5,0,0.0,0,0,0,2,3,2,0.0,0.0,0,2,5,5
20260906,1,01223e258bbc7a1f,original,M2_C1_CP_RESPONSE_VERIFIER,PRIMARY_SAFETY_FIRST,broad_unrelated_source_qa,15,0,0.0,0,0,0,12,13,12,0.0,0.0,0,12,15,15
20260906,1,01223e258bbc7a1f,original,M2_C1_CP_RESPONSE_VERIFIER,PRIMARY_SAFETY_FIRST,evaluation_positive,4,3,0.75,0,4,3,0,4,3,0.75,0.75,0,0,1,1
20260906,1,01223e258bbc7a1f,original,M2_C1_CP_RESPONSE_VERIFIER,PRIMARY_SAFETY_FIRST,formal_T1G,4,0,0.0,0,4,0,0,4,0,0.0,0.0,0,0,4,4
20260906,1,01223e258bbc7a1f,original,M2_C1_CP_RESPONSE_VERIFIER,PRIMARY_SAFETY_FIRST,formal_T2G,3,2,0.6666666666666666,0,1,1,0,1,1,0.3333333333333333,0.3333333333333333,0,0,1,1
20260906,1,01223e258bbc7a1f,original,M2_C1_CP_RESPONSE_VERIFIER,PRIMARY_SAFETY_FIRST,native,1,1,1.0,0,1,1,0,1,1,1.0,1.0,0,0,0,0
20260906,1,01223e258bbc7a1f,original,M2_C1_CP_RESPONSE_VERIFIER,PRIMARY_SAFETY_FIRST,reviewed_same_fact_text_augmentation,4,4,1.0,0,4,4,0,4,4,1.0,1.0,0,0,0,0
20260906,1,01223e258bbc7a1f,original,M2_C1_CP_RESPONSE_VERIFIER,PRIMARY_SAFETY_FIRST,same_image_other_source_fact,12,0,0.0,0,0,0,3,2,3,0.0,0.0,0,3,12,12
20260906,1,01223e258bbc7a1f,original,M2_C1_CP_RESPONSE_VERIFIER,PRIMARY_SAFETY_FIRST,same_question_different_image_conflicting_source_answer,5,1,0.2,0,0,0,2,3,2,0.0,0.0,0,2,4,4
20260906,1,01223e258bbc7a1f,original,M2_C1_CP_RESPONSE_VERIFIER,SECONDARY_COVERAGE90,broad_unrelated_source_qa,15,0,0.0,0,0,0,12,13,12,0.0,0.0,0,12,15,15
20260906,1,01223e258bbc7a1f,original,M2_C1_CP_RESPONSE_VERIFIER,SECONDARY_COVERAGE90,evaluation_positive,4,4,1.0,0,4,4,0,4,4,1.0,1.0,0,0,0,0
20260906,1,01223e258bbc7a1f,original,M2_C1_CP_RESPONSE_VERIFIER,SECONDARY_COVERAGE90,formal_T1G,4,4,1.0,0,4,4,0,4,4,1.0,1.0,0,0,0,0
20260906,1,01223e258bbc7a1f,original,M2_C1_CP_RESPONSE_VERIFIER,SECONDARY_COVERAGE90,formal_T2G,3,3,1.0,0,1,1,0,1,1,0.3333333333333333,0.3333333333333333,0,0,0,0
20260906,1,01223e258bbc7a1f,original,M2_C1_CP_RESPONSE_VERIFIER,SECONDARY_COVERAGE90,native,1,1,1.0,0,1,1,0,1,1,1.0,1.0,0,0,0,0
20260906,1,01223e258bbc7a1f,original,M2_C1_CP_RESPONSE_VERIFIER,SECONDARY_COVERAGE90,reviewed_same_fact_text_augmentation,4,4,1.0,0,4,4,0,4,4,1.0,1.0,0,0,0,0
20260906,1,01223e258bbc7a1f,original,M2_C1_CP_RESPONSE_VERIFIER,SECONDARY_COVERAGE90,same_image_other_source_fact,12,3,0.25,0,0,0,3,2,2,0.0,0.0,1,3,9,9
20260906,1,01223e258bbc7a1f,original,M2_C1_CP_RESPONSE_VERIFIER,SECONDARY_COVERAGE90,same_question_different_image_conflicting_source_answer,5,5,1.0,0,0,0,2,3,3,0.0,0.6,0,2,0,0
20260906,1,01223e258bbc7a1f,original,M3_C1_PRE_CP_FEATURE_VERIFIER,PRIMARY_SAFETY_FIRST,broad_unrelated_source_qa,15,0,0.0,0,0,0,12,13,12,0.0,0.0,0,12,15,15
20260906,1,01223e258bbc7a1f,original,M3_C1_PRE_CP_FEATURE_VERIFIER,PRIMARY_SAFETY_FIRST,evaluation_positive,4,3,0.75,0,4,3,0,4,3,0.75,0.75,0,0,1,1
20260906,1,01223e258bbc7a1f,original,M3_C1_PRE_CP_FEATURE_VERIFIER,PRIMARY_SAFETY_FIRST,formal_T1G,4,0,0.0,0,4,0,0,4,0,0.0,0.0,0,0,4,4
20260906,1,01223e258bbc7a1f,original,M3_C1_PRE_CP_FEATURE_VERIFIER,PRIMARY_SAFETY_FIRST,formal_T2G,3,2,0.6666666666666666,0,1,1,0,1,1,0.3333333333333333,0.3333333333333333,0,0,1,1
20260906,1,01223e258bbc7a1f,original,M3_C1_PRE_CP_FEATURE_VERIFIER,PRIMARY_SAFETY_FIRST,native,1,1,1.0,0,1,1,0,1,1,1.0,1.0,0,0,0,0
20260906,1,01223e258bbc7a1f,original,M3_C1_PRE_CP_FEATURE_VERIFIER,PRIMARY_SAFETY_FIRST,reviewed_same_fact_text_augmentation,4,4,1.0,0,4,4,0,4,4,1.0,1.0,0,0,0,0
20260906,1,01223e258bbc7a1f,original,M3_C1_PRE_CP_FEATURE_VERIFIER,PRIMARY_SAFETY_FIRST,same_image_other_source_fact,12,5,0.4166666666666667,0,0,0,3,2,2,0.0,0.0,1,3,7,7
20260906,1,01223e258bbc7a1f,original,M3_C1_PRE_CP_FEATURE_VERIFIER,PRIMARY_SAFETY_FIRST,same_question_different_image_conflicting_source_answer,5,0,0.0,0,0,0,2,3,2,0.0,0.0,0,2,5,5
