cohort,track,prefix,role,stratum,strict_role,candidate,mode,control,control_mode,metric,delta,ci_low,ci_high,paired_inputs,paired_edits,source_images,patients,image_cluster_ci_low,image_cluster_ci_high,leave_one_image_out_min,leave_one_image_out_max,bootstrap_seed,bootstrap_draws
FACT_SLAKE_STAGE2_BANK16,A,0,native,T0,EDIT_TARGET,E1,FORCED_ON,E0,FORCED_ON,semantic,0.0,0.0,0.0,5,5,5,UNKNOWN,0.0,0.0,0.0,0.0,20260908,10000
FACT_SLAKE_STAGE2_BANK16,A,0,native,T0,EDIT_TARGET,E1,FORCED_ON,E0,FORCED_ON,v4_primary,0.0,0.0,0.0,5,5,5,UNKNOWN,0.0,0.0,0.0,0.0,20260908,10000
FACT_SLAKE_STAGE2_BANK16,A,0,native,T0,EDIT_TARGET,E1,FORCED_ON,E0,FORCED_ON,base_wrong_became_correct,0.0,0.0,0.0,5,5,5,UNKNOWN,0.0,0.0,0.0,0.0,20260908,10000
FACT_SLAKE_STAGE2_BANK16,A,0,fit,cross_family_confirmation,EDIT_TARGET,E1,FORCED_ON,E0,FORCED_ON,semantic,-0.1,-0.2,0.0,20,5,5,UNKNOWN,-0.2,0.0,-0.125,-0.0625,20260908,10000
FACT_SLAKE_STAGE2_BANK16,A,0,fit,cross_family_confirmation,EDIT_TARGET,E1,FORCED_ON,E0,FORCED_ON,base_wrong_became_correct,-0.1,-0.2,0.0,20,5,5,UNKNOWN,-0.2,0.0,-0.125,-0.0625,20260908,10000
FACT_SLAKE_STAGE2_BANK16,A,0,evaluation,source_style_confirmation,EDIT_TARGET,E1,FORCED_ON,E0,FORCED_ON,semantic,0.0,0.0,0.0,10,5,5,UNKNOWN,0.0,0.0,0.0,0.0,20260908,10000
FACT_SLAKE_STAGE2_BANK16,A,0,evaluation,source_style_confirmation,EDIT_TARGET,E1,FORCED_ON,E0,FORCED_ON,base_wrong_became_correct,0.0,,,1,1,1,UNKNOWN,,,,,20260908,10000
FACT_SLAKE_STAGE2_BANK16,A,0,evaluation,cross_family_confirmation,EDIT_TARGET,E1,FORCED_ON,E0,FORCED_ON,semantic,-0.1,-0.3,0.0,10,5,5,UNKNOWN,-0.3,0.0,-0.125,0.0,20260908,10000
FACT_SLAKE_STAGE2_BANK16,A,0,evaluation,cross_family_confirmation,EDIT_TARGET,E1,FORCED_ON,E0,FORCED_ON,base_wrong_became_correct,-0.1,-0.3,0.0,7,5,5,UNKNOWN,-0.3,0.0,-0.125,0.0,20260908,10000
FACT_SLAKE_STAGE2_BANK16,A,0,fit,H,STRICT_BASE,E1,FORCED_ON,E0,FORCED_ON,semantic,0.0,0.0,0.0,6,5,3,UNKNOWN,0.0,0.0,0.0,0.0,20260908,10000
FACT_SLAKE_STAGE2_BANK16,A,0,fit,H,STRICT_BASE,E1,FORCED_ON,E0,FORCED_ON,base_correct_damage,0.0,0.0,0.0,6,5,3,UNKNOWN,0.0,0.0,0.0,0.0,20260908,10000
FACT_SLAKE_STAGE2_BANK16,A,0,fit,H,STRICT_BASE,E1,FORCED_ON,E0,FORCED_ON,fpr,0.0,0.0,0.0,6,5,3,UNKNOWN,0.0,0.0,0.0,0.0,20260908,10000
FACT_SLAKE_STAGE2_BANK16,A,0,evaluation,H,STRICT_BASE,E1,FORCED_ON,E0,FORCED_ON,semantic,0.4,0.0,0.8,5,5,4,UNKNOWN,0.0,0.75,0.25,0.5,20260908,10000
FACT_SLAKE_STAGE2_BANK16,A,0,evaluation,H,STRICT_BASE,E1,FORCED_ON,E0,FORCED_ON,base_correct_damage,-0.4,-0.8,0.0,5,5,4,UNKNOWN,-0.75,0.0,-0.5,-0.25,20260908,10000
FACT_SLAKE_STAGE2_BANK16,A,0,evaluation,H,STRICT_BASE,E1,FORCED_ON,E0,FORCED_ON,fpr,0.0,0.0,0.0,5,5,4,UNKNOWN,0.0,0.0,0.0,0.0,20260908,10000
FACT_SLAKE_STAGE2_BANK16,A,0,fit,U,STRICT_BASE,E1,FORCED_ON,E0,FORCED_ON,semantic,0.0,0.0,0.0,70,5,39,UNKNOWN,0.0,0.0,0.0,0.0,20260908,10000
FACT_SLAKE_STAGE2_BANK16,A,0,fit,U,STRICT_BASE,E1,FORCED_ON,E0,FORCED_ON,base_correct_damage,0.0,0.0,0.0,39,5,23,UNKNOWN,0.0,0.0,0.0,0.0,20260908,10000
FACT_SLAKE_STAGE2_BANK16,A,0,fit,U,STRICT_BASE,E1,FORCED_ON,E0,FORCED_ON,base_wrong_became_correct,0.0,0.0,0.0,31,5,18,UNKNOWN,0.0,0.0,0.0,0.0,20260908,10000
FACT_SLAKE_STAGE2_BANK16,A,0,fit,U,STRICT_BASE,E1,FORCED_ON,E0,FORCED_ON,fpr,0.0,0.0,0.0,70,5,39,UNKNOWN,0.0,0.0,0.0,0.0,20260908,10000
FACT_SLAKE_STAGE2_BANK16,A,0,evaluation,U,STRICT_BASE,E1,FORCED_ON,E0,FORCED_ON,semantic,0.0,0.0,0.0,65,5,34,UNKNOWN,0.0,0.0,0.0,0.0,20260908,10000
