edit,condition,scope,pairs,correct_pairs,source_groups,pair_correct,patients
101,F0,GLOBAL_ACQUISITION_OR_REGION,2,0,2,0.0,UNKNOWN
101,F1,GLOBAL_ACQUISITION_OR_REGION,2,2,2,1.0,UNKNOWN
101,F2,GLOBAL_ACQUISITION_OR_REGION,2,2,2,1.0,UNKNOWN
102,F0,LOCAL_ANATOMICAL_VISIBILITY,1,0,1,0.0,UNKNOWN
102,F1,LOCAL_ANATOMICAL_VISIBILITY,1,0,1,0.0,UNKNOWN
102,F2,LOCAL_ANATOMICAL_VISIBILITY,1,0,1,0.0,UNKNOWN
103,F0,LOCAL_ANATOMICAL_VISIBILITY,1,0,1,0.0,UNKNOWN
103,F1,LOCAL_ANATOMICAL_VISIBILITY,1,0,1,0.0,UNKNOWN
103,F2,LOCAL_ANATOMICAL_VISIBILITY,1,0,1,0.0,UNKNOWN
104,F0,GLOBAL_ACQUISITION_OR_REGION,2,0,2,0.0,UNKNOWN
104,F1,GLOBAL_ACQUISITION_OR_REGION,2,1,2,0.5,UNKNOWN
104,F2,GLOBAL_ACQUISITION_OR_REGION,2,1,2,0.5,UNKNOWN
105,F0,GLOBAL_ACQUISITION_OR_REGION,2,0,2,0.0,UNKNOWN
105,F1,GLOBAL_ACQUISITION_OR_REGION,2,2,2,1.0,UNKNOWN
105,F2,GLOBAL_ACQUISITION_OR_REGION,2,2,2,1.0,UNKNOWN
106,F0,GLOBAL_ACQUISITION_OR_REGION,2,0,2,0.0,UNKNOWN
106,F1,GLOBAL_ACQUISITION_OR_REGION,2,0,2,0.0,UNKNOWN
106,F2,GLOBAL_ACQUISITION_OR_REGION,2,0,2,0.0,UNKNOWN
107,F0,LOCAL_ANATOMICAL_VISIBILITY,1,0,1,0.0,UNKNOWN
107,F1,LOCAL_ANATOMICAL_VISIBILITY,1,0,1,0.0,UNKNOWN
107,F2,LOCAL_ANATOMICAL_VISIBILITY,1,0,1,0.0,UNKNOWN
108,F0,GLOBAL_ACQUISITION_OR_REGION,2,0,2,0.0,UNKNOWN
108,F1,GLOBAL_ACQUISITION_OR_REGION,2,1,2,0.5,UNKNOWN
108,F2,GLOBAL_ACQUISITION_OR_REGION,2,1,2,0.5,UNKNOWN
109,F0,LOCAL_ANATOMICAL_VISIBILITY,1,0,1,0.0,UNKNOWN
109,F1,LOCAL_ANATOMICAL_VISIBILITY,1,1,1,1.0,UNKNOWN
109,F2,LOCAL_ANATOMICAL_VISIBILITY,1,1,1,1.0,UNKNOWN
110,F0,LOCAL_ANATOMICAL_VISIBILITY,1,0,1,0.0,UNKNOWN
110,F1,LOCAL_ANATOMICAL_VISIBILITY,1,0,1,0.0,UNKNOWN
110,F2,LOCAL_ANATOMICAL_VISIBILITY,1,0,1,0.0,UNKNOWN
111,F0,LOCAL_ANATOMICAL_VISIBILITY,1,0,1,0.0,UNKNOWN
111,F1,LOCAL_ANATOMICAL_VISIBILITY,1,0,1,0.0,UNKNOWN
111,F2,LOCAL_ANATOMICAL_VISIBILITY,1,0,1,0.0,UNKNOWN
112,F0,GLOBAL_ACQUISITION_OR_REGION,1,0,1,0.0,UNKNOWN
112,F1,GLOBAL_ACQUISITION_OR_REGION,1,0,1,0.0,UNKNOWN
112,F2,GLOBAL_ACQUISITION_OR_REGION,1,0,1,0.0,UNKNOWN
113,F0,LOCAL_ANATOMICAL_VISIBILITY,1,0,1,0.0,UNKNOWN
113,F1,LOCAL_ANATOMICAL_VISIBILITY,1,0,1,0.0,UNKNOWN
113,F2,LOCAL_ANATOMICAL_VISIBILITY,1,0,1,0.0,UNKNOWN
116,F0,GLOBAL_ACQUISITION_OR_REGION,1,0,1,0.0,UNKNOWN
116,F1,GLOBAL_ACQUISITION_OR_REGION,1,0,1,0.0,UNKNOWN
116,F2,GLOBAL_ACQUISITION_OR_REGION,1,0,1,0.0,UNKNOWN
