cohort,track,prefix,role,stratum,strict_role,candidate,mode,control,control_mode,metric,delta,ci_low,ci_high,paired_inputs,paired_edits,source_images,patients,image_cluster_ci_low,image_cluster_ci_high,leave_one_image_out_min,leave_one_image_out_max,bootstrap_seed,bootstrap_draws
APR_OLD_STAGE3_COMMON7,A,0,native,T0,EDIT_TARGET,C1,FORCED_ON,C0,FORCED_ON,semantic,-1.0,-1.0,-1.0,6,6,6,UNKNOWN,-1.0,-1.0,-1.0,-1.0,20260908,10000
APR_OLD_STAGE3_COMMON7,A,0,native,T0,EDIT_TARGET,C1,FORCED_ON,C0,FORCED_ON,v4_primary,-1.0,-1.0,-1.0,6,6,6,UNKNOWN,-1.0,-1.0,-1.0,-1.0,20260908,10000
APR_OLD_STAGE3_COMMON7,A,0,native,T0,EDIT_TARGET,C1,FORCED_ON,C0,FORCED_ON,base_wrong_became_correct,-1.0,-1.0,-1.0,6,6,6,UNKNOWN,-1.0,-1.0,-1.0,-1.0,20260908,10000
APR_OLD_STAGE3_COMMON7,A,0,native,T0,EDIT_TARGET,C2,FORCED_ON,C0,FORCED_ON,semantic,0.0,0.0,0.0,6,6,6,UNKNOWN,0.0,0.0,0.0,0.0,20260908,10000
APR_OLD_STAGE3_COMMON7,A,0,native,T0,EDIT_TARGET,C2,FORCED_ON,C0,FORCED_ON,v4_primary,0.0,0.0,0.0,6,6,6,UNKNOWN,0.0,0.0,0.0,0.0,20260908,10000
APR_OLD_STAGE3_COMMON7,A,0,native,T0,EDIT_TARGET,C2,FORCED_ON,C0,FORCED_ON,base_wrong_became_correct,0.0,0.0,0.0,6,6,6,UNKNOWN,0.0,0.0,0.0,0.0,20260908,10000
APR_OLD_STAGE3_COMMON7,A,0,native,T0,EDIT_TARGET,C2,FORCED_ON,C1,FORCED_ON,semantic,1.0,1.0,1.0,6,6,6,UNKNOWN,1.0,1.0,1.0,1.0,20260908,10000
APR_OLD_STAGE3_COMMON7,A,0,native,T0,EDIT_TARGET,C2,FORCED_ON,C1,FORCED_ON,v4_primary,1.0,1.0,1.0,6,6,6,UNKNOWN,1.0,1.0,1.0,1.0,20260908,10000
APR_OLD_STAGE3_COMMON7,A,0,native,T0,EDIT_TARGET,C2,FORCED_ON,C1,FORCED_ON,base_wrong_became_correct,1.0,1.0,1.0,6,6,6,UNKNOWN,1.0,1.0,1.0,1.0,20260908,10000
APR_OLD_STAGE3_COMMON7,A,0,formal_development,T1G,EDIT_TARGET,C1,FORCED_ON,C0,FORCED_ON,semantic,-1.0,-1.0,-1.0,22,6,22,UNKNOWN,-1.0,-1.0,-1.0,-1.0,20260908,10000
APR_OLD_STAGE3_COMMON7,A,0,formal_development,T1G,EDIT_TARGET,C1,FORCED_ON,C0,FORCED_ON,v4_primary,-1.0,-1.0,-1.0,22,6,22,UNKNOWN,-1.0,-1.0,-1.0,-1.0,20260908,10000
APR_OLD_STAGE3_COMMON7,A,0,formal_development,T1G,EDIT_TARGET,C1,FORCED_ON,C0,FORCED_ON,base_wrong_became_correct,-1.0,-1.0,-1.0,22,6,22,UNKNOWN,-1.0,-1.0,-1.0,-1.0,20260908,10000
APR_OLD_STAGE3_COMMON7,A,0,formal_development,T1G,EDIT_TARGET,C2,FORCED_ON,C0,FORCED_ON,semantic,0.0,0.0,0.0,22,6,22,UNKNOWN,0.0,0.0,0.0,0.0,20260908,10000
