cohort,track,prefix,role,stratum,strict_role,candidate,mode,control,control_mode,metric,delta,ci_low,ci_high,paired_inputs,paired_edits,source_images,patients,image_cluster_ci_low,image_cluster_ci_high,leave_one_image_out_min,leave_one_image_out_max,bootstrap_seed,bootstrap_draws
FACT_SLAKE_STAGE2_BANK16,A,0,fit,U,STRICT_BASE,F1,FORCED_ON,F0,FORCED_ON,base_correct_damage,-0.34415343915343916,-0.43291137566137566,-0.2515079365079365,119,15,33,UNKNOWN,-0.43182178932178933,-0.21096320346320352,-0.37153439153439155,-0.320978835978836,20260908,10000
FACT_SLAKE_STAGE2_BANK16,A,0,fit,U,STRICT_BASE,F1,FORCED_ON,F0,FORCED_ON,base_wrong_became_correct,-0.11312169312169311,-0.2206415343915344,-0.016666666666666666,85,15,22,UNKNOWN,-0.16515151515151516,-0.031818181818181815,-0.12883597883597883,-0.09023809523809523,20260908,10000
FACT_SLAKE_STAGE2_BANK16,A,0,fit,U,STRICT_BASE,F1,FORCED_ON,F0,FORCED_ON,fpr,0.0,0.0,0.0,204,15,43,UNKNOWN,0.0,0.0,0.0,0.0,20260908,10000
FACT_SLAKE_STAGE2_BANK16,A,0,evaluation,U,STRICT_BASE,F1,FORCED_ON,F0,FORCED_ON,semantic,0.19395604395604396,0.10598290598290597,0.28164072039072013,190,15,41,UNKNOWN,0.05366773132017034,0.31666715060007744,0.17525252525252524,0.21707181707181708,20260908,10000
FACT_SLAKE_STAGE2_BANK16,A,0,evaluation,U,STRICT_BASE,F1,FORCED_ON,F0,FORCED_ON,base_correct_damage,-0.3833405483405483,-0.507962962962963,-0.2629507575757576,123,15,31,UNKNOWN,-0.5457011648745519,-0.28064516129032263,-0.415,-0.3684920634920635,20260908,10000
FACT_SLAKE_STAGE2_BANK16,A,0,evaluation,U,STRICT_BASE,F1,FORCED_ON,F0,FORCED_ON,base_wrong_became_correct,-0.16587301587301587,-0.28968253968253965,-0.05946428571428658,67,15,22,UNKNOWN,-0.2902597402597402,-0.0047619047619047615,-0.1992063492063492,-0.1119047619047619,20260908,10000
FACT_SLAKE_STAGE2_BANK16,A,0,evaluation,U,STRICT_BASE,F1,FORCED_ON,F0,FORCED_ON,fpr,0.0,0.0,0.0,190,15,41,UNKNOWN,0.0,0.0,0.0,0.0,20260908,10000
FACT_SLAKE_STAGE2_BANK16,A,0,challenge,same_answer_context_not_conflict,STRICT_BASE,F1,FORCED_ON,F0,FORCED_ON,semantic,-0.21428571428571427,-0.35714285714285715,-0.10714285714285714,27,14,6,UNKNOWN,-0.47500000000000003,0.0,-0.3333333333333333,-0.10714285714285714,20260908,10000
FACT_SLAKE_STAGE2_BANK16,A,0,challenge,same_answer_context_not_conflict,STRICT_BASE,F1,FORCED_ON,F0,FORCED_ON,base_correct_damage,0.0,0.0,0.0,15,10,6,UNKNOWN,0.0,0.0,0.0,0.0,20260908,10000
FACT_SLAKE_STAGE2_BANK16,A,0,challenge,same_answer_context_not_conflict,STRICT_BASE,F1,FORCED_ON,F0,FORCED_ON,base_wrong_became_correct,-0.5625,-0.8125,-0.3125,12,8,4,UNKNOWN,-0.875,0.0,-0.75,-0.3,20260908,10000
FACT_SLAKE_STAGE2_BANK16,A,0,challenge,same_answer_context_not_conflict,STRICT_BASE,F1,FORCED_ON,F0,FORCED_ON,fpr,0.0,0.0,0.0,27,14,6,UNKNOWN,0.0,0.0,0.0,0.0,20260908,10000
FACT_SLAKE_STAGE2_BANK16,A,0,native,T0,EDIT_TARGET,F2,FORCED_ON,F1,FORCED_ON,semantic,0.0,0.0,0.0,15,15,15,UNKNOWN,0.0,0.0,0.0,0.0,20260908,10000
FACT_SLAKE_STAGE2_BANK16,A,0,native,T0,EDIT_TARGET,F2,FORCED_ON,F1,FORCED_ON,v4_primary,0.0,0.0,0.0,15,15,15,UNKNOWN,0.0,0.0,0.0,0.0,20260908,10000
FACT_SLAKE_STAGE2_BANK16,A,0,native,T0,EDIT_TARGET,F2,FORCED_ON,F1,FORCED_ON,base_wrong_became_correct,0.0,0.0,0.0,15,15,15,UNKNOWN,0.0,0.0,0.0,0.0,20260908,10000
FACT_SLAKE_STAGE2_BANK16,A,0,fit,cross_family_confirmation,EDIT_TARGET,F2,FORCED_ON,F1,FORCED_ON,semantic,0.0,0.0,0.0,60,15,15,UNKNOWN,0.0,0.0,0.0,0.0,20260908,10000
FACT_SLAKE_STAGE2_BANK16,A,0,fit,cross_family_confirmation,EDIT_TARGET,F2,FORCED_ON,F1,FORCED_ON,base_wrong_became_correct,0.0,0.0,0.0,42,15,15,UNKNOWN,0.0,0.0,0.0,0.0,20260908,10000
FACT_SLAKE_STAGE2_BANK16,A,0,evaluation,source_style_confirmation,EDIT_TARGET,F2,FORCED_ON,F1,FORCED_ON,semantic,0.0,0.0,0.0,30,15,15,UNKNOWN,0.0,0.0,0.0,0.0,20260908,10000
FACT_SLAKE_STAGE2_BANK16,A,0,evaluation,source_style_confirmation,EDIT_TARGET,F2,FORCED_ON,F1,FORCED_ON,base_wrong_became_correct,0.0,0.0,0.0,11,6,6,UNKNOWN,0.0,0.0,0.0,0.0,20260908,10000
FACT_SLAKE_STAGE2_BANK16,A,0,evaluation,cross_family_confirmation,EDIT_TARGET,F2,FORCED_ON,F1,FORCED_ON,semantic,0.0,0.0,0.0,30,15,15,UNKNOWN,0.0,0.0,0.0,0.0,20260908,10000
FACT_SLAKE_STAGE2_BANK16,A,0,evaluation,cross_family_confirmation,EDIT_TARGET,F2,FORCED_ON,F1,FORCED_ON,base_wrong_became_correct,0.0,0.0,0.0,14,9,9,UNKNOWN,0.0,0.0,0.0,0.0,20260908,10000
FACT_SLAKE_STAGE2_BANK16,A,0,fit,H,STRICT_BASE,F2,FORCED_ON,F1,FORCED_ON,semantic,0.0,0.0,0.0,27,15,9,UNKNOWN,0.0,0.0,0.0,0.0,20260908,10000
FACT_SLAKE_STAGE2_BANK16,A,0,fit,H,STRICT_BASE,F2,FORCED_ON,F1,FORCED_ON,base_correct_damage,0.0,0.0,0.0,26,15,8,UNKNOWN,0.0,0.0,0.0,0.0,20260908,10000
FACT_SLAKE_STAGE2_BANK16,A,0,fit,H,STRICT_BASE,F2,FORCED_ON,F1,FORCED_ON,base_wrong_became_correct,0.0,,,1,1,1,UNKNOWN,,,,,20260908,10000
FACT_SLAKE_STAGE2_BANK16,A,0,fit,H,STRICT_BASE,F2,FORCED_ON,F1,FORCED_ON,fpr,0.0,0.0,0.0,27,15,9,UNKNOWN,0.0,0.0,0.0,0.0,20260908,10000
FACT_SLAKE_STAGE2_BANK16,A,0,evaluation,H,STRICT_BASE,F2,FORCED_ON,F1,FORCED_ON,semantic,0.0,0.0,0.0,19,14,7,UNKNOWN,0.0,0.0,0.0,0.0,20260908,10000
FACT_SLAKE_STAGE2_BANK16,A,0,evaluation,H,STRICT_BASE,F2,FORCED_ON,F1,FORCED_ON,base_correct_damage,0.0,0.0,0.0,15,13,6,UNKNOWN,0.0,0.0,0.0,0.0,20260908,10000
FACT_SLAKE_STAGE2_BANK16,A,0,evaluation,H,STRICT_BASE,F2,FORCED_ON,F1,FORCED_ON,base_wrong_became_correct,0.0,0.0,0.0,4,4,1,UNKNOWN,,,,,20260908,10000
