edit,role,panel,inputs,source_images,base_correct_inputs
101,calibration,H,2,2,1
101,calibration,U,13,13,8
101,calibration,positive,4,1,2
101,challenge,same_image_other_fact_challenge,1,1,1
101,evaluation,H,2,2,2
101,evaluation,U,12,12,7
101,evaluation,positive,4,1,4
101,fit,H,3,3,3
101,fit,U,13,13,10
101,fit,positive,4,1,3
101,native,positive,1,1,0
102,calibration,H,1,1,1
102,calibration,U,14,14,7
102,calibration,positive,4,1,1
102,challenge,same_image_other_fact_challenge,2,2,1
102,evaluation,H,1,1,1
102,evaluation,U,13,13,9
102,evaluation,positive,4,1,2
102,fit,H,1,1,1
102,fit,U,14,14,7
102,fit,positive,4,1,0
102,native,positive,1,1,0
103,calibration,H,1,1,1
103,calibration,U,14,14,8
103,calibration,positive,4,1,0
103,challenge,same_image_other_fact_challenge,2,2,0
103,evaluation,H,1,1,1
103,evaluation,U,13,13,9
103,evaluation,positive,4,1,0
103,fit,H,1,1,1
103,fit,U,14,14,8
103,fit,positive,4,1,0
103,native,positive,1,1,0
104,calibration,H,2,2,2
104,calibration,U,13,13,11
104,calibration,positive,4,1,3
104,challenge,same_image_other_fact_challenge,1,1,1
104,evaluation,H,2,2,1
104,evaluation,U,12,12,7
104,evaluation,positive,4,1,4
104,fit,H,3,3,3
104,fit,U,13,13,7
104,fit,positive,4,1,3
104,native,positive,1,1,0
105,calibration,H,2,2,2
105,calibration,U,13,13,8
105,calibration,positive,4,1,4
105,challenge,same_image_other_fact_challenge,1,1,1
105,evaluation,H,2,2,2
105,evaluation,U,12,12,8
105,evaluation,positive,4,1,4
105,fit,H,3,3,2
105,fit,U,13,13,7
105,fit,positive,4,1,3
105,native,positive,1,1,0
106,calibration,H,2,2,2
106,calibration,U,13,13,9
106,calibration,positive,4,1,4
106,challenge,same_image_other_fact_challenge,1,1,1
106,evaluation,H,2,2,1
106,evaluation,U,12,12,8
106,evaluation,positive,4,1,4
106,fit,H,3,3,3
106,fit,U,13,13,7
106,fit,positive,4,1,3
106,native,positive,1,1,0
107,calibration,H,1,1,1
107,calibration,U,14,14,10
107,calibration,positive,4,1,0
107,challenge,same_image_other_fact_challenge,2,2,1
107,evaluation,H,1,1,1
107,evaluation,U,13,13,10
107,evaluation,positive,4,1,2
107,fit,H,1,1,1
107,fit,U,14,14,6
107,fit,positive,4,1,0
107,native,positive,1,1,0
108,calibration,H,2,2,2
108,calibration,U,13,13,9
108,calibration,positive,4,1,4
108,challenge,same_image_other_fact_challenge,1,1,1
108,evaluation,H,2,2,1
108,evaluation,U,12,12,6
108,evaluation,positive,4,1,4
108,fit,H,3,3,3
108,fit,U,13,13,9
108,fit,positive,4,1,3
108,native,positive,1,1,0
109,calibration,H,2,2,2
109,calibration,U,14,14,10
109,calibration,positive,4,1,1
109,evaluation,H,1,1,1
109,evaluation,U,13,13,9
109,evaluation,positive,4,1,3
109,fit,H,2,2,2
109,fit,U,14,14,8
109,fit,positive,4,1,0
109,native,positive,1,1,0
110,calibration,H,1,1,1
110,calibration,U,14,14,6
110,calibration,positive,4,1,0
110,challenge,same_image_other_fact_challenge,2,2,0
110,evaluation,H,1,1,1
110,evaluation,U,13,13,11
110,evaluation,positive,4,1,2
110,fit,H,1,1,1
110,fit,U,14,14,8
110,fit,positive,4,1,0
110,native,positive,1,1,0
111,calibration,H,1,1,1
111,calibration,U,14,14,10
111,calibration,positive,4,1,0
111,challenge,same_image_other_fact_challenge,2,2,0
111,evaluation,H,1,1,1
111,evaluation,U,13,13,6
111,evaluation,positive,4,1,1
111,fit,H,1,1,1
111,fit,U,14,14,12
111,fit,positive,4,1,0
111,native,positive,1,1,0
112,calibration,H,1,1,1
112,calibration,U,13,13,11
112,calibration,positive,4,1,0
112,challenge,same_image_other_fact_challenge,2,2,0
112,evaluation,H,1,1,1
112,evaluation,U,13,13,9
112,evaluation,positive,4,1,0
112,fit,H,2,2,2
112,fit,U,14,14,9
112,fit,positive,4,1,0
112,native,positive,1,1,0
113,calibration,H,1,1,1
113,calibration,U,14,14,11
113,calibration,positive,4,1,2
113,challenge,same_image_other_fact_challenge,2,2,1
113,evaluation,H,1,1,1
113,evaluation,U,13,13,6
113,evaluation,positive,4,1,3
113,fit,H,1,1,1
113,fit,U,14,14,10
113,fit,positive,4,1,0
113,native,positive,1,1,0
114,calibration,H,0,0,0
114,calibration,U,14,14,9
114,calibration,positive,4,1,0
114,challenge,same_image_other_fact_challenge,3,3,2
114,evaluation,H,0,0,0
114,evaluation,U,14,14,10
114,evaluation,positive,4,1,2
114,fit,H,1,1,1
114,fit,U,14,14,5
114,fit,positive,4,1,3
114,native,positive,1,1,0
115,calibration,H,1,1,1
115,calibration,U,13,13,7
115,calibration,positive,4,1,0
115,challenge,same_image_other_fact_challenge,5,5,5
115,evaluation,H,1,1,0
115,evaluation,U,12,12,7
115,evaluation,positive,4,1,0
115,fit,H,1,1,1
115,fit,U,13,13,10
115,fit,positive,4,1,0
115,native,positive,1,1,0
116,calibration,H,1,1,1
116,calibration,U,13,13,11
116,calibration,positive,4,1,0
116,challenge,same_image_other_fact_challenge,5,5,5
116,evaluation,H,1,1,0
116,evaluation,U,12,12,8
116,evaluation,positive,4,1,0
116,fit,H,1,1,1
116,fit,U,13,13,6
116,fit,positive,4,1,0
116,native,positive,1,1,0
