candidate,control,conclusion,native_and_two_text_panels_at_minus5pp,U_damage_delta,min_paired_edits
L16-W2_GROUP_CONSTRAINED,A2,POINT_REFERENCE_JOINT_BENEFIT_NOT_PROVEN_NONINFERIORITY,True,-0.24710272366522365,16
P4-W1_KL_0.1,A2,POINT_REFERENCE_JOINT_BENEFIT_NOT_PROVEN_NONINFERIORITY,True,-0.26922573953823953,16
P4-W1_KL_0.1,P4-W0_TASK_ONLY,POINT_REFERENCE_JOINT_BENEFIT_NOT_PROVEN_NONINFERIORITY,True,-0.3264430014430014,16
P4-W2_GROUP_CONSTRAINED,A2,POINT_REFERENCE_JOINT_BENEFIT_NOT_PROVEN_NONINFERIORITY,True,-0.10967261904761905,16
P4-W2_GROUP_CONSTRAINED,P4-W0_TASK_ONLY,POINT_REFERENCE_JOINT_BENEFIT_NOT_PROVEN_NONINFERIORITY,True,-0.16688988095238094,16
P4-W2_GROUP_CONSTRAINED,P4-W1_KL_0.1,NO_JOINT_POINT_BENEFIT,True,0.15955312049062048,16
