task_id,step,group,kl,epsilon,residual,dual,saturation
S2_e101_CP_P4_W0_TASK_ONLY,0,H,0.24338256319363913,0.12169128159681956,0.12169128159681956,0.5,0
S2_e101_CP_P4_W0_TASK_ONLY,0,U,0.12899520957412627,0.06449760478706314,0.06449760478706314,0.5,0
S2_e101_CP_P4_W0_TASK_ONLY,80,H,0.47469032804171246,0.12169128159681956,0.3529990464448929,0.5,0
S2_e101_CP_P4_W0_TASK_ONLY,80,U,0.2039447301425613,0.06449760478706314,0.13944712535549814,0.5,0
S2_e101_CP_P4_W0_TASK_ONLY,160,H,0.5211339096228281,0.12169128159681956,0.39944262802600855,0.5,0
S2_e101_CP_P4_W0_TASK_ONLY,160,U,0.21518219319673684,0.06449760478706314,0.1506845884096737,0.5,0
S2_e101_CP_P4_W0_TASK_ONLY,320,H,0.5456515451272329,0.12169128159681956,0.42396026353041333,0.5,0
S2_e101_CP_P4_W0_TASK_ONLY,320,U,0.21696396652035987,0.06449760478706314,0.15246636173329675,0.5,0
S2_e101_CP_P4_W1_KL_0.1,0,H,0.24338256319363913,0.12169128159681956,0.12169128159681956,0.5,0
S2_e101_CP_P4_W1_KL_0.1,0,U,0.12899520957412627,0.06449760478706314,0.06449760478706314,0.5,0
S2_e101_CP_P4_W1_KL_0.1,80,H,0.02210884541273117,0.12169128159681956,-0.0995824361840884,0.5,0
S2_e101_CP_P4_W1_KL_0.1,80,U,0.02309415088250087,0.06449760478706314,-0.041403453904562265,0.5,0
S2_e101_CP_P4_W1_KL_0.1,160,H,0.012020038751264414,0.12169128159681956,-0.10967124284555516,0.5,0
S2_e101_CP_P4_W1_KL_0.1,160,U,0.014913102396978782,0.06449760478706314,-0.049584502390084356,0.5,0
S2_e101_CP_P4_W1_KL_0.1,320,H,0.006364277098327875,0.12169128159681956,-0.11532700449849169,0.5,0
S2_e101_CP_P4_W1_KL_0.1,320,U,0.0075283259547387175,0.06449760478706314,-0.056969278832324416,0.5,0
S2_e101_CP_P4_W2_GROUP_CONSTRAINED,0,H,0.24338256319363913,0.12169128159681956,0.12169128159681956,0.5,0
S2_e101_CP_P4_W2_GROUP_CONSTRAINED,0,U,0.12899520957412627,0.06449760478706314,0.06449760478706314,0.5,0
S2_e101_CP_P4_W2_GROUP_CONSTRAINED,80,H,0.023970491563280422,0.12169128159681956,-0.09772079003353915,0.0,0
S2_e101_CP_P4_W2_GROUP_CONSTRAINED,80,U,0.023642307004103295,0.06449760478706314,-0.04085529778295984,0.0,0
S2_e101_CP_P4_W2_GROUP_CONSTRAINED,160,H,0.08937907715638478,0.12169128159681956,-0.03231220444043478,0.0,0
S2_e101_CP_P4_W2_GROUP_CONSTRAINED,160,U,0.04638713881230125,0.06449760478706314,-0.01811046597476189,0.0,0
S2_e101_CP_P4_W2_GROUP_CONSTRAINED,320,H,0.10719685504833858,0.12169128159681956,-0.014494426548480988,0.0,0
S2_e101_CP_P4_W2_GROUP_CONSTRAINED,320,U,0.05208855032777557,0.06449760478706314,-0.012409054459287569,0.0,0
S2_e101_CP_L16_W2_GROUP_CONSTRAINED,0,H,0.24342707792917886,0.12169128159681956,0.1217357963323593,0.5,0
S2_e101_CP_L16_W2_GROUP_CONSTRAINED,0,U,0.12894592942813268,0.06449760478706314,0.06444832464106955,0.5,0
S2_e101_CP_L16_W2_GROUP_CONSTRAINED,80,H,0.0038932745810598135,0.12169128159681956,-0.11779800701575975,0.0,0
S2_e101_CP_L16_W2_GROUP_CONSTRAINED,80,U,0.003506256173400638,0.06449760478706314,-0.0609913486136625,0.0,0
S2_e101_CP_L16_W2_GROUP_CONSTRAINED,160,H,0.004340596807499726,0.12169128159681956,-0.11735068478931984,0.0,0
S2_e101_CP_L16_W2_GROUP_CONSTRAINED,160,U,0.0036207928743141773,0.06449760478706314,-0.06087681191274896,0.0,0
S2_e101_CP_L16_W2_GROUP_CONSTRAINED,320,H,0.004542131908237934,0.12169128159681956,-0.11714914968858163,0.0,0
S2_e101_CP_L16_W2_GROUP_CONSTRAINED,320,U,0.0037206198948507127,0.06449760478706314,-0.06077698489221242,0.0,0
S2_e102_CP_P4_W0_TASK_ONLY,0,H,0.16167540848255157,0.08083770424127579,0.08083770424127579,0.5,0
S2_e102_CP_P4_W0_TASK_ONLY,0,U,0.0610579279434335,0.03052896397171675,0.03052896397171675,0.5,0
S2_e102_CP_P4_W0_TASK_ONLY,80,H,0.31492650508880615,0.08083770424127579,0.23408880084753036,0.5,0
S2_e102_CP_P4_W0_TASK_ONLY,80,U,0.09663424406400216,0.03052896397171675,0.0661052800922854,0.5,0
S2_e102_CP_P4_W0_TASK_ONLY,160,H,0.33840981125831604,0.08083770424127579,0.25757210701704025,0.5,0
S2_e102_CP_P4_W0_TASK_ONLY,160,U,0.1001710496576769,0.03052896397171675,0.06964208568596014,0.5,0
S2_e102_CP_P4_W0_TASK_ONLY,320,H,0.34467846155166626,0.08083770424127579,0.2638407573103905,0.5,0
S2_e102_CP_P4_W0_TASK_ONLY,320,U,0.10112710309580766,0.03052896397171675,0.07059813912409091,0.5,0
S2_e102_CP_P4_W1_KL_0.1,0,H,0.16167540848255157,0.08083770424127579,0.08083770424127579,0.5,0
S2_e102_CP_P4_W1_KL_0.1,0,U,0.0610579279434335,0.03052896397171675,0.03052896397171675,0.5,0
S2_e102_CP_P4_W1_KL_0.1,80,H,0.06889528781175613,0.08083770424127579,-0.011942416429519653,0.5,0
S2_e102_CP_P4_W1_KL_0.1,80,U,0.020486956753302366,0.03052896397171675,-0.010042007218414386,0.5,0
S2_e102_CP_P4_W1_KL_0.1,160,H,0.06606698036193848,0.08083770424127579,-0.01477072387933731,0.5,0
S2_e102_CP_P4_W1_KL_0.1,160,U,0.010899719715650593,0.03052896397171675,-0.01962924425606616,0.5,0
S2_e102_CP_P4_W1_KL_0.1,320,H,0.06501055508852005,0.08083770424127579,-0.015827149152755737,0.5,0
S2_e102_CP_P4_W1_KL_0.1,320,U,0.005557973752729595,0.03052896397171675,-0.024970990218987157,0.5,0
S2_e102_CP_P4_W2_GROUP_CONSTRAINED,0,H,0.16167540848255157,0.08083770424127579,0.08083770424127579,0.5,0
S2_e102_CP_P4_W2_GROUP_CONSTRAINED,0,U,0.0610579279434335,0.03052896397171675,0.03052896397171675,0.5,0
S2_e102_CP_P4_W2_GROUP_CONSTRAINED,80,H,0.02579849399626255,0.08083770424127579,-0.05503921024501324,0.0,0
S2_e102_CP_P4_W2_GROUP_CONSTRAINED,80,U,0.015259126267795051,0.03052896397171675,-0.0152698377039217,0.19911430551160803,0
S2_e102_CP_P4_W2_GROUP_CONSTRAINED,160,H,0.08860840648412704,0.08083770424127579,0.007770702242851257,0.004577731409463759,0
S2_e102_CP_P4_W2_GROUP_CONSTRAINED,160,U,0.03590772020314554,0.03052896397171675,0.005378756231428788,0.11636509483785556,0
