arm,N,role,n,scored,correct,accuracy
B0,19,native,19,19,19,1.0
B0,19,H_eval,22,22,13,0.5909090909090909
B0,19,U_eval,23,23,18,0.782608695652174
B0,19,native_text_extension,11,11,10,0.9090909090909091
B0,19,positive_image,4,4,4,1.0
B1,19,native,19,19,19,1.0
B1,19,H_eval,22,22,10,0.45454545454545453
B1,19,U_eval,23,23,18,0.782608695652174
B1,19,native_text_extension,11,11,11,1.0
B1,19,positive_image,4,4,2,0.5
B2,19,native,19,19,19,1.0
B2,19,H_eval,22,22,12,0.5454545454545454
B2,19,U_eval,23,23,17,0.7391304347826086
B2,19,native_text_extension,11,11,11,1.0
B2,19,positive_image,4,4,2,0.5
