cohort,method,mode,edit,role,native_correct,pairs,pair_correct,both_correct,native_only,H_only,both_wrong
NEW7,BE,FORCED_ON,1,fit,1.0,1,0.0,0,1,0,0
NEW7,BE,FORCED_ON,1,evaluation,1.0,1,0.0,0,1,0,0
NEW7,BE,BE_ROUTE_R0,1,fit,1.0,1,0.0,0,1,0,0
NEW7,BE,BE_ROUTE_R0,1,evaluation,1.0,1,0.0,0,1,0,0
NEW7,BE,RC_FIXED_OLD16,1,fit,1.0,1,1.0,1,0,0,0
NEW7,BE,RC_FIXED_OLD16,1,evaluation,1.0,1,1.0,1,0,0,0
NEW7,BE,FORCED_ON,2,fit,1.0,1,0.0,0,1,0,0
NEW7,BE,FORCED_ON,2,evaluation,1.0,1,0.0,0,1,0,0
NEW7,BE,BE_ROUTE_R0,2,fit,1.0,1,0.0,0,1,0,0
NEW7,BE,BE_ROUTE_R0,2,evaluation,1.0,1,0.0,0,1,0,0
NEW7,BE,RC_FIXED_OLD16,2,fit,1.0,1,1.0,1,0,0,0
NEW7,BE,RC_FIXED_OLD16,2,evaluation,1.0,1,1.0,1,0,0,0
NEW7,BE,FORCED_ON,3,fit,1.0,1,0.0,0,1,0,0
NEW7,BE,FORCED_ON,3,evaluation,1.0,1,0.0,0,1,0,0
NEW7,BE,BE_ROUTE_R0,3,fit,1.0,1,0.0,0,1,0,0
NEW7,BE,BE_ROUTE_R0,3,evaluation,1.0,1,0.0,0,1,0,0
NEW7,BE,RC_FIXED_OLD16,3,fit,1.0,1,1.0,1,0,0,0
NEW7,BE,RC_FIXED_OLD16,3,evaluation,1.0,1,1.0,1,0,0,0
NEW7,BE,FORCED_ON,4,fit,0.0,1,0.0,0,0,0,1
NEW7,BE,FORCED_ON,4,evaluation,0.0,2,0.0,0,0,0,2
NEW7,BE,BE_ROUTE_R0,4,fit,0.0,1,0.0,0,0,0,1
NEW7,BE,BE_ROUTE_R0,4,evaluation,0.0,2,0.0,0,0,0,2
NEW7,BE,RC_FIXED_OLD16,4,fit,0.0,1,0.0,0,0,1,0
NEW7,BE,RC_FIXED_OLD16,4,evaluation,0.0,2,0.0,0,0,0,2
NEW7,BE,FORCED_ON,5,fit,1.0,1,0.0,0,1,0,0
NEW7,BE,FORCED_ON,5,evaluation,1.0,1,0.0,0,1,0,0
NEW7,BE,BE_ROUTE_R0,5,fit,1.0,1,0.0,0,1,0,0
NEW7,BE,BE_ROUTE_R0,5,evaluation,1.0,1,0.0,0,1,0,0
NEW7,BE,RC_FIXED_OLD16,5,fit,1.0,1,1.0,1,0,0,0
NEW7,BE,RC_FIXED_OLD16,5,evaluation,1.0,1,0.0,0,1,0,0
NEW7,BE,FORCED_ON,6,fit,1.0,1,0.0,0,1,0,0
NEW7,BE,FORCED_ON,6,evaluation,1.0,2,0.0,0,2,0,0
NEW7,BE,BE_ROUTE_R0,6,fit,1.0,1,1.0,1,0,0,0
NEW7,BE,BE_ROUTE_R0,6,evaluation,1.0,2,0.5,1,1,0,0
NEW7,BE,RC_FIXED_OLD16,6,fit,1.0,1,1.0,1,0,0,0
NEW7,BE,RC_FIXED_OLD16,6,evaluation,1.0,2,0.5,1,1,0,0
NEW7,BE,FORCED_ON,7,fit,1.0,1,0.0,0,1,0,0
NEW7,BE,FORCED_ON,7,evaluation,1.0,1,0.0,0,1,0,0
NEW7,BE,BE_ROUTE_R0,7,fit,1.0,1,0.0,0,1,0,0
NEW7,BE,BE_ROUTE_R0,7,evaluation,1.0,1,0.0,0,1,0,0
NEW7,BE,RC_FIXED_OLD16,7,fit,1.0,1,1.0,1,0,0,0
NEW7,BE,RC_FIXED_OLD16,7,evaluation,1.0,1,1.0,1,0,0,0
NEW7,C_EXTRA_QA,FORCED_ON,1,fit,1.0,1,0.0,0,1,0,0
NEW7,C_EXTRA_QA,FORCED_ON,1,evaluation,1.0,1,0.0,0,1,0,0
NEW7,C_EXTRA_QA,BE_ROUTE_R0,1,fit,1.0,1,0.0,0,1,0,0
NEW7,C_EXTRA_QA,BE_ROUTE_R0,1,evaluation,1.0,1,0.0,0,1,0,0
NEW7,C_EXTRA_QA,RC_FIXED_OLD16,1,fit,1.0,1,1.0,1,0,0,0
NEW7,C_EXTRA_QA,RC_FIXED_OLD16,1,evaluation,1.0,1,1.0,1,0,0,0
NEW7,C_EXTRA_QA,FORCED_ON,2,fit,1.0,1,0.0,0,1,0,0
NEW7,C_EXTRA_QA,FORCED_ON,2,evaluation,1.0,1,0.0,0,1,0,0
NEW7,C_EXTRA_QA,BE_ROUTE_R0,2,fit,1.0,1,0.0,0,1,0,0
NEW7,C_EXTRA_QA,BE_ROUTE_R0,2,evaluation,1.0,1,0.0,0,1,0,0
NEW7,C_EXTRA_QA,RC_FIXED_OLD16,2,fit,1.0,1,1.0,1,0,0,0
NEW7,C_EXTRA_QA,RC_FIXED_OLD16,2,evaluation,1.0,1,1.0,1,0,0,0
NEW7,C_EXTRA_QA,FORCED_ON,3,fit,1.0,1,0.0,0,1,0,0
NEW7,C_EXTRA_QA,FORCED_ON,3,evaluation,1.0,1,0.0,0,1,0,0
NEW7,C_EXTRA_QA,BE_ROUTE_R0,3,fit,1.0,1,0.0,0,1,0,0
NEW7,C_EXTRA_QA,BE_ROUTE_R0,3,evaluation,1.0,1,0.0,0,1,0,0
NEW7,C_EXTRA_QA,RC_FIXED_OLD16,3,fit,1.0,1,1.0,1,0,0,0
NEW7,C_EXTRA_QA,RC_FIXED_OLD16,3,evaluation,1.0,1,1.0,1,0,0,0
NEW7,C_EXTRA_QA,FORCED_ON,4,fit,0.0,1,0.0,0,0,0,1
NEW7,C_EXTRA_QA,FORCED_ON,4,evaluation,0.0,2,0.0,0,0,0,2
NEW7,C_EXTRA_QA,BE_ROUTE_R0,4,fit,0.0,1,0.0,0,0,0,1
NEW7,C_EXTRA_QA,BE_ROUTE_R0,4,evaluation,0.0,2,0.0,0,0,0,2
NEW7,C_EXTRA_QA,RC_FIXED_OLD16,4,fit,0.0,1,0.0,0,0,1,0
NEW7,C_EXTRA_QA,RC_FIXED_OLD16,4,evaluation,0.0,2,0.0,0,0,0,2
NEW7,C_EXTRA_QA,FORCED_ON,5,fit,1.0,1,0.0,0,1,0,0
NEW7,C_EXTRA_QA,FORCED_ON,5,evaluation,1.0,1,0.0,0,1,0,0
NEW7,C_EXTRA_QA,BE_ROUTE_R0,5,fit,1.0,1,0.0,0,1,0,0
NEW7,C_EXTRA_QA,BE_ROUTE_R0,5,evaluation,1.0,1,0.0,0,1,0,0
NEW7,C_EXTRA_QA,RC_FIXED_OLD16,5,fit,1.0,1,1.0,1,0,0,0
NEW7,C_EXTRA_QA,RC_FIXED_OLD16,5,evaluation,1.0,1,0.0,0,1,0,0
NEW7,C_EXTRA_QA,FORCED_ON,6,fit,1.0,1,0.0,0,1,0,0
NEW7,C_EXTRA_QA,FORCED_ON,6,evaluation,1.0,2,0.0,0,2,0,0
NEW7,C_EXTRA_QA,BE_ROUTE_R0,6,fit,1.0,1,1.0,1,0,0,0
NEW7,C_EXTRA_QA,BE_ROUTE_R0,6,evaluation,1.0,2,0.5,1,1,0,0
NEW7,C_EXTRA_QA,RC_FIXED_OLD16,6,fit,1.0,1,1.0,1,0,0,0
NEW7,C_EXTRA_QA,RC_FIXED_OLD16,6,evaluation,1.0,2,0.5,1,1,0,0
NEW7,C_EXTRA_QA,FORCED_ON,7,fit,1.0,1,0.0,0,1,0,0
NEW7,C_EXTRA_QA,FORCED_ON,7,evaluation,1.0,1,0.0,0,1,0,0
NEW7,C_EXTRA_QA,BE_ROUTE_R0,7,fit,1.0,1,0.0,0,1,0,0
NEW7,C_EXTRA_QA,BE_ROUTE_R0,7,evaluation,1.0,1,0.0,0,1,0,0
NEW7,C_EXTRA_QA,RC_FIXED_OLD16,7,fit,1.0,1,1.0,1,0,0,0
NEW7,C_EXTRA_QA,RC_FIXED_OLD16,7,evaluation,1.0,1,1.0,1,0,0,0
NEW7,C_FACT,FORCED_ON,1,fit,1.0,1,1.0,1,0,0,0
NEW7,C_FACT,FORCED_ON,1,evaluation,1.0,1,1.0,1,0,0,0
NEW7,C_FACT,BE_ROUTE_R0,1,fit,1.0,1,1.0,1,0,0,0
NEW7,C_FACT,BE_ROUTE_R0,1,evaluation,1.0,1,1.0,1,0,0,0
NEW7,C_FACT,RC_FIXED_OLD16,1,fit,1.0,1,1.0,1,0,0,0
NEW7,C_FACT,RC_FIXED_OLD16,1,evaluation,1.0,1,1.0,1,0,0,0
NEW7,C_FACT,FORCED_ON,2,fit,1.0,1,1.0,1,0,0,0
NEW7,C_FACT,FORCED_ON,2,evaluation,1.0,1,1.0,1,0,0,0
NEW7,C_FACT,BE_ROUTE_R0,2,fit,1.0,1,1.0,1,0,0,0
NEW7,C_FACT,BE_ROUTE_R0,2,evaluation,1.0,1,1.0,1,0,0,0
NEW7,C_FACT,RC_FIXED_OLD16,2,fit,1.0,1,1.0,1,0,0,0
NEW7,C_FACT,RC_FIXED_OLD16,2,evaluation,1.0,1,1.0,1,0,0,0
NEW7,C_FACT,FORCED_ON,3,fit,1.0,1,1.0,1,0,0,0
NEW7,C_FACT,FORCED_ON,3,evaluation,1.0,1,1.0,1,0,0,0
NEW7,C_FACT,BE_ROUTE_R0,3,fit,1.0,1,1.0,1,0,0,0
NEW7,C_FACT,BE_ROUTE_R0,3,evaluation,1.0,1,1.0,1,0,0,0
NEW7,C_FACT,RC_FIXED_OLD16,3,fit,1.0,1,1.0,1,0,0,0
NEW7,C_FACT,RC_FIXED_OLD16,3,evaluation,1.0,1,1.0,1,0,0,0
NEW7,C_FACT,FORCED_ON,4,fit,0.0,1,0.0,0,0,1,0
NEW7,C_FACT,FORCED_ON,4,evaluation,0.0,2,0.0,0,0,0,2
NEW7,C_FACT,BE_ROUTE_R0,4,fit,0.0,1,0.0,0,0,1,0
NEW7,C_FACT,BE_ROUTE_R0,4,evaluation,0.0,2,0.0,0,0,0,2
NEW7,C_FACT,RC_FIXED_OLD16,4,fit,0.0,1,0.0,0,0,1,0
NEW7,C_FACT,RC_FIXED_OLD16,4,evaluation,0.0,2,0.0,0,0,0,2
NEW7,C_FACT,FORCED_ON,5,fit,1.0,1,1.0,1,0,0,0
NEW7,C_FACT,FORCED_ON,5,evaluation,1.0,1,1.0,1,0,0,0
NEW7,C_FACT,BE_ROUTE_R0,5,fit,1.0,1,1.0,1,0,0,0
NEW7,C_FACT,BE_ROUTE_R0,5,evaluation,1.0,1,1.0,1,0,0,0
NEW7,C_FACT,RC_FIXED_OLD16,5,fit,1.0,1,1.0,1,0,0,0
NEW7,C_FACT,RC_FIXED_OLD16,5,evaluation,1.0,1,0.0,0,1,0,0
NEW7,C_FACT,FORCED_ON,6,fit,1.0,1,1.0,1,0,0,0
NEW7,C_FACT,FORCED_ON,6,evaluation,1.0,2,1.0,2,0,0,0
NEW7,C_FACT,BE_ROUTE_R0,6,fit,1.0,1,1.0,1,0,0,0
NEW7,C_FACT,BE_ROUTE_R0,6,evaluation,1.0,2,0.5,1,1,0,0
NEW7,C_FACT,RC_FIXED_OLD16,6,fit,1.0,1,1.0,1,0,0,0
NEW7,C_FACT,RC_FIXED_OLD16,6,evaluation,1.0,2,0.5,1,1,0,0
NEW7,C_FACT,FORCED_ON,7,fit,1.0,1,1.0,1,0,0,0
NEW7,C_FACT,FORCED_ON,7,evaluation,1.0,1,1.0,1,0,0,0
NEW7,C_FACT,BE_ROUTE_R0,7,fit,1.0,1,1.0,1,0,0,0
NEW7,C_FACT,BE_ROUTE_R0,7,evaluation,1.0,1,1.0,1,0,0,0
NEW7,C_FACT,RC_FIXED_OLD16,7,fit,1.0,1,1.0,1,0,0,0
NEW7,C_FACT,RC_FIXED_OLD16,7,evaluation,1.0,1,1.0,1,0,0,0
NEW7,C_NO_H,FORCED_ON,1,fit,1.0,1,0.0,0,1,0,0
NEW7,C_NO_H,FORCED_ON,1,evaluation,1.0,1,0.0,0,1,0,0
NEW7,C_NO_H,BE_ROUTE_R0,1,fit,1.0,1,0.0,0,1,0,0
NEW7,C_NO_H,BE_ROUTE_R0,1,evaluation,1.0,1,0.0,0,1,0,0
NEW7,C_NO_H,RC_FIXED_OLD16,1,fit,1.0,1,1.0,1,0,0,0
NEW7,C_NO_H,RC_FIXED_OLD16,1,evaluation,1.0,1,1.0,1,0,0,0
NEW7,C_NO_H,FORCED_ON,2,fit,1.0,1,0.0,0,1,0,0
NEW7,C_NO_H,FORCED_ON,2,evaluation,1.0,1,0.0,0,1,0,0
NEW7,C_NO_H,BE_ROUTE_R0,2,fit,1.0,1,0.0,0,1,0,0
NEW7,C_NO_H,BE_ROUTE_R0,2,evaluation,1.0,1,0.0,0,1,0,0
NEW7,C_NO_H,RC_FIXED_OLD16,2,fit,1.0,1,1.0,1,0,0,0
NEW7,C_NO_H,RC_FIXED_OLD16,2,evaluation,1.0,1,1.0,1,0,0,0
NEW7,C_NO_H,FORCED_ON,3,fit,1.0,1,0.0,0,1,0,0
NEW7,C_NO_H,FORCED_ON,3,evaluation,1.0,1,0.0,0,1,0,0
NEW7,C_NO_H,BE_ROUTE_R0,3,fit,1.0,1,0.0,0,1,0,0
NEW7,C_NO_H,BE_ROUTE_R0,3,evaluation,1.0,1,0.0,0,1,0,0
NEW7,C_NO_H,RC_FIXED_OLD16,3,fit,1.0,1,1.0,1,0,0,0
NEW7,C_NO_H,RC_FIXED_OLD16,3,evaluation,1.0,1,1.0,1,0,0,0
NEW7,C_NO_H,FORCED_ON,4,fit,0.0,1,0.0,0,0,0,1
NEW7,C_NO_H,FORCED_ON,4,evaluation,0.0,2,0.0,0,0,0,2
NEW7,C_NO_H,BE_ROUTE_R0,4,fit,0.0,1,0.0,0,0,0,1
NEW7,C_NO_H,BE_ROUTE_R0,4,evaluation,0.0,2,0.0,0,0,0,2
NEW7,C_NO_H,RC_FIXED_OLD16,4,fit,0.0,1,0.0,0,0,1,0
NEW7,C_NO_H,RC_FIXED_OLD16,4,evaluation,0.0,2,0.0,0,0,0,2
NEW7,C_NO_H,FORCED_ON,5,fit,1.0,1,0.0,0,1,0,0
NEW7,C_NO_H,FORCED_ON,5,evaluation,1.0,1,0.0,0,1,0,0
NEW7,C_NO_H,BE_ROUTE_R0,5,fit,1.0,1,0.0,0,1,0,0
NEW7,C_NO_H,BE_ROUTE_R0,5,evaluation,1.0,1,0.0,0,1,0,0
NEW7,C_NO_H,RC_FIXED_OLD16,5,fit,1.0,1,1.0,1,0,0,0
NEW7,C_NO_H,RC_FIXED_OLD16,5,evaluation,1.0,1,0.0,0,1,0,0
NEW7,C_NO_H,FORCED_ON,6,fit,1.0,1,0.0,0,1,0,0
NEW7,C_NO_H,FORCED_ON,6,evaluation,1.0,2,0.0,0,2,0,0
