cohort,edit,method,reused,G_CE_forwards,steps,parameters,fp32_bytes,optimizer_tensor_bytes,checkpoint_bytes,wall_seconds,generation_seconds,forwards,training_tokens,peak_allocated_bytes,peak_reserved_bytes,H_CE_forwards
NEW7,1,C_EXTRA_QA,False,320,320,73728,294912,589832,929350,147.33992314338684,2.9144318103790283,1280,9600,16378249216,16640901120,
NEW7,1,C_FACT,True,,320,73728,294912,589832,928006,156.9201784133911,2.482412815093994,1280,10240,16585995264,17758683136,320
NEW7,2,C_EXTRA_QA,False,320,320,73728,294912,589832,929350,147.7922661304474,2.9785375595092773,1280,9600,16379674624,16642998272,
NEW7,2,C_FACT,True,,320,73728,294912,589832,928006,149.51675629615784,2.3923158645629883,1280,10240,16585995264,17758683136,320
NEW7,3,C_EXTRA_QA,False,320,320,73728,294912,589832,929350,156.63161253929138,2.968397855758667,1280,9600,16379674624,16642998272,
NEW7,3,C_FACT,True,,320,73728,294912,589832,928006,148.9742329120636,2.486124277114868,1280,10240,16585995264,17758683136,320
NEW7,4,C_EXTRA_QA,False,320,320,73728,294912,589832,929350,187.73819518089294,3.138913631439209,1280,10560,16383730688,16642998272,
NEW7,4,C_FACT,True,,320,73728,294912,589832,928006,149.85019159317017,2.677835464477539,1280,10240,16585995264,17758683136,320
NEW7,5,C_EXTRA_QA,False,320,320,73728,294912,589832,929350,178.12505984306335,1.8575983047485352,1280,8960,16383730688,16642998272,
NEW7,5,C_FACT,True,,320,73728,294912,589832,928006,147.2046971321106,1.9089436531066895,1280,8960,16585995264,17758683136,320
NEW7,6,C_EXTRA_QA,False,320,320,73728,294912,589832,929350,147.63624382019043,2.1752514839172363,1280,8960,16383730688,16642998272,
NEW7,6,C_FACT,True,,320,73728,294912,589832,928006,147.591237783432,1.9883787631988525,1280,9280,16585995264,17758683136,320
NEW7,7,C_EXTRA_QA,False,320,320,73728,294912,589832,929350,148.12727284431458,2.5253283977508545,1280,9600,16383730688,16642998272,
NEW7,7,C_FACT,True,,320,73728,294912,589832,928006,148.22552108764648,2.399554491043091,1280,10240,16585995264,17758683136,320
